,Proposed Edit,Incorrect Sentence,Correct Sentence
0,"Orig: [4, 5, ['सोने']], Cor: [4, 5, ['सोना']], Type: 'R:NOUN-NUM'","उसके पास पचास ग्राम सोने हैं।
","उसके पास पचास ग्राम सोना है।
"
1,"Orig: [5, 6, ['हैं']], Cor: [5, 6, ['है']], Type: 'R:OTHER'","उसके पास पचास ग्राम सोने हैं।
","उसके पास पचास ग्राम सोना है।
"
2,"Orig: [0, 1, ['अपना']], Cor: [0, 1, ['अपने']], Type: 'R:PRON-NUM'","अपना हस्ताक्षर कर दो।
","अपने हस्ताक्षर कर दो।
"
3,"Orig: [2, 3, ['अनेकों']], Cor: [2, 3, ['अनेक']], Type: 'R:OTHER'","दुर्घटना में अनेकों लोग घायल हुए।
","दुर्घटना में अनेक लोग घायल हुए।
"
4,"Orig: [6, 7, ['सीढ़ी']], Cor: [6, 7, ['सीढ़ियाँ']], Type: 'R:NOUN'","मन्दिर में जाने के लिए पचास सीढ़ी हैं।
","मन्दिर में जाने के लिए पचास सीढ़ियाँ हैं।
"
5,"Orig: [4, 5, ['उनका']], Cor: [4, 5, ['उनके']], Type: 'R:PRON'","मेरी बात सुनते ही उनका आँसू निकल आया।
","मेरी बात सुनते ही उनके आँसू निकल आये।
"
6,"Orig: [7, 8, ['आया']], Cor: [7, 8, ['आये']], Type: 'R:VERB:TENSE'","मेरी बात सुनते ही उनका आँसू निकल आया।
","मेरी बात सुनते ही उनके आँसू निकल आये।
"
7,"Orig: [0, 1, ['मेरा']], Cor: [0, 1, ['मेरे']], Type: 'R:PRON'","मेरा प्राण निकल रहा है।
","मेरे प्राण निकल रहे हैं।
"
8,"Orig: [3, 4, ['रहा']], Cor: [3, 4, ['रहे']], Type: 'R:VERB:TENSE'","मेरा प्राण निकल रहा है।
","मेरे प्राण निकल रहे हैं।
"
9,"Orig: [4, 5, ['है']], Cor: [4, 5, ['हैं']], Type: 'R:VERB:TENSE'","मेरा प्राण निकल रहा है।
","मेरे प्राण निकल रहे हैं।
"
10,"Orig: [0, 1, ['संस्कृतियों']], Cor: [0, 1, ['संस्कृति']], Type: 'R:NOUN-NUM'","संस्कृतियों पर देशवासी मर मिटा।
","संस्कृति पर देशवासी पर मिटे।
"
11,"Orig: [3, 4, ['मर']], Cor: [3, 4, ['पर']], Type: 'R:ADP'","संस्कृतियों पर देशवासी मर मिटा।
","संस्कृति पर देशवासी पर मिटे।
"
12,"Orig: [4, 5, ['मिटा।']], Cor: [4, 6, ['मिटे', '।']], Type: 'R:OTHER'","संस्कृतियों पर देशवासी मर मिटा।
","संस्कृति पर देशवासी पर मिटे।
"
13,"Orig: [0, 1, ['बुढ़ापे']], Cor: [0, 1, ['बुढ़ापा']], Type: 'R:NOUN-NUM'","बुढ़ापे बुरे होते हैं।
","बुढ़ापा बुरा होता है।
"
