,Proposed Edit,Incorrect Sentence,Correct Sentence
0,"Orig: [0, 1, ['हमारा']], Cor: [0, 1, ['हमारी']], Type: 'R:PRON-GEN'","हमारा वस्तुओं का ध्यान रखा जाये।
","हमारी वस्तुओं का ध्यान रखा जाय।
"
1,"Orig: [5, 6, ['जाये']], Cor: [5, 6, ['जाय']], Type: 'R:VERB:TENSE'","हमारा वस्तुओं का ध्यान रखा जाये।
","हमारी वस्तुओं का ध्यान रखा जाय।
"
2,"Orig: [0, 1, ['सारा']], Cor: [0, 1, ['सारी']], Type: 'R:OTHER'","सारा प्रतिभा विकृत हो गया।
","सारी प्रतिभा विकृत हो गयी।
"
3,"Orig: [4, 5, ['गया']], Cor: [4, 5, ['गयी']], Type: 'R:VERB:TENSE'","सारा प्रतिभा विकृत हो गया।
","सारी प्रतिभा विकृत हो गयी।
"
4,"Orig: [1, 2, ['कहती-कहती']], Cor: [1, 2, ['कहते-कहते']], Type: 'R:SPELL'","वह कहती-कहती रुक गई।
","वह कहते-कहते रुक गई।
"
5,"Orig: [2, 3, ['बदलना']], Cor: [2, 3, ['बदलनी']], Type: 'R:VERB-GEN'","यह प्रणाली बदलना है।
","यह प्रणाली बदलनी है।
"
6,"Orig: [2, 3, ['गयी']], Cor: [2, 3, ['गया']], Type: 'R:VERB:TENSE'","रूमाल सूख गयी।
","रूमाल सूख गया।
"
7,"Orig: [1, 2, ['खारी']], Cor: [1, 2, ['खारा']], Type: 'R:ADJ'","तुम खारी पानी लाते हो।
","तुम खारा पानी लाते हो।
"
8,"Orig: [2, 3, ['खट्टी']], Cor: [2, 3, ['खट्टा']], Type: 'R:ADJ'","दही बहुत खट्टी है।
","दही बहुत खट्टा है।
"
9,"Orig: [1, 2, ['झूमती']], Cor: [1, 2, ['झूमता']], Type: 'R:NOUN'","हाथी झूमती आ रही है।
","हाथी झूमता आ रहा है।
"
10,"Orig: [3, 4, ['रही']], Cor: [3, 4, ['रहा']], Type: 'R:VERB:TENSE'","हाथी झूमती आ रही है।
","हाथी झूमता आ रहा है।
"
11,"Orig: [3, 4, ['रहस्यमयी']], Cor: [3, 4, ['रहस्यमय']], Type: 'R:ADJ'","उसका अंत बड़ा रहस्यमयी हुआ।
","उसका अंत बड़ा रहस्यमय हुआ।
"
12,"Orig: [5, 6, ['बसा']], Cor: [5, 6, ['बसी']], Type: 'R:VERB'","मथुरा यमुना के तट पर बसा है।
",मथुरा यमुना के तट पर बसी है।
