,Proposed Edit,Incorrect Sentence,Correct Sentence,True Label (Multi-Class),"Edit Quality (g,b,a)","Edit Extraction Quality (a,b)"
0,"Orig: [6, 7, ['???????']], Cor: [6, 7, ['??????']], Type: 'R:NOUN'","??? ???? ????? ???? ????? ?? ??????? ?? ??? ???
","??? ???? ????? ???? ????? ?? ?????? ?? ??? ???
",R:NOUN,g,a
1,"Orig: [4, 5, ['???']], Cor: [4, 5, ['??????']], Type: 'R:ADJ'","???? ?? ??????? ?? ??? ????? ???
","???? ?? ??????? ?? ?????? ????? ???
",R:ADJ,g,a
2,"Orig: [5, 6, ['??????']], Cor: [5, 6, ['????????']], Type: 'R:NOUN'","??????? ????????? ?? ??????? ???? ?????? ???
","??????? ????????? ?? ??????? ???? ???????? ???
",R:NOUN,g,a
3,"Orig: [0, 1, ['????????']], Cor: [0, 1, ['???????']], Type: 'R:SPELL'","???????? ?? ??? ???? ?????? ???
","??????? ?? ??? ???? ?????? ???
",R:NOUN,a,a
4,"Orig: [5, 6, ['??????']], Cor: [5, 6, ['??????']], Type: 'R:ADJ'","????????????? ?? ????????????? ?? ???????-???? ?????? ?????
","????????????? ?? ????????????? ?? ???????-???? ?????? ?????
",R:VERB,b,a
5,"Orig: [4, 5, ['??']], Cor: [4, 5, ['??']], Type: 'R:ADP'","????? ??? ??? ???? ?? ???? ?? ??? ????
","????? ??? ??? ???? ?? ?????? ?? ??? ????
",R:ADP,g,a
6,"Orig: [5, 6, ['????']], Cor: [5, 6, ['??????']], Type: 'R:NOUN'","????? ??? ??? ???? ?? ???? ?? ??? ????
","????? ??? ??? ???? ?? ?????? ?? ??? ????
",R:NOUN,g,a
7,"Orig: [5, 6, ['????']], Cor: [5, 6, ['?????']], Type: 'R:NOUN'","????? ????? ??? ???? ?? ???? ????
","????? ????? ??? ???? ?? ????? ????
",R:NOUN,g,a
8,"Orig: [1, 2, ['???']], Cor: [1, 2, ['??????']], Type: 'R:VERB'","??? ??? ????? ???? ?? ?????
","??? ?????? ??? ???? ?? ?????
",R:OTHER,b,b
9,"Orig: [2, 3, ['?????']], Cor: [2, 3, ['???']], Type: 'R:ADP'","??? ??? ????? ???? ?? ?????
","??? ?????? ??? ???? ?? ?????
",R:ADP,g,b
10,"Orig: [4, 5, ['???']], Cor: [4, 5, ['??????']], Type: 'R:NOUN'","?????? ???? ??? ????? ??? ???? ????
","?????? ???? ??? ????? ?????? ???? ????
",R:NOUN,g,a
11,"Orig: [2, 3, ['????????']], Cor: [2, 3, ['????????']], Type: 'R:ADJ'","?? ?? ???????? ???? ???
","?? ?? ???????? ???? ???
",R:ADJ,g,a
12,"Orig: [5, 6, ['???????']], Cor: [5, 6, ['???????']], Type: 'R:SPELL'","???? ??? ??? ???? ?? ??????? ????
","???? ??? ??? ???? ?? ??????? ????
",R:NOUN,a,a
13,"Orig: [4, 5, ['?????????']], Cor: [4, 5, ['????????']], Type: 'R:NOUN'","???? ?? ????? ??? ????????? ????
","???? ?? ????? ??? ???????? ????
",R:NOUN,g,a
14,"Orig: [0, 1, ['???????']], Cor: [0, 1, ['?????']], Type: 'R:SPELL'","??????? ??? ?? ????
","????? ??? ?? ????
",R:ADJ,a,a
15,"Orig: [2, 3, ['????????']], Cor: [2, 3, ['???????']], Type: 'R:SPELL'","????? ??? ???????? ?????
","????? ??? ??????? ?????
",R:NOUN,a,a
16,"Orig: [3, 4, ['??']], Cor: [3, 3, []], Type: 'U:ADP'","??? ????? ?????? ?? ???? ?????? ?? ???
","??? ????? ?????? ???? ?????? ?? ???
",U:ADP,g,a
17,"Orig: [3, 4, ['???']], Cor: [3, 3, []], Type: 'U:NOUN'","???? ???? ???? ??? ???
","???? ???? ???? ???
",U:NOUN,g,a
18,"Orig: [2, 3, ['??']], Cor: [2, 3, ['??']], Type: 'R:ADP'","?????? ?????? ?? ??? ????? ??? ???
","?????? ?????? ?? ?? ????? ??? ???
",R:ADP,g,a
19,"Orig: [3, 4, ['???']], Cor: [3, 4, ['??']], Type: 'R:NOUN'","?????? ?????? ?? ??? ????? ??? ???
","?????? ?????? ?? ?? ????? ??? ???
",R:NOUN,g,a
20,"Orig: [4, 5, ['??????']], Cor: [4, 5, ['???????']], Type: 'R:NOUN'","?? ?????? ?? ??? ?????? ???
","?? ?????? ?? ??? ??????? ???
",R:NOUN,g,a
21,"Orig: [3, 4, ['???']], Cor: [3, 4, ['??????']], Type: 'R:ADJ'","??? ?? ???? ??? ????? ????
","??? ?? ???? ?????? ????? ????
",R:ADJ,g,a
22,"Orig: [2, 5, ['?????', '???', '???']], Cor: [2, 3, ['???']], Type: 'R:VERB-GEN'","????? ???? ????? ??? ??? ??? ???
","????? ???? ??? ??? ???
",R:VERB,b,a
23,"Orig: [5, 6, ['???']], Cor: [5, 5, []], Type: 'U:NOUN'","????, ???? ?? ????? ??? ???
","????, ???? ?? ????? ???
",U:NOUN,g,a
24,"Orig: [4, 5, ['??????']], Cor: [4, 5, ['????']], Type: 'R:NOUN'","??? ????? ??? ???????? ?????? ???
","??? ????? ??? ???????? ???? ???
",R:NOUN,g,a
25,"Orig: [2, 4, ['????', '????']], Cor: [2, 3, ['????']], Type: 'R:VERB-TENSE'","????? ????? ???? ???? ????
","????? ????? ???? ????
",R:VERB-TENSE,g,a
26,"Orig: [0, 1, ['????']], Cor: [0, 1, ['????']], Type: 'R:PRON-GEN'","???? ??????? ??? ???? ???
","???? ????? ??? ???? ???
",R:PRON-GEN,g,a
27,"Orig: [1, 2, ['???????']], Cor: [1, 2, ['?????']], Type: 'R:NOUN'","???? ??????? ??? ???? ???
","???? ????? ??? ???? ???
",R:NOUN,g,a
28,"Orig: [1, 2, ['?????']], Cor: [1, 2, ['?????']], Type: 'R:NOUN-NUM'","???? ????? ?????? ???? ?????
","???? ????? ???? ????
",R:NOUN-NUM,g,a
29,"Orig: [2, 5, ['??????', '????', '????']], Cor: [2, 4, ['????', '???']], Type: 'R:VERB'","???? ????? ?????? ???? ?????
","???? ????? ???? ????
",R:VERB,g,a
30,"Orig: [0, 2, ['??????', '????']], Cor: [0, 2, ['????', '??????']], Type: 'R:WO'","?????? ???? ???? ????? ????
","???? ?????? ???
",R:WO,g,a
31,"Orig: [2, 4, ['????', '?????']], Cor: [2, 2, []], Type: 'U:OTHER'",?????? ???? ???? ????? ????,"???? ?????? ???
",U:ADJ,a,a
32,"Orig: [4, 5, ['???']], Cor: [2, 3, ['??']], Type: 'R:OTHER'","?????? ???? ???? ????? ????
","???? ?????? ???
",R:VERB-NUM,b,a
33,"Orig: [4, 5, ['??????']], Cor: [4, 4, []], Type: 'U:NOUN'","?? ????? ?? ????? ?????? ?? ?????? ???
","?? ????? ?? ????? ?? ?????? ???
",U:NOUN,g,a
34,"Orig: [2, 3, ['???']], Cor: [2, 3, ['??????']], Type: 'R:NOUN'",????? ???? ??? ?? ??? ???,????? ???? ?????? ?? ??? ???,R:NOUN,g,a
