,Proposed Edit InHerrant,Proposed Edit Ankur's Errant,Incorrect Sentence,Correct Sentence,True Label Before (Multi-Class),True Label (Multi-Class),"Edit Quality (g,b,a)","Edit Extraction Quality (a,b)",InHerrant Annotation Correct,"Edit Quality (g,b,a) Ankur",Ankur Annotation Correct
0,"Orig: [2, 3, ['हमारे']], Cor: [2, 3, ['हमारा']], Type: 'R:PRON'","Orig: [2, 3, 'हमारे'], Cor: [2, 3, 'हमारा'], Type: 'R:PRON:INFL'","उत्तम चरित्र-निर्माण हमारे लक्ष्य होने चाहियें।
","उत्तम चरित्र-निर्माण हमारा लक्ष्य होना चाहिए।
",g,R:PRON,a,b,NO,a,NO
1,"Orig: [4, 5, ['होने']], Cor: [4, 5, ['होना']], Type: 'R:VERB-FORM'","Orig: [4, 5, 'होने'], Cor: [4, 5, 'होना'], Type: 'R:VERB:INFL'","उत्तम चरित्र-निर्माण हमारे लक्ष्य होने चाहियें।
","उत्तम चरित्र-निर्माण हमारा लक्ष्य होना चाहिए।
",a,R:VERB-FORM,a,b,NO,a,NO
2,"Orig: [5, 6, ['चाहियें']], Cor: [5, 6, ['चाहिए']], Type: 'R:VERB-TENSE'","Orig: [5, 6, 'चाहियें।'], Cor: [5, 6, 'चाहिए।'], Type: 'R:SPELL'","उत्तम चरित्र-निर्माण हमारे लक्ष्य होने चाहियें।
","उत्तम चरित्र-निर्माण हमारा लक्ष्य होना चाहिए।
",g,R:VERB-TENSE,a,g ,NO,a,NO
3,"Orig: [0, 2, ['केवल', 'यहाँ']], Cor: [0, 2, ['यहाँ', 'केवल']], Type: 'R:WO'","Orig: [0, 2, 'केवल यहाँ'], Cor: [0, 2, 'यहाँ केवल'], Type: 'R:WO'","केवल यहाँ चाई पुस्तकें रखी हैं।
","यहाँ केवल चार पुस्तकें रखी हैं।
",g,R:WO,a,g,NO,a,NO
4,"Orig: [2, 3, ['चाई']], Cor: [2, 3, ['चार']], Type: 'R:SPELL'","Orig: [2, 3, 'चाई'], Cor: [2, 3, 'चार'], Type: 'R:SPELL'","केवल यहाँ चाई पुस्तकें रखी हैं।
","यहाँ केवल चार पुस्तकें रखी हैं।
",g,R:SPELL,a,g,NO,a,NO
5,"Orig: [1, 2, ['केलिए']], Cor: [1, 2, ['के']], Type: 'R:SPELL'","Orig: [1, 2, 'केलिए'], Cor: [1, 2, 'के'], Type: 'R:ADP'","राधा केलिए एक व्याकरण की पुस्तक ले आना।
","राधा के लिए व्याकरण की एक पुस्तक ले आना।
",g,R:SPELL,a,g,NO,a,NO
6,"Orig: [2, 3, ['एक']], Cor: [2, 3, ['लिए']], Type: 'R:OTHER'","Orig: [2, 3, 'एक'], Cor: [2, 3, 'लिए'], Type: 'R:OTHER'","राधा केलिए एक व्याकरण की पुस्तक ले आना।
","राधा के लिए व्याकरण की एक पुस्तक ले आना।
",g,R:OTHER,a,g,NO,a,NO
7,"Orig: [1, 2, ['ने']], Cor: [1, 2, ['द्वारा']], Type: 'R:ADP'","Orig: [1, 2, 'ने'], Cor: [1, 2, 'द्वारा'], Type: 'R:ADP'","पुलिस ने डाकुओं का पीछा किया।
","पुलिस द्वारा डाकुओं का पीछा किया गया।
",g,R:ADP,a,g,NO,a,NO
8,"Orig: [8, 9, ['है']], Cor: [8, 9, ['गया']], Type: 'R:VERB-TENSE'","Orig: [8, 9, 'है'], Cor: [8, 9, 'गया'], Type: 'R:VERB'","सूत्रपुत्र नाटक को चार अंकों में विभक्त किया है।
","सूत्रपुत्र नाटक को चार अंकों में विभक्त किया गया।
",g,R:VERB-TENSE,a,g,NO,a,NO
9,"Orig: [4, 5, ['वाकयों']], Cor: [4, 5, ['वाक्यों']], Type: 'R:SPELL'","Orig: [4, 5, 'वाकयों'], Cor: [4, 5, 'वाक्यों'], Type: 'R:SPELL'","रचना के आधार पर वाकयों को चार भागों में विभकक्‍त किया है। 
","रचना के आधार पर वाक्यों को चार भागों में विभक्त किया गया है।
",b,R:SPELL,a,b,NO,a,NO
10,"Orig: [9, 10, ['विभकक्\u200dत']], Cor: [9, 10, ['विभक्त']], Type: 'R:SPELL'","Orig: [9, 10, 'विभकक्\u200dत'], Cor: [9, 10, 'विभक्त'], Type: 'R:SPELL'","रचना के आधार पर वाकयों को चार भागों में विभकक्‍त किया है। 
","रचना के आधार पर वाक्यों को चार भागों में विभक्त किया गया है।
",g,R:SPELL,a,g,NO,a,NO
11,"Orig: [10, 11, ['सकेगा']], Cor: [9, 10, ['पाएगा']], Type: 'R:VERB-TENSE'","Orig: [10, 11, 'सकेगा'], Cor: [9, 10, 'पाएगा'], Type: 'R:VERB'","इसमें सन्देह है कि वह परीक्षा में अवश्य पास हो सकेगा।
","इसमें सन्देह है कि वह परीक्षा में पास हो पाएगा।
",b,R:VERB-TENSE,a,b,NO,a,NO
12,"Orig: [2, 3, ['सकुशलतापूर्वक']], Cor: [2, 3, ['सकुशल']], Type: 'R:SPELL'","Orig: [2, 3, 'सकुशलतापूर्वक'], Cor: [2, 3, 'सकुशल'], Type: 'R:SPELL'","सब यहाँ सकुशलतापूर्वक हैं।
","सब यहाँ सकुशल हैं।
",g,R:SPELL,a,g,NO,a,NO
13,"Orig: [2, 3, ['नाम्मात्र']], Cor: [1, 2, ['नाममात्र']], Type: 'R:SPELL'","Orig: [2, 3, 'नाम्मात्र'], Cor: [1, 2, 'नाममात्र'], Type: 'R:SPELL'","वह केवल नाम्मात्र का खिलाड़ी है।
","वह नाममात्र का खिलाड़ी है।
",g,R:SPELL,a,g,NO,a,NO
14,"Orig: [0, 1, ['यह']], Cor: [0, 1, ['ये']], Type: 'R:DET'","Orig: [0, 1, 'यह'], Cor: [0, 1, 'ये'], Type: 'R:SPELL'","यह सतन्तरे मीठे हैं।
","ये सन्तरे मीठे हैं।
",g,R:DET,a,g,NO,a,NO
15,"Orig: [1, 2, ['सतन्तरे']], Cor: [1, 2, ['सन्तरे']], Type: 'R:SPELL'","Orig: [1, 2, 'सतन्तरे'], Cor: [1, 2, 'सन्तरे'], Type: 'R:SPELL'","यह सतन्तरे मीठे हैं।
","ये सन्तरे मीठे हैं।
",g,R:SPELL,a,g,NO,a,NO
16,"Orig: [0, 1, ['अनेको']], Cor: [0, 1, ['अनेक']], Type: 'R:SPELL'","Orig: [0, 1, 'अनेको'], Cor: [0, 1, 'अनेक'], Type: 'R:SPELL'","अनेको लोगों ने उसकी प्रशंसा की।
","अनेक लोगों ने उसकी प्रशंसा की।
",g,R:SPELL,a,g,NO,a,NO
17,"Orig: [0, 1, ['प्रथवी']], Cor: [0, 1, ['पृथ्वी']], Type: 'R:SPELL'","Orig: [0, 1, 'प्रथवी'], Cor: [0, 1, 'पृथ्वी'], Type: 'R:SPELL'","प्रथवी गोल है।
","पृथ्वी गोल है।
",g,R:SPELL,a,g,NO,a,NO
18,"Orig: [1, 2, ['ने']], Cor: [1, 3, ['के', 'द्वारा']], Type: 'R:ADP-INFL'","Orig: [1, 2, 'ने'], Cor: [1, 3, 'के द्वारा'], Type: 'R:MULTI'","वक्ता ने देश की दयनीय दशा पर प्रकाश डाला गया है।
","वक्ता के द्वारा देश की दयनीय दशा पर प्रकाश डाला गया।
",g,R:ADP-INFL,a,g,NO,b,YES
19,"Orig: [8, 9, ['सुन्दर']], Cor: [7, 8, ['सुन्दरतम']], Type: 'R:ADJ'","Orig: [8, 9, 'सुन्दर'], Cor: [7, 8, 'सुन्दरतम'], Type: 'R:ADJ:INFL'","मैं पुष्प और पक्षी को प्रकृति की सबसे सुन्दर मानता हूँ।
","मैं पुष्प और पक्षी को प्रकृति की सुन्दरतम कृति मानता हूँ।
",g,R:ADJ,a,g,NO,a,NO
20,"Orig: [0, 1, ['अपना']], Cor: [0, 1, ['अपने']], Type: 'R:PRON'","Orig: [0, 1, 'अपना'], Cor: [0, 1, 'अपने'], Type: 'R:MORPH'","अपना हस्ताक्षर कर दो।
","अपने हस्ताक्षर कर दो।
",g,R:PRON,a,g,NO,a,NO
21,"Orig: [6, 7, ['सीढ़ी']], Cor: [6, 7, ['सीढ़ियाँ']], Type: 'R:SPELL'","Orig: [6, 7, 'सीढ़ी'], Cor: [6, 7, 'सीढ़ियाँ'], Type: 'R:NOUN:INFL'","मन्दिर में जाने के लिए पचास सीढ़ी हैं।
","मन्दिर में जाने के लिए पचास सीढ़ियाँ हैं।
",a,R:SPELL,a,b,NO,a,NO
22,"Orig: [0, 1, ['मेरा']], Cor: [0, 1, ['मेरे']], Type: 'R:PRON'","Orig: [0, 1, 'मेरा'], Cor: [0, 1, 'मेरे'], Type: 'R:PRON:INFL'","मेरा प्राण निकल रहा है।
","मेरे प्राण निकल रहे हैं।
",a,R:PRON,a,b,NO,a,NO
23,"Orig: [3, 4, ['रहा']], Cor: [3, 4, ['रहे']], Type: 'R:VERB-NUM'","Orig: [3, 4, 'रहा'], Cor: [3, 4, 'रहे'], Type: 'R:VERB:INFL'","मेरा प्राण निकल रहा है।
","मेरे प्राण निकल रहे हैं।
",,R:VERB-NUM,,,NO,,NO
24,"Orig: [4, 5, ['है']], Cor: [4, 5, ['हैं']], Type: 'R:SPELL'","Orig: [4, 5, 'है'], Cor: [4, 5, 'हैं'], Type: 'R:VERB:INFL'","मेरा प्राण निकल रहा है।
","मेरे प्राण निकल रहे हैं।
",,R:SPELL,,,NO,,NO
25,"Orig: [0, 1, ['बेरोजगारियाँ']], Cor: [0, 1, ['बेरोजगारी']], Type: 'R:SPELL'","Orig: [0, 1, 'बेरोजगारियाँ'], Cor: [0, 1, 'बेरोजगारी'], Type: 'R:SPELL'","बेरोजगारियाँ दूर होनी चाहिए।
","बेरोजगारी दूर होनी चाहिए।
",b,R:SPELL,a,b,NO,a,NO
26,"Orig: [0, 1, ['अपने']], Cor: [0, 1, ['अपनी']], Type: 'R:PRON-GEN'","Orig: [0, 1, 'अपने'], Cor: [0, 1, 'अपनी'], Type: 'R:PRON:INFL'","अपने सोचों पर काबू पा लो।
","अपनी सोच पर काबू पा लो।
",g,R:PRON-GEN,a,g,NO,a,NO
27,"Orig: [1, 2, ['सोचों']], Cor: [1, 2, ['सोच']], Type: 'R:NOUN-NUM'","Orig: [1, 2, 'सोचों'], Cor: [1, 2, 'सोच'], Type: 'R:SPELL'","अपने सोचों पर काबू पा लो।
","अपनी सोच पर काबू पा लो।
",g,R:NOUN-NUM,a,b,NO,a,NO
28,"Orig: [3, 4, ['गाड़ी']], Cor: [3, 4, ['गाड़ियाँ']], Type: 'R:SPELL'","Orig: [3, 4, 'गाड़ी'], Cor: [3, 4, 'गाड़ियाँ'], Type: 'R:NOUN:INFL'","यहाँ से अनेक गाड़ी गुजरती हैं।
","यहाँ से अनेक गाड़ियाँ गुजरती हैं।
",g,R:SPELL,a,g,NO,a,NO
29,"Orig: [3, 4, ['चिड़िया']], Cor: [3, 4, ['चिड़ियाँ']], Type: 'R:SPELL'","Orig: [3, 4, 'चिड़िया'], Cor: [3, 4, 'चिड़ियाँ'], Type: 'R:NOUN'","आकाश में अनेक चिड़िया उड़ रही हैं।
","आकाश में अनेक चिड़ियाँ उड़ रही हैं।
",a,R:SPELL,a,g,NO,a,NO
30,"Orig: [0, 1, ['इस']], Cor: [0, 1, ['इन']], Type: 'R:DET'","Orig: [0, 1, 'इस'], Cor: [0, 1, 'इन'], Type: 'R:SPELL'","इस प्रश्नों के उत्तर पचास शब्द में दो।
","इन प्रश्नों का उत्तर पचास शब्दों में दो।
",g,R:DET,a,g,NO,a,NO
31,"Orig: [2, 3, ['के']], Cor: [2, 3, ['का']], Type: 'R:ADP-INFL'","Orig: [2, 3, 'के'], Cor: [2, 3, 'का'], Type: 'R:ADP:INFL'","इस प्रश्नों के उत्तर पचास शब्द में दो।
","इन प्रश्नों का उत्तर पचास शब्दों में दो।
",g,R:ADP-INFL,a,g,NO,a,YES
32,"Orig: [5, 6, ['शब्द']], Cor: [5, 6, ['शब्दों']], Type: 'R:NOUN-NUM'","Orig: [5, 6, 'शब्द'], Cor: [5, 6, 'शब्दों'], Type: 'R:NOUN:INFL'","इस प्रश्नों के उत्तर पचास शब्द में दो।
","इन प्रश्नों का उत्तर पचास शब्दों में दो।
",g,R:NOUN-NUM,a,g,NO,a,NO
33,"Orig: [1, 2, ['यह']], Cor: [1, 2, ['ये']], Type: 'R:DET'","Orig: [1, 2, 'यह'], Cor: [1, 2, 'ये'], Type: 'R:SPELL'","क्या यह सारी पुस्तक मुझे पढ़नी हैं?
","क्या ये सारी पुस्तकें मुझे पढ़नी हैं?
",g,R:DET,a,g,NO,a,NO
34,"Orig: [3, 4, ['पुस्तक']], Cor: [3, 4, ['पुस्तकें']], Type: 'R:NOUN-NUM'","Orig: [3, 4, 'पुस्तक'], Cor: [3, 4, 'पुस्तकें'], Type: 'R:NOUN:INFL'","क्या यह सारी पुस्तक मुझे पढ़नी हैं?
","क्या ये सारी पुस्तकें मुझे पढ़नी हैं?
",g,R:NOUN-NUM,a,g,NO,a,NO
35,"Orig: [0, 1, ['हमारा']], Cor: [0, 1, ['हमारी']], Type: 'R:PRON-GEN'","Orig: [0, 1, 'हमारा'], Cor: [0, 1, 'हमारी'], Type: 'R:PRON:INFL'","हमारा वस्तुओं का ध्यान रखा जाए।
","हमारी वस्तुओं का ध्यान रखा जाए।
",g,R:PRON-GEN,a,g,NO,a,NO
36,"Orig: [0, 1, ['सारा']], Cor: [0, 1, ['सारी']], Type: 'R:DET'","Orig: [0, 1, 'सारा'], Cor: [0, 1, 'सारी'], Type: 'R:SPELL'","सारा प्रतिभा विकृत हो गया।
","सारी प्रतिभा विकृत हो गयी।
",g,R:DET,a,g,NO,a,NO
37,"Orig: [4, 5, ['गया']], Cor: [4, 5, ['गयी']], Type: 'R:VERB-GEN'","Orig: [4, 5, 'गया'], Cor: [4, 5, 'गयी'], Type: 'R:VERB:INFL'","सारा प्रतिभा विकृत हो गया।
","सारी प्रतिभा विकृत हो गयी।
",g,R:VERB-GEN,a,g,NO,a,NO
38,"Orig: [1, 2, ['खारी']], Cor: [1, 2, ['खारा']], Type: 'R:ADJ-GEN'","Orig: [1, 2, 'खारी'], Cor: [1, 2, 'खारा'], Type: 'R:MORPH'","तुम खारी पानी लाते हो।
","तुम खारा पानी लाते हो।
",a,R:ADJ-GEN,a,b,NO,a,NO
39,"Orig: [2, 3, ['खट्टी']], Cor: [2, 3, ['खट्टा']], Type: 'R:ADJ-GEN'","Orig: [2, 3, 'खट्टी'], Cor: [2, 3, 'खट्टा'], Type: 'R:MORPH'","दही बहुत खट्टी है।
","दही बहुत खट्टा है।
",a,R:ADJ-GEN,a,b,NO,a,NO
40,"Orig: [3, 4, ['रहस्यमयी']], Cor: [3, 4, ['रहस्यमय']], Type: 'R:SPELL'","Orig: [3, 4, 'रहस्यमयी'], Cor: [3, 4, 'रहस्यमय'], Type: 'R:ADJ:INFL'","उसका अंत बड़ा रहस्यमयी हुआ।
","उसका अंत बड़ा रहस्यमय हुआ।
",a,R:SPELL,a,b,NO,a,NO
41,"Orig: [0, 1, ['हमारी']], Cor: [0, 1, ['हमारा']], Type: 'R:PRON-GEN'","Orig: [0, 1, 'हमारी'], Cor: [0, 1, 'हमारा'], Type: 'R:PRON:INFL'","हमारी समाज प्रगतिशील बने।
","हमारा समाज प्रगतिशील बने।
",g,R:PRON-GEN,a,g,NO,a,NO
