Proposed Edit,Incorrect Sentence,Correct Sentence,True Label (Multi-Class),"Edit Quality (g,b,a)","Edit Extraction Quality (a,b)"
"Orig: [9, 10, ['?????']], Cor: [9, 10, ['????']], Type: 'R:VERB'","????? ?? ??? ???? ??? ???? ??? ?? ????? ????? ?? ???? ?????
","????? ?? ??? ???? ??? ???? ??? ?? ????? ???? ?? ????? ?????
",R:VERB,g,b
"Orig: [11, 12, ['????']], Cor: [11, 12, ['?????']], Type: 'R:VERB'","????? ?? ??? ???? ??? ???? ??? ?? ????? ????? ?? ???? ?????
","????? ?? ??? ???? ??? ???? ??? ?? ????? ???? ?? ????? ?????
",R:VERB,g,b
"Orig: [0, 1, ['??']], Cor: [0, 0, []], Type: 'U:DET'","?? ????? ?? ???? ??? ??? ??, ?? ???? ????? ???
","?? ????? ???? ??? ??? ??, ?? ???? ????? ???
",R:PRON,b,a
"Orig: [1, 3, ['?????', '??']], Cor: [0, 2, ['??', '?????']], Type: 'R:WO'","?? ????? ?? ???? ??? ??? ??, ?? ???? ????? ???
","?? ????? ???? ??? ??? ??, ?? ???? ????? ???
",R:WO,g,a
"Orig: [8, 9, ['????']], Cor: [8, 10, ['??', '????']], Type: 'R:PRON'","?? ?? ???-??? ?????? ????? ???, ?? ???? ???? ????? ?? ?? ???? ????? ???
","?? ?? ???-??? ?????? ????? ???, ?? ?? ???? ???? ????? ???? ??????
",R:PRON,g,a
"Orig: [10, 11, ['?????']], Cor: [11, 12, ['?????']], Type: 'R:VERB'","?? ?? ???-??? ?????? ????? ???, ?? ???? ???? ????? ?? ?? ???? ????? ???
","?? ?? ???-??? ?????? ????? ???, ?? ?? ???? ???? ????? ???? ??????
",R:VERB,g,a
"Orig: [11, 13, ['??', '??']], Cor: [12, 12, []], Type: 'U:OTHER'","?? ?? ???-??? ?????? ????? ???, ?? ???? ???? ????? ?? ?? ???? ????? ???
","?? ?? ???-??? ?????? ????? ???, ?? ?? ???? ???? ????? ???? ??????
",U:OTHER,a,a
"Orig: [14, 16, ['?????', '??']], Cor: [13, 14, ['?????']], Type: 'R:OTHER'","?? ?? ???-??? ?????? ????? ???, ?? ???? ???? ????? ?? ?? ???? ????? ???
","?? ?? ???-??? ?????? ????? ???, ?? ?? ???? ???? ????? ???? ??????
",R:VERB,b,a
"Orig: [0, 3, ['??', '????????', '???']], Cor: [0, 0, []], Type: 'U:OTHER'","?? ???????? ??? ?? ?????????? ?????? ???? ????? ???, ???? ?? ???????? ??? ?????? ?? ???? ???
","?? ?????????? ?????? ???? ????? ???, ???? ?? ???????? ??? ?????? ?? ???? ??? 
",U:OTHER,a,b
"Orig: [2, 2, []], Cor: [2, 7, ['??', '???', '??', '??', ',']], Type: 'M:OTHER'","?? ???? ?? ??? ?? ???? ?? ??, ?? ??? ?? ??? 
","?? ???? ?? ??? ?? ??, ?? ??? ?? ???? ?? ???
",M:OTHER,a,b
"Orig: [8, 13, [',', '??', '???', '??', '??']], Cor: [13, 13, []], Type: 'U:OTHER'","?? ???? ?? ??? ?? ???? ?? ??, ?? ??? ?? ??? 
","?? ???? ?? ??? ?? ??, ?? ??? ?? ???? ?? ???
",U:OTHER,a,b
"Orig: [0, 2, ['??', '???']], Cor: [0, 0, []], Type: 'U:OTHER'","?? ??? ???? ??????? ????? ????? ???? ???
","????? ????? ??????? ????? ????? ???? ?? ?
",U:OTHER,a,a
"Orig: [2, 3, ['????']], Cor: [0, 1, ['??\u200d??']], Type: 'R:PRON'","?? ??? ???? ??????? ????? ????? ???? ???
","????? ????? ??????? ????? ????? ???? ?? ?
",R:PRON,g,a
"Orig: [3, 3, []], Cor: [1, 2, ['?????']], Type: 'M:ADV'","?? ??? ???? ??????? ????? ????? ???? ???
","????? ????? ??????? ????? ????? ???? ?? ?
",M:ADV,g,a
"Orig: [8, 9, ['?']], Cor: [7, 8, ['?']], Type: 'R:PUNCT'","?? ??? ???? ??????? ????? ????? ???? ???
","????? ????? ??????? ????? ????? ???? ?? ?
",R:PUNCT,g,a
"Orig: [0, 2, ['?????', '??']], Cor: [0, 1, ['??????']], Type: 'R:NOUN'","????? ?? ????? ?? ?????? ???? ??? ?????
","?????? ????? ??? ???? ?? ???? ??? ?????
",R:NOUN,g,b
"Orig: [3, 4, ['??']], Cor: [2, 3, ['???']], Type: 'R:OTHER'","????? ?? ????? ?? ?????? ???? ??? ?????
","?????? ????? ??? ???? ?? ???? ??? ?????
",R:VERB,b,b
