,Unnamed: 0,Proposed Edit,Incorrect Sentence,Correct Sentence,True Label (Multi-Class),"Edit Quality (g,b,a)","Edit Extraction Quality (a,b)"
0,0,"Orig: [0, 2, ['गाय', 'काली']], Cor: [0, 2, ['काली', 'गाय']], Type: 'R:WO'","गाय काली चर रही है।
","काली गाय चर रही है।
",R:WO,g,a
1,1,"Orig: [0, 2, ['हवा', 'ठंडी']], Cor: [0, 2, ['ठंडी', 'हवा']], Type: 'R:WO'","हवा ठंडी बह रही थी। 
","ठंडी हवा बह रही थी।
",R:WO,g,a
2,2,"Orig: [3, 4, ['बड़ी-बड़ी']], Cor: [3, 4, ['बड़े-बड़े']], Type: 'R:SPELL'","मुंबई में मैंने बड़ी-बड़ी होटलें देखी।
","मुंबई में मैंने बड़े-बड़े होटल देखे।
",R:ADJ-GEN,b,a
3,3,"Orig: [4, 5, ['होटलें']], Cor: [4, 5, ['होटल']], Type: 'R:SPELL'","मुंबई में मैंने बड़ी-बड़ी होटलें देखी।
","मुंबई में मैंने बड़े-बड़े होटल देखे।
",R:NOUN-NUM,b,a
4,4,"Orig: [5, 6, ['देखी']], Cor: [5, 6, ['देखे']], Type: 'R:VERB-GEN'","मुंबई में मैंने बड़ी-बड़ी होटलें देखी।
","मुंबई में मैंने बड़े-बड़े होटल देखे।
",R:VERB-GEN,g,a
5,5,"Orig: [1, 2, ['बड़ा-सा']], Cor: [1, 2, ['बड़ी-सी']], Type: 'R:SPELL'","एक बड़ा-सा कील लाओ।
","एक बड़ी-सी कील लाओ।
",R:ADJ-GEN,b,a
6,6,"Orig: [2, 3, ['ताज़ी']], Cor: [2, 3, ['ताज़ा']], Type: 'R:SPELL'","आज की ताज़ी खबरें सुनो।
","आज की ताज़ा खबरें सुनो।
",R:ADJ-GEN,b,a
7,7,"Orig: [1, 2, ['की']], Cor: [1, 2, ['का']], Type: 'R:ADP'","दहेज की लेन-देन बहुत बुरी रिवाज़ है।
","दहेज का लेन-देन बहुत बुरा रिवाज़ है।
",R:ADP,g,a
8,8,"Orig: [4, 5, ['बुरी']], Cor: [4, 5, ['बुरा']], Type: 'R:ADJ-GEN'","दहेज की लेन-देन बहुत बुरी रिवाज़ है।
","दहेज का लेन-देन बहुत बुरा रिवाज़ है।
",R:ADJ-GEN,g,a
9,9,"Orig: [4, 5, ['विशाल']], Cor: [4, 5, ['तेज़']], Type: 'R:ADJ'","मोहन की बुद्धि बड़ी विशाल है।
","मोहन की बुद्धि बड़ी तेज़ है।
",R:ADJ,g,a
10,10,"Orig: [4, 5, ['घोर']], Cor: [4, 5, ['घनिष्ठ']], Type: 'R:ADJ'","साहित्य और जीवन का घोर संबंध है।
","साहित्य और जीवन का घनिष्ठ संबंध है।
",R:ADJ,g,a
11,11,"Orig: [2, 3, ['वीभत्स']], Cor: [2, 3, ['भयानक']], Type: 'R:ADJ'","सिंह एक वीभत्स जानवर है।
","सिंह एक भयानक जानवर है।
",R:ADJ,g,a
12,12,"Orig: [2, 3, ['तीब्र']], Cor: [2, 3, ['अधिक']], Type: 'R:OTHER'","शीला के तीब्र आग्रह करने पर मैं उसके घर गई।
","शीला के अधिक आग्रह करने पर मैं उसके घर गई।
",R:ADJ,g,a
13,13,"Orig: [1, 2, ['बुद्धि']], Cor: [1, 2, ['बुदृधि']], Type: 'R:NOUN'","उसकी बुद्धि बड़ी विशाल है।
","उसकी बुदृधि बड़ी सूक्ष्म है।
",R:SPELL,b,a
14,14,"Orig: [3, 4, ['विशाल']], Cor: [3, 4, ['सूक्ष्म']], Type: 'R:ADJ'","उसकी बुद्धि बड़ी विशाल है।
","उसकी बुदृधि बड़ी सूक्ष्म है।
",R:ADJ,g,a
15,15,"Orig: [3, 4, ['सबसे']], Cor: [3, 4, ['अधिक']], Type: 'R:OTHER'","तुम दोनों में सबसे बुद्धिमान कौन है ?
","तुम दोनों में अधिक बुद्धिमान कौन है ?
",R:OTHER,g,a
16,16,"Orig: [3, 4, ['का']], Cor: [3, 4, ['की']], Type: 'R:ADP'","डॉक्टरों ने कागज़ात का निरीक्षण किया।
","डॉक्टरों ने कागज़ात की जाँच की।
",R:ADP,g,a
17,17,"Orig: [4, 5, ['निरीक्षण']], Cor: [4, 5, ['जाँच']], Type: 'R:NOUN'","डॉक्टरों ने कागज़ात का निरीक्षण किया।
","डॉक्टरों ने कागज़ात की जाँच की।
",R:NOUN,g,a
18,18,"Orig: [5, 6, ['किया']], Cor: [5, 6, ['की']], Type: 'R:VERB-GEN'","डॉक्टरों ने कागज़ात का निरीक्षण किया।
","डॉक्टरों ने कागज़ात की जाँच की।
",R:VERB-GEN,g,a
19,19,"Orig: [1, 3, ['के', 'भय']], Cor: [1, 1, []], Type: 'U:NOUN'","दुष्टों के भय से डरो मत।
","दुष्टों से डरो मत।
",U:NOUN,g,a
20,20,"Orig: [6, 7, ['बड़ाईपन']], Cor: [6, 7, ['बड़प्पन']], Type: 'R:SPELL'","किसी को क्षमा करने में ही बड़ाईपन है।
","किसी को क्षमा करने में ही बड़प्पन है।
",R:SPELL,g,a
21,21,"Orig: [0, 3, ['एक', 'दूध', 'का']], Cor: [0, 3, ['दूध', 'का', 'एक']], Type: 'R:WO'","एक दूध का गिलास दो।
","दूध का एक गिलास दो।
",R:WO,g,a
22,22,"Orig: [4, 6, ['दो', '।']], Cor: [4, 5, ['दो।']], Type: 'R:ORTH'","एक दूध का गिलास दो।
","दूध का एक गिलास दो।
",R:ORTH,g,a
23,23,"Orig: [0, 1, ['गुप्त']], Cor: [0, 0, []], Type: 'U:ADJ'","गुप्त रहस्य की बातें तुम्हें कैसे पता चलीं ?
","रहस्य की बातें तुम्हें कैसे पता चलीं ?
",U:ADJ,g,a
24,24,"Orig: [2, 3, ['दहाड़']], Cor: [2, 3, ['चिंघाड़']], Type: 'R:NOUN'","हाथियों की दहाड़ सुनकर हम डर गए।
","हाथियों की चिंघाड़ सुनकर हम डर गए।
",R:NOUN,g,a
25,25,"Orig: [2, 3, ['वाला']], Cor: [2, 2, []], Type: 'U:ADP'","यह हमारा वाला घर है।
","यह हमारा घर है।
",U:ADJ,b,a
