,Proposed Edit InHerrant,Incorrect Sentence,Correct Sentence,True Label Before (Multi-Class),True Label (Multi-Class),"Edit Quality (g,b,a)","Edit Extraction Quality (a,b)",InHerrant Annotation Correct
0,"Orig: [3, 4, ['का']], Cor: [3, 4, ['की']], Type: 'R:ADP-INFL'","डॉक्टरों ने कागज़ात का निरीक्षण किया।
","डॉक्टरों ने कागज़ात की जाँच की।
",R:ADP,R:ADP-INFL,g,a,NO
1,"Orig: [4, 5, ['निरीक्षण']], Cor: [4, 5, ['जाँच']], Type: 'R:NOUN'","डॉक्टरों ने कागज़ात का निरीक्षण किया।
","डॉक्टरों ने कागज़ात की जाँच की।
",R:NOUN,R:NOUN,g,a,YES
2,"Orig: [5, 6, ['किया']], Cor: [5, 6, ['की']], Type: 'R:VERB-GEN'","डॉक्टरों ने कागज़ात का निरीक्षण किया।
","डॉक्टरों ने कागज़ात की जाँच की।
",R:VERB-GEN,R:VERB-GEN,g,a,YES
3,"Orig: [1, 3, ['के', 'भय']], Cor: [1, 1, []], Type: 'U:OTHER'","दुष्टों के भय से डरो मत।
","दुष्टों से डरो मत।
",U:OTHER,U:OTHER,g,a,YES
4,"Orig: [0, 3, ['एक', 'दूध', 'का']], Cor: [0, 3, ['दूध', 'का', 'एक']], Type: 'R:WO'","एक दूध का गिलास दो।
","दूध का एक गिलास दो।
",R:WO,R:WO,g,a,YES
5,"Orig: [4, 6, ['दो', '।']], Cor: [4, 5, ['दो।']], Type: 'R:ORTH'","एक दूध का गिलास दो।
","दूध का एक गिलास दो।
",R:ORTH,R:ORTH,g,a,YES
6,"Orig: [0, 1, ['गुप्त']], Cor: [0, 0, []], Type: 'U:ADJ'","गुप्त रहस्य की बातें तुम्हें कैसे पता चलीं ?
","रहस्य की बातें तुम्हें कैसे पता चलीं ?
",U:ADJ,U:ADJ,g,a,YES
7,"Orig: [2, 3, ['वाला']], Cor: [2, 2, []], Type: 'U:ADP'","यह हमारा वाला घर है।
","यह हमारा घर है।
",U:ADP,U:ADP,g,a,YES
8,"Orig: [2, 3, ['आगामी']], Cor: [2, 3, ['भावी']], Type: 'R:ADJ'","यह हमारे आगामी नेता है।
","यह हमारे भावी नेता हैं।
",R:ADJ,R:ADJ,g,a,YES
9,"Orig: [4, 5, ['है']], Cor: [4, 5, ['हैं']], Type: 'R:SPELL'","यह हमारे आगामी नेता है।
","यह हमारे भावी नेता हैं।
",R:VERB-NUM,R:SPELL,g,a,NO
10,"Orig: [3, 4, ['सघन']], Cor: [3, 4, ['गहरी']], Type: 'R:ADJ'","यह झील बहुत सघन है।
","यह झील बहुत गहरी है।
",R:ADJ,R:ADJ,g,a,YES
11,"Orig: [3, 4, ['भारी']], Cor: [3, 3, []], Type: 'U:ADJ'","बाज़ार में वस्तुएँ भारी महँगी हैं।
","बाज़ार में वस्तुएँ महँगी हैं।
",U:ADJ,U:ADJ,g,a,YES
12,"Orig: [2, 3, ['एक']], Cor: [2, 2, []], Type: 'U:ADJ'","यहाँ कोई एक व्यक्ति नहीं है।
","यहाँ कोई व्यक्ति नहीं है।
",U:ADJ,U:ADJ,g,a,YES
13,"Orig: [1, 3, ['दिन', 'भर']], Cor: [1, 2, ['दिनभर']], Type: 'R:ORTH'","आज दिन भर बेशुमार गरमी रही।
","आज दिनभर बहुत गरमी रही।
",R:ORTH,R:ORTH,g,a,YES
14,"Orig: [3, 4, ['बेशुमार']], Cor: [2, 3, ['बहुत']], Type: 'R:OTHER'","आज दिन भर बेशुमार गरमी रही।
","आज दिनभर बहुत गरमी रही।
",R:ADV,R:OTHER,b,a,NO
