,Proposed Edit InHerrant,Proposed Edit Ankur's Errant,Incorrect Sentence,Correct Sentence,True Label Before (Multi-Class),True Label (Multi-Class),"Edit Quality (g,b,a)","Edit Extraction Quality (a,b)",InHerrant Annotation Correct,"Edit Quality (g,b,a) Ankur",Ankur Annotation Correct
0,"Orig: [9, 10, ['उड़ते']], Cor: [9, 10, ['चरते']], Type: 'R:VERB'","Orig: [9, 10, 'उड़ते'], Cor: [9, 10, 'चरते'], Type: 'R:VERB'","मैंने उस घने जंगल में अनेक पशु और पक्षी उड़ते और चरते देखे।
","मैंने उस घने जंगल में अनेक पशु और पक्षी चरते और उड़ते देखे।
",R:VERB,R:VERB,g,b,YES,g,NO
1,"Orig: [11, 12, ['चरते']], Cor: [11, 12, ['उड़ते']], Type: 'R:VERB'","Orig: [11, 12, 'चरते'], Cor: [11, 12, 'उड़ते'], Type: 'R:VERB'","मैंने उस घने जंगल में अनेक पशु और पक्षी उड़ते और चरते देखे।
","मैंने उस घने जंगल में अनेक पशु और पक्षी चरते और उड़ते देखे।
",R:VERB,R:VERB,g,b,YES,g,NO
2,"Orig: [1, 3, ['किताब', 'जो']], Cor: [0, 2, ['जो', 'किताब']], Type: 'R:WO'","Orig: [1, 3, 'किताब जो'], Cor: [0, 2, 'जो किताब'], Type: 'R:WO'","वह किताब जो कोने में रखी है, वह बहुत अच्छी है।
","जो किताब कोने में रखी है, वह बहुत अच्छी है।
",R:WO,R:WO,g,a,YES,g,NO
3,"Orig: [1, 2, ['ने']], Cor: [1, 2, ['का']], Type: 'R:ADP'","Orig: [1, 2, 'ने'], Cor: [1, 2, 'का'], Type: 'R:ADP'","पंचों ने जो निर्णय लिया वह सभी को मान्य था।
","पंचों का निर्णय सभी को मान्य था।
",R:ADP,R:ADP,g,a,YES,g,NO
4,"Orig: [0, 2, ['जाऊँ', 'कहाँ']], Cor: [0, 2, ['कहाँ', 'जाऊँ']], Type: 'R:WO'","Orig: [0, 2, 'जाऊँ कहाँ'], Cor: [0, 2, 'कहाँ जाऊँ'], Type: 'R:WO'","जाऊँ कहाँ, मैं तो आप पर ही निर्भर करता हूँ।
","कहाँ जाऊँ, जब मैं आप पर निर्भर हूँ।
",R:WO,R:WO,g,a,YES,g,NO
5,"Orig: [1, 3, ['पुस्तक', 'सुंदर']], Cor: [1, 3, ['सुंदर', 'पुस्तक']], Type: 'R:WO'","Orig: [1, 3, 'पुस्तक सुंदर'], Cor: [1, 3, 'सुंदर पुस्तक'], Type: 'R:WO'","ऐसी पुस्तक सुंदर नहीं देखी।
","ऐसी सुंदर पुस्तक नहीं देखी।
",R:WO,R:WO,g,a,YES,g,NO
6,"Orig: [0, 3, ['बिना', 'पुस्तकों', 'के']], Cor: [0, 3, ['पुस्तकों', 'के', 'बिना']], Type: 'R:WO'","Orig: [0, 3, 'बिना पुस्तकों के'], Cor: [0, 3, 'पुस्तकों के बिना'], Type: 'R:WO'","बिना पुस्तकों के कैसे पढ़ोगे?
","पुस्तकों के बिना कैसे पढ़ोगे?
",R:WO,R:WO,g,a,YES,g,NO
7,"Orig: [0, 3, ['गहरी', 'आगे', 'एक']], Cor: [0, 3, ['आगे', 'एक', 'गहरी']], Type: 'R:WO'","Orig: [0, 3, 'गहरी आगे एक'], Cor: [0, 3, 'आगे एक गहरी'], Type: 'R:WO'","गहरी आगे एक झील मिलेगी।
","आगे एक गहरी झील मिलेगी।
",R:WO,R:WO,g,a,YES,g,NO
8,"Orig: [1, 4, ['पक्का', 'ईश्वर', 'का']], Cor: [1, 4, ['ईश्वर', 'का', 'पक्का']], Type: 'R:WO'","Orig: [1, 4, 'पक्का ईश्वर का'], Cor: [1, 4, 'ईश्वर का पक्का'], Type: 'R:WO'","वह पक्का ईश्वर का पुजारी है।
","वह ईश्वर का पक्का पुजारी है।
",R:WO,R:WO,g,a,YES,g,NO
9,"Orig: [1, 4, ['ताजा', 'गाय', 'का']], Cor: [1, 4, ['गाय', 'का', 'ताजा']], Type: 'R:WO'","Orig: [1, 4, 'ताजा गाय का'], Cor: [1, 4, 'गाय का ताजा'], Type: 'R:WO'","यहाँ ताजा गाय का दूध मिलता है।
","यहाँ गाय का ताजा दूध मिलता है।
",R:WO,R:WO,g,a,YES,g,NO
10,"Orig: [1, 3, ['पागल', 'हाथी']], Cor: [1, 3, ['हाथी', 'पागल']], Type: 'R:WO'","Orig: [1, 3, 'पागल हाथी'], Cor: [1, 3, 'हाथी पागल'], Type: 'R:WO'","वह पागल हाथी हो गया है।
","वह हाथी पागल हो गया है।
",R:WO,R:WO,g,a,YES,g,NO
11,"Orig: [0, 4, ['खरगोश', 'को', 'काटकर', 'गाजर']], Cor: [0, 4, ['गाजर', 'काटकर', 'खरगोश', 'को']], Type: 'R:WO'","Orig: [0, 4, 'खरगोश को काटकर गाजर'], Cor: [0, 4, 'गाजर काटकर खरगोश को'], Type: 'R:WO'","खरगोश को काटकर गाजर खिलाओ।
","गाजर काटकर खरगोश को खिलाओ।
",R:WO,R:WO,g,a,YES,g,NO
12,"Orig: [2, 4, ['गरमागरम', 'कप']], Cor: [2, 4, ['कप', 'गरमागरम']], Type: 'R:WO'","Orig: [2, 4, 'गरमागरम कप'], Cor: [2, 4, 'कप गरमागरम'], Type: 'R:WO'","मुझे एक गरमागरम कप चाय देना।
","मुझे एक कप गरमागरम चाय देना।
",R:WO,R:WO,g,a,YES,g,NO
13,"Orig: [0, 3, ['गरम', 'गाय', 'का']], Cor: [0, 3, ['गाय', 'का', 'गरम']], Type: 'R:WO'","Orig: [0, 3, 'गरम गाय का'], Cor: [0, 3, 'गाय का गरम'], Type: 'R:WO'","गरम गाय का दूध स्वास्थ्यवर्धक होता है।
","गाय का गरम दूध स्वास्थ्यवर्धक होता है।
",R:WO,R:WO,g,a,YES,g,NO
14,"Orig: [1, 4, ['मुफ़्त', 'गरीबों', 'का']], Cor: [1, 4, ['गरीबों', 'का', 'मुफ़्त']], Type: 'R:WO'","Orig: [1, 4, 'मुफ़्त गरीबों का'], Cor: [1, 4, 'गरीबों का मुफ़्त'], Type: 'R:WO'","यहाँ मुफ़्त गरीबों का इलाज होता है।
","यहाँ गरीबों का मुफ़्त इलाज होता है।
",R:WO,R:WO,g,a,YES,g,NO
15,"Orig: [1, 4, ['एक', 'फूलों', 'का']], Cor: [1, 4, ['फूलों', 'का', 'एक']], Type: 'R:WO'","Orig: [1, 4, 'एक फूलों का'], Cor: [1, 4, 'फूलों का एक'], Type: 'R:WO'","मुझे एक फूलों का हार देना।
","मुझे फूलों का एक हार देना।
",R:WO,R:WO,g,a,YES,g,NO
16,"Orig: [0, 4, ['बच्चे', 'को', 'काटकर', 'फल']], Cor: [1, 5, ['फल', 'काटकर', 'बच्चे', 'को']], Type: 'R:WO'","Orig: [0, 4, 'बच्चे को काटकर फल'], Cor: [1, 5, 'फल काटकर बच्चे को'], Type: 'R:WO'","बच्चे को काटकर फल खिलाओ।
","'फल काटकर बच्चे को खिलाओ।
",R:WO,R:WO,g,a,YES,g,NO
