,Proposed Edit InHerrant,Proposed Edit Ankur's Errant,Incorrect Sentence,Correct Sentence,True Label (Multi-Class),"Edit Quality (g,b,a)","Edit Extraction Quality (a,b)",True Label Before (Multi-Class),InHerrant Annotation Correct,"Edit Quality (g,b,a) Ankur",Ankur Annotation Correct
0,"Orig: [1, 2, ['ने']], Cor: [1, 1, []], Type: 'U:ADP'","Orig: [1, 2, ['ने']], Cor: [1, 1, []], Type: 'U:PSP'","शीला ने पढ़ती है।
","शीला पढ़ती है।
",U:ADP,g,a,U:ADP,YES,g,NO
1,"Orig: [2, 3, ['को']], Cor: [2, 3, ['से']], Type: 'R:ADP'","Orig: [2, 3, ['को']], Cor: [2, 3, ['से']], Type: 'R:ADP'","उसने राम को पूछा।
","उसने राम से पूछा।
",R:ADP,g,a,R:ADP,YES,g,NO
2,"Orig: [3, 5, ['पूछा', '।']], Cor: [3, 4, ['पूछा।']], Type: 'R:ORTH'","Orig: [3, 5, ['पूछा', '।']], Cor: [3, 4, ['पूछा।']], Type: 'R:ORTH'","उसने राम को पूछा।
","उसने राम से पूछा।
",R:ORTH,,b,,NO,,NO
3,"Orig: [0, 1, ['उसका']], Cor: [0, 1, ['उसके']], Type: 'R:PRON'","Orig: [0, 1, ['उसका']], Cor: [0, 1, ['उसके']], Type: 'R:PRON:INFL'","उसका लड़के का नाम राज है।
","उसके लड़के का नाम राज है।
",R:PRON,g,a,R:PRON,YES,g,NO
4,"Orig: [0, 1, ['उसको']], Cor: [0, 1, ['उसके']], Type: 'R:PRON'","Orig: [0, 1, ['उसको']], Cor: [0, 1, ['उसके']], Type: 'R:PRON:INFL'","उसको पेट में दर्द हो रहा है।
","उसके पेट में दर्द हो रहा है।
",R:PRON,a,a,R:PRON,NO,a,NO
5,"Orig: [1, 2, ['से']], Cor: [1, 2, ['पर']], Type: 'R:ADP'","Orig: [1, 2, ['से']], Cor: [1, 2, ['पर']], Type: 'R:ADP'","बच्चों से गुस्सा करना व्यर्थ है।
","बच्चों पर गुस्सा करना व्यर्थ है।
",R:ADP,g,a,R:ADP,YES,g,NO
6,"Orig: [2, 3, ['से']], Cor: [2, 3, ['में']], Type: 'R:ADP'","Orig: [2, 3, ['से']], Cor: [2, 3, ['में']], Type: 'R:ADP'","वह हँसी से बात टाल गया।
","वह हँसी में बात टाल गया।
",R:ADP,g,a,R:ADP,YES,g,NO
7,"Orig: [1, 2, ['को']], Cor: [1, 2, ['से']], Type: 'R:ADP'","Orig: [1, 2, ['को']], Cor: [1, 2, ['से']], Type: 'R:ADP'","दीन-दुर्बलों को प्यार करना मानवता है।
","दीन-दुर्बलों से प्यार करना मानवता है।
",R:ADP,g,a,R:ADP,YES,g,NO
8,"Orig: [1, 2, ['को']], Cor: [1, 2, ['के']], Type: 'R:ADP'","Orig: [1, 2, ['को']], Cor: [1, 2, ['के']], Type: 'R:ADP'","दशरथ को चार पुत्र थे।
","दशरथ के चार पुत्र थे।
",R:ADP,g,a,R:ADP,YES,g,NO
9,"Orig: [0, 1, ['मेरा']], Cor: [0, 1, ['मेरे']], Type: 'R:PRON'","Orig: [0, 1, ['मेरा']], Cor: [0, 1, ['मेरे']], Type: 'R:PRON:INFL'","मेरा मित्र ने मुझको मदद की।
","मेरे मित्र ने मेरी मदद की।
",R:PRON,g,a,R:PRON,YES,g,NO
