,Proposed Edit,Incorrect Sentence,Correct Sentence
0,"Orig: [0, 1, ['उसके']], Cor: [0, 1, ['उसकी']], Type: 'R:PRON-GEN'","उसके आदतें बिगड़ गयी हैं।
","उसकी आदतें बिगड़ गयी हैं।
"
1,"Orig: [0, 1, ['उसका']], Cor: [0, 1, ['उसकी']], Type: 'R:PRON-GEN'","उसका चोटी बड़ी लम्बी हो गयी है।
","उसकी चोटी बड़ी लम्बी हो गयी है।
"
2,"Orig: [0, 1, ['मेरा']], Cor: [0, 1, ['मेरी']], Type: 'R:PRON-GEN'","मेरा मेहँदी अब सूख गयी है।
","मेरी मेहँदी अब सूख गयी है।
"
3,"Orig: [0, 1, ['उसकी']], Cor: [0, 1, ['उसके']], Type: 'R:PRON-GEN'","उसकी बगीचे में बहुत सुंदर पुष्प खिले हैं।
","उसके बगीचे में बहुत सुंदर पुष्प खिले हैं।
"
4,"Orig: [3, 4, ['चौड़ा']], Cor: [3, 4, ['चौड़ी']], Type: 'R:SPELL'","दिल्ली में बहुत चौड़ा सड़कें हैं। 
","दिल्ली में बहुत चौड़ी सड़कें हैं। 
"
5,"Orig: [1, 2, ['बड़ा']], Cor: [1, 2, ['बड़ी']], Type: 'R:SPELL'","अक़्ल बड़ा या भैंस?
","अक़्ल बड़ी या भैंस?
"
6,"Orig: [1, 2, ['महंगा']], Cor: [1, 2, ['महंगी']], Type: 'R:ADJ-GEN'","सब्ज़ियाँ महंगा हो गयी हैं ।
","सब्ज़ियाँ महंगी हो गयी हैं।
"
7,"Orig: [2, 3, ['नीला']], Cor: [2, 3, ['नीली']], Type: 'R:ADJ-GEN'","मैंने तुम्हारी नीला क़मीज़ बिस्तर पर रखी है।
","मैंने तुम्हारी नीली क़मीज़ बिस्तर पर रखी है।
"
8,"Orig: [0, 1, ['वे']], Cor: [0, 1, ['वह']], Type: 'R:PRON'","वे अच्छा लड़का है। 
","वह अच्छा लड़का है।
"
9,"Orig: [1, 2, ['मेरा']], Cor: [1, 2, ['हमारा']], Type: 'R:PRON'","यह मेरा घर है। 
","यह हमारा घर है। 
"
10,"Orig: [0, 1, ['इसे']], Cor: [0, 1, ['इन्हें']], Type: 'R:PRON-NUM'","इसे पानी दो।
","इन्हें पानी दो।
"
11,"Orig: [0, 1, ['उसका']], Cor: [0, 1, ['उसके']], Type: 'R:PRON'","उसका प्राण निकल गए। 
","उसके प्राण निकल गए। 
"
12,"Orig: [0, 1, ['उसकी']], Cor: [0, 1, ['उनकी']], Type: 'R:PRON'","उसकी सभी गाड़ियाँ बहुत महंगी हैं।
","उनकी सभी गाड़ियाँ बहुत महंगी हैं।
"
13,"Orig: [0, 1, ['उसका']], Cor: [0, 1, ['उनका']], Type: 'R:PRON'","उसका परिवार बहुत बड़ा है।
","उनका परिवार बहुत बड़ा है।
"
14,"Orig: [0, 1, ['मैंने']], Cor: [0, 1, ['हमने']], Type: 'R:PRON'","मैंने नाश्ता कर लिया है।
","हमने नाश्ता कर लिया है।
"
15,"Orig: [3, 4, ['इसको']], Cor: [3, 4, ['इनको']], Type: 'R:PRON-NUM'","घर की चाबी इसको मिली थी।
","घर की चाबी इनको मिली थी।
"
