,Proposed Edit,Incorrect Sentence,Correct Sentence
0,"Orig: [1, 2, ['ने']], Cor: [1, 1, []], Type: 'U:ADP'","शीला ने पढ़ती है।
","शीला पढ़ती है।
"
1,"Orig: [2, 3, ['को']], Cor: [2, 3, ['से']], Type: 'R:ADP'","उसने राम को पूछा।
","उसने राम से पूछा।
"
2,"Orig: [3, 5, ['पूछा', '।']], Cor: [3, 4, ['पूछा।']], Type: 'R:ORTH'","उसने राम को पूछा।
","उसने राम से पूछा।
"
3,"Orig: [0, 1, ['उसका']], Cor: [0, 1, ['उसके']], Type: 'R:PRON'","उसका लड़के का नाम राज है।
","उसके लड़के का नाम राज है।
"
4,"Orig: [0, 1, ['उसको']], Cor: [0, 1, ['उसके']], Type: 'R:PRON'","उसको पेट में दर्द हो रहा है।
","उसके पेट में दर्द हो रहा है।
"
5,"Orig: [1, 2, ['से']], Cor: [1, 2, ['पर']], Type: 'R:ADP'","बच्चों से गुस्सा करना व्यर्थ है।
","बच्चों पर गुस्सा करना व्यर्थ है।
"
6,"Orig: [2, 3, ['से']], Cor: [2, 3, ['में']], Type: 'R:ADP'","वह हँसी से बात टाल गया।
","वह हँसी में बात टाल गया।
"
7,"Orig: [1, 2, ['को']], Cor: [1, 2, ['से']], Type: 'R:ADP'","दीन-दुर्बलों को प्यार करना मानवता है।
","दीन-दुर्बलों से प्यार करना मानवता है।
"
8,"Orig: [1, 2, ['को']], Cor: [1, 2, ['के']], Type: 'R:ADP-INFL'","दशरथ को चार पुत्र थे।
","दशरथ के चार पुत्र थे।
"
9,"Orig: [0, 1, ['मेरा']], Cor: [0, 1, ['मेरे']], Type: 'R:PRON'","मेरा मित्र ने मुझको मदद की।
","मेरे मित्र ने मेरी मदद की।
"
10,"Orig: [3, 4, ['मुझको']], Cor: [3, 4, ['मेरी']], Type: 'R:PRON'","मेरा मित्र ने मुझको मदद की।
","मेरे मित्र ने मेरी मदद की।
"
11,"Orig: [5, 5, []], Cor: [5, 6, ['उन्होंने']], Type: 'M:PRON'","पिता जी घर आए और खाना खाया।
","पिता जी घर आए और उन्होंने खाना खाया।
"
12,"Orig: [0, 1, ['वे']], Cor: [0, 1, ['उन्होंने']], Type: 'R:PRON-NUM'","वे अभी-अभी खाना खाए हैं।
","उन्होंने अभी-अभी खाना खाया है।
"
13,"Orig: [3, 4, ['खाए']], Cor: [3, 4, ['खाया']], Type: 'R:VERB-NUM'","वे अभी-अभी खाना खाए हैं।
","उन्होंने अभी-अभी खाना खाया है।
"
14,"Orig: [4, 5, ['हैं']], Cor: [4, 5, ['है']], Type: 'R:SPELL'","वे अभी-अभी खाना खाए हैं।
","उन्होंने अभी-अभी खाना खाया है।
"
15,"Orig: [0, 1, ['मैं']], Cor: [0, 1, ['मैंने']], Type: 'R:PRON'","मैं खाना नहीं खाया हूँ।
","मैंने खाना नहीं खाया है।
"
16,"Orig: [4, 5, ['हूँ']], Cor: [4, 5, ['है']], Type: 'R:VERB-FORM'","मैं खाना नहीं खाया हूँ।
","मैंने खाना नहीं खाया है।
"
17,"Orig: [0, 1, ['आपने']], Cor: [0, 1, ['आप']], Type: 'R:PRON'","आपने मुसकरा दिया।
","आप मुसकरा दिए।
"
18,"Orig: [2, 3, ['दिया']], Cor: [2, 3, ['दिए']], Type: 'R:VERB-FORM'","आपने मुसकरा दिया।
","आप मुसकरा दिए।
"
19,"Orig: [2, 3, ['को']], Cor: [2, 2, []], Type: 'U:ADP'","मैं बाज़ार को जा रहा हूँ।
","मैं बाज़ार जा रहा हूँ।
"
20,"Orig: [2, 3, ['को']], Cor: [2, 3, ['में']], Type: 'R:ADP'","दस बजने को पंद्रह मिनट हैं।
","दस बजने में पंद्रह मिनट हैं।
"
21,"Orig: [2, 3, ['में']], Cor: [2, 3, ['से']], Type: 'R:ADP'","वह देर में खाना खाता है।
","वह देर से खाना खाता है।
"
22,"Orig: [3, 3, []], Cor: [3, 4, ['का']], Type: 'M:ADP'","उन्होंने एक मित्र परिचय दिया।
","उन्होंने एक मित्र का परिचय दिया।
"
23,"Orig: [3, 4, ['पर']], Cor: [3, 4, ['में']], Type: 'R:ADP'","यह बात कहने पर कठिनाई है।
","यह बात कहने में कठिनाई है।
"
24,"Orig: [2, 3, ['पर']], Cor: [2, 3, ['में']], Type: 'R:ADP'","वह ऑफिस पर बैठा मेरी प्रतीक्षा कर रहा है।
","वह ऑफिस में बैठा मेरी प्रतीक्षा कर रहा है।
"
25,"Orig: [2, 3, ['द्वारा']], Cor: [2, 3, ['कारण']], Type: 'R:ADP'","शिक्षा के द्वारा वह आगे बढ़ा।
","शिक्षा के कारण वह आगे बढ़ा।
"
26,"Orig: [2, 4, ['के', 'बीच']], Cor: [2, 3, ['में']], Type: 'R:ADP'","कल सभा के बीच इस पर विचार होगा।
","कल सभा में इस पर विचार होगा।
"
27,"Orig: [2, 3, ['से']], Cor: [2, 3, ['पर']], Type: 'R:ADP'",खिड़की खुलने से प्रकाश आएगा।,खिड़की खुलने पर प्रकाश आएगा।
