,Proposed Edit InHerrant,Incorrect Sentence,Correct Sentence,True Label Before (Multi-Class),True Label (Multi-Class),"Edit Quality (g,b,a)","Edit Extraction Quality (a,b)",InHerrant Annotation Correct
0,"Orig: [0, 1, ['वह']], Cor: [0, 0, []], Type: 'U:DET'","वह किताब जो कोने में रखी है, वह बहुत अच्छी है।
","जो किताब कोने में रखी है, वह बहुत अच्छी है।
",R:PRON,U:DET,b,a,NO
1,"Orig: [8, 9, ['आपका']], Cor: [8, 10, ['आप', 'उसका']], Type: 'R:PRON'","वे तो मेल-जोल बढ़ाना चाहते हैं, पर आपका मुँह देखने को जी नहीं चाहता है।
","वे तो मेल-जोल बढ़ाना चाहते हैं, पर आप उसका मुँह देखना नहीं चाहते।
",R:PRON,R:PRON,g,a,YES
2,"Orig: [10, 11, ['देखने']], Cor: [11, 12, ['देखना']], Type: 'R:VERB-FORM'","वे तो मेल-जोल बढ़ाना चाहते हैं, पर आपका मुँह देखने को जी नहीं चाहता है।
","वे तो मेल-जोल बढ़ाना चाहते हैं, पर आप उसका मुँह देखना नहीं चाहते।
",R:VERB,R:VERB-FORM,g,a,NO
3,"Orig: [11, 13, ['को', 'जी']], Cor: [12, 12, []], Type: 'U:OTHER'","वे तो मेल-जोल बढ़ाना चाहते हैं, पर आपका मुँह देखने को जी नहीं चाहता है।
","वे तो मेल-जोल बढ़ाना चाहते हैं, पर आप उसका मुँह देखना नहीं चाहते।
",U:OTHER,U:OTHER,a,a,NO
4,"Orig: [14, 16, ['चाहता', 'है']], Cor: [13, 14, ['चाहते']], Type: 'R:VERB-TENSE'","वे तो मेल-जोल बढ़ाना चाहते हैं, पर आपका मुँह देखने को जी नहीं चाहता है।
","वे तो मेल-जोल बढ़ाना चाहते हैं, पर आप उसका मुँह देखना नहीं चाहते।
",R:VERB,R:VERB-TENSE,b,a,NO
5,"Orig: [0, 3, ['इस', 'विद्यालय', 'में']], Cor: [0, 0, []], Type: 'U:OTHER'","इस विद्यालय में जो विद्यार्थी डॉक्टर बनना चाहते हैं, उनको इस विद्यालय में शिक्षा दी जाती है।
","जो विद्यार्थी डॉक्टर बनना चाहते हैं, उनको इस विद्यालय में शिक्षा दी जाती है। 
",U:OTHER,U:OTHER,a,b,NO
6,"Orig: [2, 2, []], Cor: [2, 7, ['उस', 'समय', 'की', 'है', ',']], Type: 'M:OTHER'","यह घटना जब मैं दस वर्ष का था, उस समय की है। 
","यह घटना उस समय की है, जब मैं दस वर्ष का था।
",M:OTHER,M:OTHER,a,b,NO
7,"Orig: [8, 13, [',', 'उस', 'समय', 'की', 'है']], Cor: [13, 13, []], Type: 'U:OTHER'","यह घटना जब मैं दस वर्ष का था, उस समय की है। 
","यह घटना उस समय की है, जब मैं दस वर्ष का था।
",U:OTHER,U:OTHER,a,b,NO
8,"Orig: [0, 2, ['सच', 'में']], Cor: [0, 0, []], Type: 'U:OTHER'","सच में क्या तुम्हें प्रथम स्थान मिला है।
","क्‍या सचमुच तुम्हें प्रथम स्थान मिला है ?
",U:OTHER,U:OTHER,a,a,NO
9,"Orig: [2, 3, ['क्या']], Cor: [0, 1, ['क्\u200dया']], Type: 'R:PRON'","सच में क्या तुम्हें प्रथम स्थान मिला है।
","क्‍या सचमुच तुम्हें प्रथम स्थान मिला है ?
",R:PRON,R:PRON,g,a,YES
