,Incorrect Sentence,Correct Sentence,Proposed Edits
0,"मेला में बच्चे खो गया।
","मेले में बच्चा खो गया।
","[""Orig: [0, 1, ['मेला']], Cor: [0, 1, ['मेले']], Type: 'R:'"", ""Orig: [2, 3, ['बच्चे']], Cor: [2, 3, ['बच्चा']], Type: 'R:'""]"
1,"इन सबों को जाना है।
","इन सब को जाना है।
","[""Orig: [1, 2, ['सबों']], Cor: [1, 2, ['सब']], Type: 'R:'""]"
2,"उसे कितना संतरे चाहिए।
","उसे कितने संतरे चाहिए।
","[""Orig: [1, 2, ['कितना']], Cor: [1, 2, ['कितने']], Type: 'R:'""]"
3,"इस कलम के दाम मिल गए हैं।
","इस कलम का दाम मिल गया है।
","[""Orig: [2, 3, ['के']], Cor: [2, 3, ['का']], Type: 'R:'"", ""Orig: [5, 6, ['गए']], Cor: [5, 6, ['गया']], Type: 'R:'"", ""Orig: [6, 7, ['हैं']], Cor: [6, 7, ['है']], Type: 'R:'""]"
4,"दो लड़की चित्र बना रही हैं।
","दो लड़कियाँ चित्र बना रही हैं।
","[""Orig: [1, 2, ['लड़की']], Cor: [1, 2, ['लड़कियाँ']], Type: 'R:'""]"
5,"आजकल खूब वर्षाएँ हो रही हैं।
","आजकल खूब वर्षा हो रही है।
","[""Orig: [2, 3, ['वर्षाएँ']], Cor: [2, 3, ['वर्षा']], Type: 'R:'"", ""Orig: [5, 6, ['हैं']], Cor: [5, 6, ['है']], Type: 'R:'""]"
6,"क्या आप जा सकोगे?
","क्या आप जा सकेंगे?
","[""Orig: [3, 4, ['सकोगे']], Cor: [3, 4, ['सकेंगे']], Type: 'R:'""]"
7,"मोहन ने हाथ जोड़ा।
","मोहन ने हाथ जोड़े।
","[""Orig: [3, 4, ['जोड़ा']], Cor: [3, 4, ['जोड़े']], Type: 'R:'""]"
8,"मोहन का प्राण निकलने वाला है।
","मोहन के प्राण निकलने वाले हैं।
","[""Orig: [1, 2, ['का']], Cor: [1, 2, ['के']], Type: 'R:'"", ""Orig: [4, 5, ['वाला']], Cor: [4, 5, ['वाले']], Type: 'R:'"", ""Orig: [5, 6, ['है']], Cor: [5, 6, ['हैं']], Type: 'R:'""]"
9,"लोग इस फूल की माला पहनते हैं।
","लोग इन फूलों की माला पहनते हैं।
","[""Orig: [1, 2, ['इस']], Cor: [1, 2, ['इन']], Type: 'R:'"", ""Orig: [2, 3, ['फूल']], Cor: [2, 3, ['फूलों']], Type: 'R:'""]"
10,"उसने हस्ताक्षर कर दिया।
","उसने हस्ताक्षर कर दिए।
","[""Orig: [3, 4, ['दिया']], Cor: [3, 4, ['दिए']], Type: 'R:'""]"
11,"सभा में अनेकों विद्वान आए थे।
","सभा में अनेक विदृवान आए थे।
","[""Orig: [2, 3, ['अनेकों']], Cor: [2, 3, ['अनेक']], Type: 'R:'"", ""Orig: [3, 4, ['विद्वान']], Cor: [3, 4, ['विदृवान']], Type: 'R:'""]"
12,"क्या आप खा लिये हैं?
","क्या आपने खा लिया है?
","[""Orig: [1, 2, ['आप']], Cor: [1, 2, ['आपने']], Type: 'R:'"", ""Orig: [3, 4, ['लिये']], Cor: [3, 4, ['लिया']], Type: 'R:'"", ""Orig: [4, 5, ['हैं']], Cor: [4, 5, ['है']], Type: 'R:'""]"
13,"एक व्यक्ति को दो पुस्तक नहीं मिलेगा।
",एक व्यक्ति को दो पुस्तकें नहीं मिलेंगी।,"[""Orig: [4, 5, ['पुस्तक']], Cor: [4, 5, ['पुस्तकें']], Type: 'R:'"", ""Orig: [6, 7, ['मिलेगा']], Cor: [6, 7, ['मिलेंगी']], Type: 'R:'""]"
