Proposed Edit,Incorrect Sentence,Correct Sentence,True Label (Multi-Class),"Edit Quality (g,b,a)","Edit Extraction Quality (a,b)",,,,,,,,,,,,,,,,,,,
"Orig: [2, 3, ['दवाब']], Cor: [2, 3, ['दबाव']], Type: 'R:SPELL'","वह मुझपर दवाब बना रहा है।
","वह मुझपर दबाव बना रहा है।
",R:SPELL,g,a,,,,,,,,,,,,,,,,,,,
"Orig: [2, 3, ['प्रशाद']], Cor: [2, 3, ['प्रसाद']], Type: 'R:SPELL'","मंदिर में प्रशाद बट रहा है।
","मंदिर में प्रसाद बट रहा है।
",R:SPELL,g,a,,,,,,,,,,,,,,,,,,,
"Orig: [2, 3, ['नास']], Cor: [2, 3, ['नाश']], Type: 'R:SPELL'","पाप का नास ज़रूर होगा। 
","पाप का नाश ज़रूर होगा।
",R:SPELL,g,a,,,,,,,,,,,,,,,,,,,
"Orig: [1, 2, ['प्रान']], Cor: [1, 2, ['प्राण']], Type: 'R:SPELL'","उसके प्रान निकल गए।
","उसके प्राण निकल गए।
",R:SPELL,g,a,,,,,,,,,,,,,,,,,,,
"Orig: [1, 2, ['उदाहरन']], Cor: [1, 2, ['उदाहरण']], Type: 'R:SPELL'","इसका उदाहरन दो।
","इसका उदाहरण दो।
",R:SPELL,g,a,,,,,,,,,,,,,,,,,,,
"Orig: [2, 4, ['दो', '।']], Cor: [2, 3, ['दो।']], Type: 'R:ORTH'","इसका उदाहरन दो।
","इसका उदाहरण दो।
",R:ORTH,g,a,,,,,,,,,,,,,,,,,,,
"Orig: [2, 3, ['प्रमान']], Cor: [2, 3, ['प्रमाण']], Type: 'R:SPELL'","क़ानून को प्रमान चाहिए।
","क़ानून को प्रमाण चाहिए।
",R:SPELL,g,a,,,,,,,,,,,,,,,,,,,
"Orig: [2, 3, ['आर्शीवाद']], Cor: [2, 3, ['आशीर्वाद']], Type: 'R:SPELL'","उसे मेरा आर्शीवाद देना।
","उसे मेरा आशीर्वाद देना।
",R:SPELL,g,a,,,,,,,,,,,,,,,,,,,
"Orig: [2, 3, ['बहिन']], Cor: [2, 3, ['बहन']], Type: 'R:SPELL'","वह अपनी बहिन के पास गया।
","वह अपनी बहन के पास गया।
",R:SPELL,g,a,,,,,,,,,,,,,,,,,,,
"Orig: [0, 1, ['दिवाली']], Cor: [0, 1, ['दीवाली']], Type: 'R:SPELL'","दिवाली का उत्सव है।
","दीवाली का उत्सव है।
",R:SPELL,g,a,,,,,,,,,,,,,,,,,,,
"Orig: [1, 2, ['दिवार']], Cor: [1, 2, ['दीवार']], Type: 'R:SPELL'","उस दिवार पे एक चित्र है।
","उस दीवार पे एक चित्र है।
",R:SPELL,g,a,,,,,,,,,,,,,,,,,,,
"Orig: [2, 3, ['महिने']], Cor: [2, 3, ['महीने']], Type: 'R:SPELL'","जून के महिने में गर्मी होती है।
","जून के महीने में गर्मी होती है।
",R:SPELL,g,a,,,,,,,,,,,,,,,,,,,
"Orig: [1, 2, ['चाकु']], Cor: [1, 2, ['चाकू']], Type: 'R:SPELL'","यह चाकु बहुत तेज़ है।
","यह चाकू बहुत तेज़ है।
",R:SPELL,g,a,,,,,,,,,,,,,,,,,,,
"Orig: [0, 1, ['गुरू']], Cor: [0, 1, ['गुरु']], Type: 'R:SPELL'","गुरू के चरण पकड़ो।
","गुरु के चरण पकड़ो।
",R:SPELL,g,a,,,,,,,,,,,,,,,,,,,
"Orig: [1, 2, ['मुंह']], Cor: [1, 2, ['मुँह']], Type: 'R:SPELL'","उसके मुंह में कुछ है।
","उसके मुँह में कुछ है।
",R:SPELL,g,a,,,,,,,,,,,,,,,,,,,
"Orig: [7, 7, []], Cor: [7, 8, ['।']], Type: 'M:PUNCT'","मैंने आज बहुत अच्छा खाना खाया था
","मैंने आज बहुत अच्छा खाना खाया था।
",M:PUNCT,g,a,,,,,,,,,,,,,,,,,,,
"Orig: [4, 4, []], Cor: [4, 5, [',']], Type: 'M:PUNCT'","राकेश आपनी सारी सम्पति भूमि और मन-मर्यादा खो गया
","राकेश आपनी सारी सम्पति, भूमि और मन-मर्यादा खो गया।
",M:PUNCT,g,a,,,,,,,,,,,,,,,,,,,
"Orig: [9, 9, []], Cor: [10, 11, ['।']], Type: 'M:PUNCT'","राकेश आपनी सारी सम्पति भूमि और मन-मर्यादा खो गया
","राकेश आपनी सारी सम्पति, भूमि और मन-मर्यादा खो गया।
",M:PUNCT,g,a,,,,,,,,,,,,,,,,,,,
"Orig: [2, 2, []], Cor: [2, 3, [',']], Type: 'M:PUNCT'","वो बच्चा जो कल रो रहा था आज हस रहा है
","वो बच्चा, जो कल रो रहा था, आज हस रहा है।
",M:PUNCT,g,a,,,,,,,,,,,,,,,,,,,
