Proposed Edit,Incorrect Sentence,Correct Sentence,True Label (Multi-Class),"Edit Quality (g,b,a)","Edit Extraction Quality (a,b)"
"Orig: [1, 2, ['??']], Cor: [1, 1, []], Type: 'U:ADP'","???? ?? ????? ???
","???? ????? ???
",U:ADP,g,a
"Orig: [2, 3, ['??']], Cor: [2, 3, ['??']], Type: 'R:ADP'","???? ??? ?? ?????
","???? ??? ?? ?????
",R:ADP,g,a
"Orig: [3, 5, ['????', '?']], Cor: [3, 4, ['?????']], Type: 'R:ORTH'","???? ??? ?? ?????
","???? ??? ?? ?????
",,,b
"Orig: [0, 1, ['????']], Cor: [0, 1, ['????']], Type: 'R:PRON'","???? ????? ?? ??? ??? ???
","???? ????? ?? ??? ??? ???
",R:PRON,g,a
"Orig: [0, 1, ['????']], Cor: [0, 1, ['????']], Type: 'R:PRON'","???? ??? ??? ???? ?? ??? ???
","???? ??? ??? ???? ?? ??? ???
",R:PRON,a,a
"Orig: [1, 2, ['??']], Cor: [1, 2, ['??']], Type: 'R:ADP'","?????? ?? ?????? ???? ?????? ???
","?????? ?? ?????? ???? ?????? ???
",R:ADP,g,a
"Orig: [2, 3, ['??']], Cor: [2, 3, ['???']], Type: 'R:ADP'","?? ???? ?? ??? ??? ????
","?? ???? ??? ??? ??? ????
",R:ADP,g,a
"Orig: [1, 2, ['??']], Cor: [1, 2, ['??']], Type: 'R:ADP'","???-???????? ?? ????? ???? ?????? ???
","???-???????? ?? ????? ???? ?????? ???
",R:ADP,g,a
"Orig: [1, 2, ['??']], Cor: [1, 2, ['??']], Type: 'R:ADP'","???? ?? ??? ????? ???
","???? ?? ??? ????? ???
",R:ADP,g,a
"Orig: [0, 1, ['????']], Cor: [0, 1, ['????']], Type: 'R:PRON'","???? ????? ?? ????? ??? ???
","???? ????? ?? ???? ??? ???
",R:PRON,g,a
"Orig: [3, 4, ['?????']], Cor: [3, 4, ['????']], Type: 'R:PRON'","???? ????? ?? ????? ??? ???
","???? ????? ?? ???? ??? ???
",R:PRON-GEN,a,a
"Orig: [5, 5, []], Cor: [5, 6, ['????????']], Type: 'M:PRON'","???? ?? ?? ?? ?? ???? ?????
","???? ?? ?? ?? ?? ???????? ???? ?????
",M:PRON,g,a
"Orig: [0, 1, ['??']], Cor: [0, 1, ['????????']], Type: 'R:PRON-NUM'","?? ???-??? ???? ??? ????
","???????? ???-??? ???? ???? ???
",R:PRON,g,a
"Orig: [3, 4, ['???']], Cor: [3, 4, ['????']], Type: 'R:VERB-NUM'","?? ???-??? ???? ??? ????
","???????? ???-??? ???? ???? ???
",R:VERB-NUM,g,b
"Orig: [4, 5, ['???']], Cor: [4, 5, ['??']], Type: 'R:VERB-NUM'","?? ???-??? ???? ??? ????
","???????? ???-??? ???? ???? ???
",R:VERB-NUM,g,a
"Orig: [0, 1, ['???']], Cor: [0, 1, ['?????']], Type: 'R:PRON'","??? ???? ???? ???? ????
","????? ???? ???? ???? ???
",R:PRON,g,a
"Orig: [4, 5, ['???']], Cor: [4, 5, ['??']], Type: 'R:VERB-TENSE'","??? ???? ???? ???? ????
","????? ???? ???? ???? ???
",R:VERB-TENSE,g,a
"Orig: [0, 1, ['????']], Cor: [0, 1, ['??']], Type: 'R:PRON'","???? ?????? ?????
","?? ?????? ????
",R:PRON,g,a
"Orig: [2, 3, ['????']], Cor: [2, 3, ['???']], Type: 'R:VERB'","???? ?????? ?????
","?? ?????? ????
",R:VERB,g,a
"Orig: [2, 3, ['??']], Cor: [2, 2, []], Type: 'U:ADP'","??? ?????? ?? ?? ??? ????
","??? ?????? ?? ??? ????
",U:ADP,g,a
"Orig: [2, 3, ['??']], Cor: [2, 3, ['???']], Type: 'R:ADP'","?? ???? ?? ?????? ???? ????
","?? ???? ??? ?????? ???? ????
",R:ADP,g,a
"Orig: [2, 3, ['???']], Cor: [2, 3, ['??']], Type: 'R:ADP'","?? ??? ??? ???? ???? ???
","?? ??? ?? ???? ???? ???
",R:ADP,g,a
"Orig: [3, 3, []], Cor: [3, 4, ['??']], Type: 'M:ADP'","???????? ?? ????? ????? ?????
","???????? ?? ????? ?? ????? ?????
",M:ADP,g,a
"Orig: [3, 4, ['??']], Cor: [3, 4, ['???']], Type: 'R:ADP'","?? ??? ???? ?? ?????? ???
","?? ??? ???? ??? ?????? ???
",R:ADP,g,a
"Orig: [2, 3, ['??']], Cor: [2, 3, ['???']], Type: 'R:ADP'","?? ???? ?? ???? ???? ????????? ?? ??? ???
","?? ???? ??? ???? ???? ????????? ?? ??? ???
",R:ADP,g,a
"Orig: [2, 3, ['??????']], Cor: [2, 3, ['????']], Type: 'R:ADP'","?????? ?? ?????? ?? ??? ?????
","?????? ?? ???? ?? ??? ?????
",R:ADP,g,a
"Orig: [2, 4, ['??', '???']], Cor: [2, 3, ['???']], Type: 'R:ADP'","?? ??? ?? ??? ?? ?? ????? ?????
","?? ??? ??? ?? ?? ????? ?????
",R:ADP,g,a
"Orig: [2, 3, ['??']], Cor: [2, 3, ['??']], Type: 'R:ADP'",?????? ????? ?? ?????? ?????,?????? ????? ?? ?????? ?????,R:ADP,g,a
