,Proposed Edit,Incorrect Sentence,Correct Sentence,True Label (Multi-Class),"Edit Quality (g,b,a)","Edit Extraction Quality (a,b)"
0,"Orig: [2, 3, ['????']], Cor: [2, 4, ['????', '??']], Type: 'R:OTHER'","??????? ?? ???? ??? ????? ?? ??? ????? ???? ?? ??? ???? ?????
","??????? ?? ???? ?? ??? ????? ?? ??? ????? ???? ??? ???? ?????
",R:NOUN,b,a
1,"Orig: [8, 10, ['????', '??']], Cor: [9, 10, ['????']], Type: 'R:OTHER'","??????? ?? ???? ??? ????? ?? ??? ????? ???? ?? ??? ???? ?????
","??????? ?? ???? ?? ??? ????? ?? ??? ????? ???? ??? ???? ?????
",R:PRON,b,a
2,"Orig: [2, 3, ['???']], Cor: [2, 4, ['????', '??']], Type: 'R:OTHER'","????? ?? ??? ????? ???? ?? ???? ??? ???
","????? ?? ???? ?? ????? ???? ?? ?? ??? ???
",R:NOUN,b,a
3,"Orig: [6, 7, ['????']], Cor: [7, 8, ['??']], Type: 'R:PRON'","????? ?? ??? ????? ???? ?? ???? ??? ???
","????? ?? ???? ?? ????? ???? ?? ?? ??? ???
",R:PRON,g,a
4,"Orig: [0, 1, ['??']], Cor: [0, 0, []], Type: 'U:PRON'","?? ?? ????? ???? ?? ??? ??? ???? ??????
","?? ????? ???? ??, ??? ??? ???? ??????
",U:PRON,g,a
5,"Orig: [5, 5, []], Cor: [4, 5, [',']], Type: 'M:PUNCT'","?? ?? ????? ???? ?? ??? ??? ???? ??????
","?? ????? ???? ??, ??? ??? ???? ??????
",M:PUNCT,g,a
6,"Orig: [2, 3, ['????']], Cor: [2, 3, ['????']], Type: 'R:PRON'","???? ????? ???? ??? ?? ?? ???
","???? ????? ???? ??? ?? ?? ???
",R:PRON,g,a
7,"Orig: [1, 2, ['????']], Cor: [1, 2, ['????']], Type: 'R:PRON'","????? ???? ??? ???? ????? ?? ?? ???
","????? ???? ??? ???? ????? ?? ?? ?????
",R:PRON,g,a
8,"Orig: [3, 4, ['????']], Cor: [3, 4, ['????']], Type: 'R:PRON'","????? ???? ??? ???? ????? ?? ?? ???
","????? ???? ??? ???? ????? ?? ?? ?????
",R:PRON,g,a
9,"Orig: [7, 8, ['??']], Cor: [7, 8, ['????']], Type: 'R:VERB-GEN'","????? ???? ??? ???? ????? ?? ?? ???
","????? ???? ??? ???? ????? ?? ?? ?????
",R:VERB-GEN,g,a
10,"Orig: [0, 1, ['????']], Cor: [0, 1, ['????????']], Type: 'R:SPELL'","???? ???? ?? ???? ???
","???????? ???? ?? ???? ???
",R:SPELL,g,a
11,"Orig: [0, 1, ['??']], Cor: [0, 1, ['??']], Type: 'R:PRON-NUM'","?? ????? ???? ???? ????
","?? ????? ???? ???? ????
",R:PRON-NUM,g,a
12,"Orig: [1, 2, ['????????']], Cor: [1, 2, ['????']], Type: 'R:PRON'","??? ???????? ?? ????
","??? ???? ?? ????
",R:PRON,g,a
13,"Orig: [1, 3, ['????', '??']], Cor: [1, 2, ['?????']], Type: 'R:PRON'","????? ???? ?? ????? ??? ????
","????? ????? ????? ??? ????
",R:PRON,g,a
14,"Orig: [0, 1, ['?????']], Cor: [0, 1, ['????']], Type: 'R:PRON'","????? ??????? ??? ????????? ????? ???? ???? ??? ???? ???
","???? ??????? ??? ????????? ????? ???? ???? ??? ???? ???
",R:PRON,g,a
