,Proposed Edit,Incorrect Sentence,Correct Sentence
0,"Orig: [2, 3, ['हमारे']], Cor: [2, 3, ['हमारा']], Type: 'R:PRON'","उत्तम चरित्र-निर्माण हमारे लक्ष्य होने चाहियें।
","उत्तम चरित्र-निर्माण हमारा लक्ष्य होना चाहिए।
"
1,"Orig: [4, 5, ['होने']], Cor: [4, 5, ['होना']], Type: 'R:VERB-FORM'","उत्तम चरित्र-निर्माण हमारे लक्ष्य होने चाहियें।
","उत्तम चरित्र-निर्माण हमारा लक्ष्य होना चाहिए।
"
2,"Orig: [5, 6, ['चाहियें']], Cor: [5, 6, ['चाहिए']], Type: 'R:VERB-TENSE'","उत्तम चरित्र-निर्माण हमारे लक्ष्य होने चाहियें।
","उत्तम चरित्र-निर्माण हमारा लक्ष्य होना चाहिए।
"
3,"Orig: [0, 2, ['केवल', 'यहाँ']], Cor: [0, 2, ['यहाँ', 'केवल']], Type: 'R:WO'","केवल यहाँ चाई पुस्तकें रखी हैं।
","यहाँ केवल चार पुस्तकें रखी हैं।
"
4,"Orig: [2, 3, ['चाई']], Cor: [2, 3, ['चार']], Type: 'R:SPELL'","केवल यहाँ चाई पुस्तकें रखी हैं।
","यहाँ केवल चार पुस्तकें रखी हैं।
"
5,"Orig: [1, 2, ['केलिए']], Cor: [1, 2, ['के']], Type: 'R:SPELL'","राधा केलिए एक व्याकरण की पुस्तक ले आना।
","राधा के लिए व्याकरण की एक पुस्तक ले आना।
"
6,"Orig: [2, 3, ['एक']], Cor: [2, 3, ['लिए']], Type: 'R:OTHER'","राधा केलिए एक व्याकरण की पुस्तक ले आना।
","राधा के लिए व्याकरण की एक पुस्तक ले आना।
"
7,"Orig: [5, 5, []], Cor: [5, 6, ['एक']], Type: 'M:ADJ'","राधा केलिए एक व्याकरण की पुस्तक ले आना।
","राधा के लिए व्याकरण की एक पुस्तक ले आना।
"
8,"Orig: [2, 2, []], Cor: [2, 3, [""'""]], Type: 'M:PUNCT'","प्रस्तुत पंक्तियाँ सरोज स्मृति से ली हैं।
","प्रस्तुत पंक्तियाँ 'सरोज स्मृति' से ली गयी हैं।
"
9,"Orig: [4, 4, []], Cor: [5, 6, [""'""]], Type: 'M:PUNCT'","प्रस्तुत पंक्तियाँ सरोज स्मृति से ली हैं।
","प्रस्तुत पंक्तियाँ 'सरोज स्मृति' से ली गयी हैं।
"
10,"Orig: [6, 6, []], Cor: [8, 9, ['गयी']], Type: 'M:VERB-TENSE'","प्रस्तुत पंक्तियाँ सरोज स्मृति से ली हैं।
","प्रस्तुत पंक्तियाँ 'सरोज स्मृति' से ली गयी हैं।
"
11,"Orig: [12, 12, []], Cor: [12, 13, ['गया']], Type: 'M:VERB-TENSE'","प्रयोग के आधार पर अंग्रेजी शब्दों को दो भागों में विभक्त किया है।
","प्रयोग के आधार पर अंग्रेजी शब्दों को दो भागों में विभक्त किया गया है।
"
12,"Orig: [1, 2, ['ने']], Cor: [1, 2, ['द्वारा']], Type: 'R:ADP'","पुलिस ने डाकुओं का पीछा किया।
","पुलिस द्वारा डाकुओं का पीछा किया गया।
"
13,"Orig: [6, 6, []], Cor: [6, 7, ['गया']], Type: 'M:VERB-TENSE'","पुलिस ने डाकुओं का पीछा किया।
","पुलिस द्वारा डाकुओं का पीछा किया गया।
"
14,"Orig: [4, 5, ['लिखाया']], Cor: [4, 5, ['लिखवाया']], Type: 'R:VERB'","अध्यापक ने हमसे लेख लिखाया।
","अध्यापक ने हमसे लेख लिखवाया।
"
15,"Orig: [8, 9, ['है']], Cor: [8, 9, ['गया']], Type: 'R:VERB-TENSE'","सूत्रपुत्र नाटक को चार अंकों में विभक्त किया है।
","सूत्रपुत्र नाटक को चार अंकों में विभक्त किया गया।
"
16,"Orig: [4, 5, ['वाकयों']], Cor: [4, 5, ['वाक्यों']], Type: 'R:SPELL'","रचना के आधार पर वाकयों को चार भागों में विभकक्‍त किया है। 
","रचना के आधार पर वाक्यों को चार भागों में विभक्त किया गया है।
"
17,"Orig: [9, 10, ['विभकक्\u200dत']], Cor: [9, 10, ['विभक्त']], Type: 'R:SPELL'","रचना के आधार पर वाकयों को चार भागों में विभकक्‍त किया है। 
","रचना के आधार पर वाक्यों को चार भागों में विभक्त किया गया है।
"
18,"Orig: [11, 11, []], Cor: [11, 12, ['गया']], Type: 'M:VERB-TENSE'","रचना के आधार पर वाकयों को चार भागों में विभकक्‍त किया है। 
","रचना के आधार पर वाक्यों को चार भागों में विभक्त किया गया है।
"
