Proposed Edit,Incorrect Sentence,Correct Sentence,True Label (Multi-Class),"Edit Quality (g,b,a)","Edit Extraction Quality (a,b)"
"Orig: [4, 5, ['गया']], Cor: [4, 5, ['गए']], Type: 'R:OTHER'","उन्हें दो रन मिल गया।
","उन्हें दो रन मिल गए।
",R:VERB-NUM,a,a
"Orig: [3, 4, ['होता']], Cor: [3, 4, ['होते']], Type: 'R:OTHER'","इसमें पैसे खर्च होता है।
","इसमें पैसे खर्च होते हैं।
",R:VERB-NUM,a,a
"Orig: [4, 5, ['है']], Cor: [4, 5, ['हैं']], Type: 'R:OTHER'","इसमें पैसे खर्च होता है।
","इसमें पैसे खर्च होते हैं।
",R:VERB-NUM,a,a
"Orig: [4, 5, ['गई']], Cor: [4, 5, ['गया']], Type: 'R:OTHER'","लगता है मानसून आ गई।
","लगता है मानसून आ गया।
",R:VERB-GEN,a,a
"Orig: [4, 5, ['रही']], Cor: [4, 5, ['रहे']], Type: 'R:OTHER'","लड़के और लड़कियाँ पढ़ रही हैं।
","लड़के और लड़कियाँ पढ़ रहे हैं।
",R:VERB-NUM,a,a
"Orig: [4, 5, ['आँख']], Cor: [4, 5, ['आँखें']], Type: 'R:NOUN-NUM'","रामचरितमानस पढ़कर पाठक की आँख खुल गई।
","रामचरितमानस पढ़कर पाठक की आँखें खुल गईं।
",R:NOUN-NUM,g,a
"Orig: [6, 7, ['गई']], Cor: [6, 7, ['गईं']], Type: 'R:OTHER'","रामचरितमानस पढ़कर पाठक की आँख खुल गई।
","रामचरितमानस पढ़कर पाठक की आँखें खुल गईं।
",R:VERB-NUM,a,a
"Orig: [2, 3, ['आँख']], Cor: [2, 3, ['आँखों']], Type: 'R:NOUN-NUM'","सीता की आँख से आँसू बह रहा है।
","सीता की आँखों से आँसू बह रहे हैं।
",R:NOUN-NUM,g,a
"Orig: [6, 7, ['रहा']], Cor: [6, 7, ['रहे']], Type: 'R:OTHER'","सीता की आँख से आँसू बह रहा है।
","सीता की आँखों से आँसू बह रहे हैं।
",R:VERB-NUM,a,a
"Orig: [7, 8, ['है']], Cor: [7, 8, ['हैं']], Type: 'R:OTHER'","सीता की आँख से आँसू बह रहा है।
","सीता की आँखों से आँसू बह रहे हैं।
",R:VERB-NUM,a,a
"Orig: [0, 1, ['अनेकों']], Cor: [0, 1, ['अनेक']], Type: 'R:OTHER'","अनेकों स्त्री-पुरुष वहाँ आए थे।
","अनेक स्त्री-पुरुष वहाँ आए थे।
",R:ADJ-NUM,b,a
"Orig: [2, 3, ['जोड़ा']], Cor: [2, 3, ['जोड़े']], Type: 'R:OTHER'","उन्होंने हाथ जोड़ा।
","उन्होंने हाथ जोड़े।
",R:VERB-NUM,a,a
"Orig: [3, 4, ['आएँगे']], Cor: [3, 4, ['आएगा']], Type: 'R:OTHER'","हर एक आदमी आएँगे।
","हर एक आदमी आएगा।
",R:VERB-NUM,a,a
"Orig: [3, 4, ['सोने']], Cor: [3, 4, ['सोना']], Type: 'R:ADJ'","उनके पास बहुत सोने हैं।
","उनके पास बहुत सोना है।
",R:NOUN-NUM,b,a
"Orig: [4, 5, ['हैं']], Cor: [4, 5, ['है']], Type: 'R:OTHER'","उनके पास बहुत सोने हैं।
","उनके पास बहुत सोना है।
",R:VERB-NUM,a,a
"Orig: [1, 2, ['पीतले']], Cor: [1, 2, ['पीतल']], Type: 'R:SPELL'","मैंने पीतले खरीदे।
","मैंने पीतल खरीदा।
",R:SPELL,g,a
"Orig: [2, 3, ['खरीदे']], Cor: [2, 3, ['खरीदा']], Type: 'R:OTHER'","मैंने पीतले खरीदे।
","मैंने पीतल खरीदा।
",R:VERB-NUM,a,a
"Orig: [2, 3, ['बुरे']], Cor: [2, 3, ['बुरा']], Type: 'R:OTHER'","प्रत्येक चित्र बुरे नहीं होते।
","प्रत्येक चित्र बुरा नहीं होता।
",R:ADJ-NUM,b,a
"Orig: [4, 5, ['होते']], Cor: [4, 5, ['होता']], Type: 'R:OTHER'","प्रत्येक चित्र बुरे नहीं होते।
","प्रत्येक चित्र बुरा नहीं होता।
",R:VERB-NUM,a,a
"Orig: [6, 9, ['फूलों', 'को', 'देखा']], Cor: [6, 8, ['फूल', 'देखे']], Type: 'R:OTHER'","गुलाब के पौधे पर मैंने कई फूलों को देखा।
","गुलाब के पौधे पर मैंने कई फूल देखे।
",R:OTHER,g,a
