,Incorrect Sentence,Correct Sentence,Proposed Edits
0,"मैंने यह पुस्तक देखा हूँ।
","मैंने यह पुस्तक देखी है।
","[""Orig: [3, 4, ['देखा']], Cor: [3, 4, ['देखी']], Type: 'R:'"", ""Orig: [4, 5, ['हूँ']], Cor: [4, 5, ['है']], Type: 'R:'""]"
1,"प्राण निकल गया।
","प्राण निकल गए।
","[""Orig: [2, 3, ['गया']], Cor: [2, 3, ['गए']], Type: 'R:'""]"
2,"शनिवार के दिन स्कूल बंद रहेगा।
","शनिवार को स्कूल बंद रहेगा।
","[""Orig: [1, 3, ['के', 'दिन']], Cor: [1, 2, ['को']], Type: 'R:'""]"
3,"तुम्हारे को यह काम नहीं करना चाहिए था।
","तुम्हें यह काम नहीं करना चाहिए था।
","[""Orig: [0, 2, ['तुम्हारे', 'को']], Cor: [0, 1, ['तुम्हें']], Type: 'R:'""]"
4,"मैंने घर जाना हैं।
","मुझे घर जाना है।
","[""Orig: [0, 1, ['मैंने']], Cor: [0, 1, ['मुझे']], Type: 'R:'"", ""Orig: [3, 4, ['हैं']], Cor: [3, 4, ['है']], Type: 'R:'""]"
5,"मैं और तुम साथ-साथ खायेंगे।
","तुम और मैं साथ साथ खायेंगे।
","[""Orig: [0, 1, ['मैं']], Cor: [0, 1, ['तुम']], Type: 'R:'"", ""Orig: [2, 3, ['तुम']], Cor: [2, 4, ['मैं', 'साथ']], Type: 'R:'"", ""Orig: [3, 4, ['साथ-साथ']], Cor: [4, 5, ['साथ']], Type: 'R:'""]"
6,"हवा गरम चल रही है।
","गरम हवा चल रही है।
","[""Orig: [0, 1, ['हवा']], Cor: [0, 1, ['गरम']], Type: 'R:'"", ""Orig: [1, 2, ['गरम']], Cor: [1, 2, ['हवा']], Type: 'R:'""]"
7,"सीता खाना माँगता है।
","सीता खाना माँगती है।
","[""Orig: [2, 3, ['माँगता']], Cor: [2, 3, ['माँगती']], Type: 'R:'""]"
8,"सारे दिन भर वह काम करता रहा।
","वह दिन भर काम करता रहा।
","[""Orig: [0, 1, ['सारे']], Cor: [0, 1, ['वह']], Type: 'R:'"", ""Orig: [3, 4, ['वह']], Cor: [3, 3, []], Type: 'U:'""]"
9,"सारे देश भर में ख़ुशी मनाई गयी।
","सारे देश में ख़ुशी मनाई गयी।
","[""Orig: [2, 3, ['भर']], Cor: [2, 2, []], Type: 'U:'""]"
10,"तुम और मैं साथ साथ खायेंगे।
","तुम और मैं साथ साथ खायेंगे।
",[]
11,"गरम हवा चल रही है।
","गरम हवा चल रही है।
",[]
12,"सीता खाना माँगती है।
","सीता खाना माँगती है।
",[]
13,"वह दिन भर काम करता रहा।
","वह दिन भर काम करता रहा।
",[]
14,"सारे देश में ख़ुशी मनाई गयी।
","सारे देश में ख़ुशी मनाई गयी।
",[]
15,"देश में हिन्दी को स्थापित करने का षड़यंत्र चल रही है जो चिंता विषय है।
","देश में हिन्दी को विस्थापित करने का षड़यंत्र चल रहा है जो चिंता का विषय है।
","[""Orig: [4, 5, ['स्थापित']], Cor: [4, 5, ['विस्थापित']], Type: 'R:'"", ""Orig: [9, 10, ['रही']], Cor: [9, 10, ['रहा']], Type: 'R:'"", ""Orig: [13, 13, []], Cor: [13, 14, ['का']], Type: 'M:'""]"
16,"देव स्थान में सड़क बनाने की परयोजना चल रही होंगी।
","देव स्थान तक सड़क बनाने की परियोजना चल रही है।
","[""Orig: [2, 3, ['में']], Cor: [2, 3, ['तक']], Type: 'R:'"", ""Orig: [6, 7, ['परयोजना']], Cor: [6, 7, ['परियोजना']], Type: 'R:'"", ""Orig: [9, 10, ['होंगी']], Cor: [9, 10, ['है']], Type: 'R:'""]"
17,"देर से जाऊंगा तो दुकान बंद हो जाएगा।
","देर से जाऊंगा तो दुकानें बंद हो जाएंगी।
","[""Orig: [4, 5, ['दुकान']], Cor: [4, 5, ['दुकानें']], Type: 'R:'"", ""Orig: [7, 8, ['जाएगा']], Cor: [7, 8, ['जाएंगी']], Type: 'R:'""]"
18,"कोर्ट हड़ताल पर राज्य सरकार से चार सप्ताह के अंदर जवाब मांगा है।
","कोर्ट ने हड़ताल पर राज्य सरकार से चार सप्ताह में जवाब मांगा है।
","[""Orig: [1, 1, []], Cor: [1, 2, ['ने']], Type: 'M:'"", ""Orig: [8, 10, ['के', 'अंदर']], Cor: [9, 10, ['में']], Type: 'R:'""]"
19,जज का कहना था की इन सबको अप्रैल ओर मई में सजा सुनाई जाएगा और सभी आजीवन कारावास हो सकता है।,जज का कहना था कि इन सबको अप्रैल अथवा मई में सजा सुनाई जाएगी और सभी को आजीवन कारावास हो सकता है।,"[""Orig: [4, 5, ['की']], Cor: [4, 5, ['कि']], Type: 'R:'"", ""Orig: [8, 9, ['ओर']], Cor: [8, 9, ['अथवा']], Type: 'R:'"", ""Orig: [13, 14, ['जाएगा']], Cor: [13, 14, ['जाएगी']], Type: 'R:'"", ""Orig: [16, 16, []], Cor: [16, 17, ['को']], Type: 'M:'""]"
