Proposed Edit,Incorrect Sentence,Correct Sentence,True Label (Multi-Class),"Edit Quality (g,b,a)","Edit Extraction Quality (a,b)"
"Orig: [4, 5, ['???']], Cor: [4, 5, ['??']], Type: 'R:VERB-NUM'","?????? ?? ?? ??? ????
","?????? ?? ?? ??? ???
",R:VERB-NUM,g,a
"Orig: [3, 4, ['????']], Cor: [3, 4, ['????']], Type: 'R:VERB-NUM'","????? ???? ???? ???? ???
","????? ???? ???? ???? ????
",R:VERB-NUM,g,a
"Orig: [4, 5, ['??']], Cor: [4, 5, ['???']], Type: 'R:VERB-NUM'","????? ???? ???? ???? ???
","????? ???? ???? ???? ????
",R:VERB-NUM,g,a
"Orig: [4, 5, ['??']], Cor: [4, 5, ['???']], Type: 'R:VERB-GEN'","???? ?? ?????? ? ???
","???? ?? ?????? ? ????
",R:VERB-GEN,g,a
"Orig: [4, 5, ['???']], Cor: [4, 5, ['???']], Type: 'R:VERB-GEN'","????? ?? ???????? ??? ??? ????
","????? ?? ???????? ??? ??? ????
",R:VERB-GEN,g,a
"Orig: [4, 5, ['???']], Cor: [4, 5, ['?????']], Type: 'R:NOUN-NUM'","??????????? ????? ???? ?? ??? ??? ???
","??????????? ????? ???? ?? ????? ??? ????
",R:NOUN-NUM,g,a
"Orig: [6, 7, ['??']], Cor: [6, 7, ['???']], Type: 'R:VERB-NUM'","??????????? ????? ???? ?? ??? ??? ???
","??????????? ????? ???? ?? ????? ??? ????
",R:VERB-NUM,g,a
"Orig: [2, 3, ['???']], Cor: [2, 3, ['?????']], Type: 'R:NOUN-NUM'","???? ?? ??? ?? ???? ?? ??? ???
","???? ?? ????? ?? ???? ?? ??? ????
",R:NOUN-NUM,g,a
"Orig: [6, 7, ['???']], Cor: [6, 7, ['???']], Type: 'R:VERB-NUM'","???? ?? ??? ?? ???? ?? ??? ???
","???? ?? ????? ?? ???? ?? ??? ????
",R:VERB-NUM,g,a
"Orig: [7, 8, ['??']], Cor: [7, 8, ['???']], Type: 'R:VERB-NUM'","???? ?? ??? ?? ???? ?? ??? ???
","???? ?? ????? ?? ???? ?? ??? ????
",R:VERB-NUM,g,a
