,Proposed Edit InHerrant,Incorrect Sentence,Correct Sentence,True Label Before (Multi-Class),True Label (Multi-Class),"Edit Quality (g,b,a)","Edit Extraction Quality (a,b)",InHerrant Annotation Correct
0,"Orig: [2, 3, ['उससे']], Cor: [2, 4, ['रमेश', 'को']], Type: 'R:OTHER'","अध्यापक ने उससे पाठ पढ़ने को कहा परंतु रमेश ने ऐसा नहीं किया।
","अध्यापक ने रमेश को पाठ पढ़ने को कहा परंतु उसने ऐसा नहीं किया।
",R:NOUN,R:OTHER,b,a,NO
1,"Orig: [8, 10, ['रमेश', 'ने']], Cor: [9, 10, ['उसने']], Type: 'R:OTHER'","अध्यापक ने उससे पाठ पढ़ने को कहा परंतु रमेश ने ऐसा नहीं किया।
","अध्यापक ने रमेश को पाठ पढ़ने को कहा परंतु उसने ऐसा नहीं किया।
",R:PRON,R:OTHER,b,a,NO
2,"Orig: [2, 3, ['उसे']], Cor: [2, 4, ['राधा', 'को']], Type: 'R:OTHER'","श्याम ने उसे आवाज़ लगाई पर राधा चली गई।
","श्याम ने राधा को आवाज़ लगाई पर वह चली गई।
",R:NOUN,R:OTHER,b,a,NO
3,"Orig: [6, 7, ['राधा']], Cor: [7, 8, ['वह']], Type: 'R:OTHER'","श्याम ने उसे आवाज़ लगाई पर राधा चली गई।
","श्याम ने राधा को आवाज़ लगाई पर वह चली गई।
",R:PRON,R:OTHER,g,a,NO
4,"Orig: [0, 1, ['वह']], Cor: [0, 0, []], Type: 'U:PRON'","वह जो अपराध करता है उसे दंड देना चाहिए।
","जो अपराध करता है, उसे दंड देना चाहिए।
",U:PRON,U:PRON,g,a,YES
5,"Orig: [5, 5, []], Cor: [4, 5, [',']], Type: 'M:PUNCT'","वह जो अपराध करता है उसे दंड देना चाहिए।
","जो अपराध करता है, उसे दंड देना चाहिए।
",M:PUNCT,M:PUNCT,g,a,YES
6,"Orig: [1, 2, ['मेरी']], Cor: [1, 2, ['अपना']], Type: 'R:PRON'","मैंने मेरी पेन मेरे मित्र को दे दी।
","मैंने अपना पेन अपने मित्र को दे दिया।
",R:PRON,R:PRON,g,a,YES
7,"Orig: [3, 4, ['मेरे']], Cor: [3, 4, ['अपने']], Type: 'R:PRON'","मैंने मेरी पेन मेरे मित्र को दे दी।
","मैंने अपना पेन अपने मित्र को दे दिया।
",R:PRON,R:PRON,g,a,YES
8,"Orig: [7, 8, ['दी']], Cor: [7, 8, ['दिया']], Type: 'R:VERB-GEN'","मैंने मेरी पेन मेरे मित्र को दे दी।
","मैंने अपना पेन अपने मित्र को दे दिया।
",R:VERB-GEN,R:VERB-GEN,g,a,YES
9,"Orig: [1, 3, ['तेरे', 'को']], Cor: [1, 2, ['तुझसे']], Type: 'R:PRON'","मैंने तेरे को कितनी बार कहा।
","मैंने तुझसे कितनी बार कहा।
",R:PRON,R:PRON,g,a,YES
10,"Orig: [2, 5, ['जो', 'है', 'वह']], Cor: [2, 2, []], Type: 'U:OTHER'","यह उपन्यास जो है वह प्रेमचंद का लिखा हुआ है।
","यह उपन्यास प्रेमचंद का लिखा हुआ है।
",U:OTHER,U:OTHER,g,a,YES
11,"Orig: [2, 3, ['तुमसे']], Cor: [2, 5, ['तुम्हारी', 'साड़ी', 'से']], Type: 'R:PRON'","मेरी साड़ी तुमसे अच्छी है।
","मेरी साड़ी तुम्हारी साड़ी से अच्छी है।
",R:PRON,R:PRON,g,a,YES
12,"Orig: [1, 4, ['जो', 'है', 'उसका']], Cor: [1, 2, ['का']], Type: 'R:OTHER'","धर्म जो है उसका पालन करो।
","धर्म का पालन करो।
",R:PRON,R:OTHER,a,a,NO
13,"Orig: [3, 3, []], Cor: [3, 4, ['से']], Type: 'M:ADP'","जो लोग बाढ़ पीड़ित हैं, उसके परिवारों को सहायता देना सरकार का दायित्व है।
","जो लोग बाढ़ से पीड़ित हैं, उनके परिवारों को सहायता देना सरकार का दायित्व है।
",M:ADP,M:ADP,g,a,YES
14,"Orig: [0, 2, ['मेरे', 'को']], Cor: [0, 1, ['मुझे']], Type: 'R:OTHER'","मेरे को आपका काम बहुत पसंद है।
","मुझे आपका काम बहुत पसंद है।
",R:PRON,R:OTHER,b,a,NO
15,"Orig: [0, 2, ['अपने', 'को']], Cor: [0, 1, ['मुझे']], Type: 'R:PRON'","अपने को यहाँ से जाने की कोई जल्दी नहीं है।
","मुझे यहाँ से जाने की कोई जल्दी नहीं है।
",R:PRON,R:PRON,g,a,YES
16,"Orig: [0, 2, ['मेरे', 'को']], Cor: [0, 1, ['मुझे']], Type: 'R:OTHER'","मेरे को कपड़े सिलवाने हैं।
","मुझे कपड़े सिलवाने हैं।
",R:PRON,R:OTHER,b,a,NO
17,"Orig: [1, 3, ['निज', 'में']], Cor: [1, 2, ['स्वयं']], Type: 'R:OTHER'","मैं निज में वहाँ जाना चाहता हूँ।
","मैं स्वयं वहाँ जाना चाहता हूँ।
",R:PRON,R:OTHER,a,a,NO
18,"Orig: [0, 2, ['मेरे', 'को']], Cor: [0, 1, ['मुझे']], Type: 'R:OTHER'","मेरे को आगरा जाना है।
","मुझे आगरा जाना है।
",R:PRON,R:OTHER,b,a,NO
19,"Orig: [1, 3, ['तेरे', 'को']], Cor: [1, 2, ['तुझे']], Type: 'R:PRON'","वह तेरे को पैसे नहीं देगा।
","वह तुझे पैसे नहीं देगा।
",R:PRON,R:PRON,g,a,YES
20,"Orig: [2, 4, ['राम', 'का']], Cor: [2, 3, ['उसका']], Type: 'R:OTHER'","राम और राम का पुत्र बाज़ार गया।
","राम और उसका पुत्र बाज़ार गये।
",R:PRON,R:OTHER,b,a,NO
21,"Orig: [6, 7, ['गया']], Cor: [5, 6, ['गये']], Type: 'R:VERB-NUM'","राम और राम का पुत्र बाज़ार गया।
","राम और उसका पुत्र बाज़ार गये।
",R:VERB-NUM,R:VERB-NUM,a,a,NO
22,"Orig: [1, 2, ['आप-आप']], Cor: [1, 3, ['अपने', 'आप']], Type: 'R:OTHER'","वह आप-आप चलता जा रहा था।
","वह अपने आप चलता जा रहा था।
",R:PRON,R:OTHER,g,a,NO
23,"Orig: [1, 2, ['जो']], Cor: [1, 1, []], Type: 'U:DET'","वह जो पुस्तक है वह गोपाल की है।
","वह पुस्तक गोपाल की है।
",U:DET,U:DET,g,a,YES
24,"Orig: [3, 5, ['है', 'वह']], Cor: [2, 2, []], Type: 'U:OTHER'","वह जो पुस्तक है वह गोपाल की है।
","वह पुस्तक गोपाल की है।
",U:OTHER,U:OTHER,g,a,YES
