,Proposed Edit InHerrant,Proposed Edit Ankur's Errant,Incorrect Sentence,Correct Sentence,True Label (Multi-Class),"Edit Quality (g,b,a)","Edit Extraction Quality (a,b)",True Label Before (Multi-Class),InHerrant Annotation Correct,"Edit Quality (g,b,a) Ankur",Ankur Annotation Correct
0,"Orig: [9, 10, ['उड़ते']], Cor: [9, 10, ['चरते']], Type: 'R:VERB'","Orig: [9, 10, ['उड़ते']], Cor: [9, 10, ['चरते']], Type: 'R:VERB'","मैंने उस घने जंगल में अनेक पशु और पक्षी उड़ते और चरते देखे।
","मैंने उस घने जंगल में अनेक पशु और पक्षी चरते और उड़ते देखे।
",R:VERB,g,b,R:VERB,YES,g,NO
1,"Orig: [11, 12, ['चरते']], Cor: [11, 12, ['उड़ते']], Type: 'R:VERB'","Orig: [11, 12, ['चरते']], Cor: [11, 12, ['उड़ते']], Type: 'R:VERB'","मैंने उस घने जंगल में अनेक पशु और पक्षी उड़ते और चरते देखे।
","मैंने उस घने जंगल में अनेक पशु और पक्षी चरते और उड़ते देखे।
",R:VERB,g,b,R:VERB,YES,g,NO
2,"Orig: [0, 1, ['वह']], Cor: [0, 0, []], Type: 'U:DET'","Orig: [0, 1, ['वह']], Cor: [0, 0, []], Type: 'U:DEM'","वह किताब जो कोने में रखी है, वह बहुत अच्छी है।
","जो किताब कोने में रखी है, वह बहुत अच्छी है।
",U:DET,b,a,R:PRON,NO,b,NO
3,"Orig: [1, 3, ['किताब', 'जो']], Cor: [0, 2, ['जो', 'किताब']], Type: 'R:WO'","Orig: [1, 3, ['किताब', 'जो']], Cor: [0, 2, ['जो', 'किताब']], Type: 'R:WO'","वह किताब जो कोने में रखी है, वह बहुत अच्छी है।
","जो किताब कोने में रखी है, वह बहुत अच्छी है।
",R:WO,g,a,R:WO,YES,g,NO
4,"Orig: [8, 9, ['आपका']], Cor: [8, 10, ['आप', 'उसका']], Type: 'R:PRON'","Orig: [8, 9, ['आपका']], Cor: [8, 10, ['आप', 'उसका']], Type: 'R:MULTI'","वे तो मेल-जोल बढ़ाना चाहते हैं, पर आपका मुँह देखने को जी नहीं चाहता है।
","वे तो मेल-जोल बढ़ाना चाहते हैं, पर आप उसका मुँह देखना नहीं चाहते।
",R:PRON,g,a,R:PRON,YES,b,YES
5,"Orig: [10, 11, ['देखने']], Cor: [11, 12, ['देखना']], Type: 'R:VERB-FORM'","Orig: [10, 11, ['देखने']], Cor: [11, 12, ['देखना']], Type: 'R:VERB:INFL'","वे तो मेल-जोल बढ़ाना चाहते हैं, पर आपका मुँह देखने को जी नहीं चाहता है।
","वे तो मेल-जोल बढ़ाना चाहते हैं, पर आप उसका मुँह देखना नहीं चाहते।
",R:VERB-FORM,g,a,R:VERB,NO,g,NO
6,"Orig: [11, 13, ['को', 'जी']], Cor: [12, 12, []], Type: 'U:OTHER'","Orig: [11, 13, ['को', 'जी']], Cor: [12, 12, []], Type: 'U:OTHER'","वे तो मेल-जोल बढ़ाना चाहते हैं, पर आपका मुँह देखने को जी नहीं चाहता है।
","वे तो मेल-जोल बढ़ाना चाहते हैं, पर आप उसका मुँह देखना नहीं चाहते।
",U:OTHER,a,a,U:OTHER,NO,a,NO
7,"Orig: [14, 16, ['चाहता', 'है']], Cor: [13, 14, ['चाहते']], Type: 'R:VERB-TENSE'","Orig: [14, 16, ['चाहता', 'है']], Cor: [13, 14, ['चाहते']], Type: 'R:MULTI'","वे तो मेल-जोल बढ़ाना चाहते हैं, पर आपका मुँह देखने को जी नहीं चाहता है।
","वे तो मेल-जोल बढ़ाना चाहते हैं, पर आप उसका मुँह देखना नहीं चाहते।
",R:VERB-TENSE,b,a,R:VERB,NO,b,YES
8,"Orig: [0, 3, ['इस', 'विद्यालय', 'में']], Cor: [0, 0, []], Type: 'U:OTHER'","Orig: [0, 3, ['इस', 'विद्यालय', 'में']], Cor: [0, 0, []], Type: 'U:OTHER'","इस विद्यालय में जो विद्यार्थी डॉक्टर बनना चाहते हैं, उनको इस विद्यालय में शिक्षा दी जाती है।
","जो विद्यार्थी डॉक्टर बनना चाहते हैं, उनको इस विद्यालय में शिक्षा दी जाती है। 
",U:OTHER,a,b,U:OTHER,NO,a,NO
9,"Orig: [2, 2, []], Cor: [2, 7, ['उस', 'समय', 'की', 'है', ',']], Type: 'M:OTHER'","Orig: [2, 2, []], Cor: [2, 7, ['उस', 'समय', 'की', 'है', ',']], Type: 'M:OTHER'","यह घटना जब मैं दस वर्ष का था, उस समय की है। 
","यह घटना उस समय की है, जब मैं दस वर्ष का था।
",M:OTHER,a,b,M:OTHER,NO,a,NO
10,"Orig: [8, 13, [',', 'उस', 'समय', 'की', 'है']], Cor: [13, 13, []], Type: 'U:OTHER'","Orig: [8, 13, [',', 'उस', 'समय', 'की', 'है']], Cor: [13, 13, []], Type: 'U:OTHER'","यह घटना जब मैं दस वर्ष का था, उस समय की है। 
","यह घटना उस समय की है, जब मैं दस वर्ष का था।
",U:OTHER,a,b,U:OTHER,NO,a,NO
