Proposed Edit InHerrant,Proposed Edit Ankur's Errant,Incorrect Sentence,Correct Sentence,True Label (Multi-Class),"Edit Quality (g,b,a)","Edit Extraction Quality (a,b)",True Label Before (Multi-Class),"Edit Quality Before (g,b,a)","Edit Extraction Quality Before(a,b)"
"Orig: [2, 3, ['हमारे']], Cor: [2, 3, ['हमारा']], Type: 'R:PRON'","Orig: [2, 3, ['हमारे']], Cor: [2, 3, ['हमारा']], Type: 'R:PRON'","उत्तम चरित्र-निर्माण हमारे लक्ष्य होने चाहियें।
","उत्तम चरित्र-निर्माण हमारा लक्ष्य होना चाहिए।
",,,,g,a,b
"Orig: [4, 5, ['होने']], Cor: [4, 5, ['होना']], Type: 'R:VERB'","Orig: [4, 5, ['होने']], Cor: [4, 5, ['होना']], Type: 'R:VERB'","उत्तम चरित्र-निर्माण हमारे लक्ष्य होने चाहियें।
","उत्तम चरित्र-निर्माण हमारा लक्ष्य होना चाहिए।
",,,,a,a,b
"Orig: [5, 6, ['चाहियें']], Cor: [5, 6, ['चाहिए']], Type: 'R:VERB'","Orig: [5, 6, ['चाहियें']], Cor: [5, 6, ['चाहिए']], Type: 'R:VERB'","उत्तम चरित्र-निर्माण हमारे लक्ष्य होने चाहियें।
","उत्तम चरित्र-निर्माण हमारा लक्ष्य होना चाहिए।
",,,,g,a,g 
"Orig: [0, 2, ['केवल', 'यहाँ']], Cor: [0, 2, ['यहाँ', 'केवल']], Type: 'R:WO'","Orig: [0, 2, ['केवल', 'यहाँ']], Cor: [0, 2, ['यहाँ', 'केवल']], Type: 'R:WO'","केवल यहाँ चाई पुस्तकें रखी हैं।
","यहाँ केवल चार पुस्तकें रखी हैं।
",,,,g,a,g
"Orig: [2, 3, ['चाई']], Cor: [2, 3, ['चार']], Type: 'R:OTHER'","Orig: [2, 3, ['चाई']], Cor: [2, 3, ['चार']], Type: 'R:OTHER'","केवल यहाँ चाई पुस्तकें रखी हैं।
","यहाँ केवल चार पुस्तकें रखी हैं।
",,,,g,a,g
"Orig: [1, 2, ['केलिए']], Cor: [1, 2, ['के']], Type: 'R:SPELL'","Orig: [1, 2, ['केलिए']], Cor: [1, 2, ['के']], Type: 'R:SPELL'","राधा केलिए एक व्याकरण की पुस्तक ले आना।
","राधा के लिए व्याकरण की एक पुस्तक ले आना।
",,,,g,a,g
"Orig: [2, 3, ['एक']], Cor: [2, 3, ['लिए']], Type: 'R:OTHER'","Orig: [2, 3, ['एक']], Cor: [2, 3, ['लिए']], Type: 'R:OTHER'","राधा केलिए एक व्याकरण की पुस्तक ले आना।
","राधा के लिए व्याकरण की एक पुस्तक ले आना।
",,,,g,a,g
"Orig: [5, 5, []], Cor: [5, 6, ['एक']], Type: 'M:ADJ'","Orig: [5, 5, []], Cor: [5, 6, ['एक']], Type: 'M:ADJ'","राधा केलिए एक व्याकरण की पुस्तक ले आना।
","राधा के लिए व्याकरण की एक पुस्तक ले आना।
",,,,g,a,g
"Orig: [2, 2, []], Cor: [2, 3, [""'""]], Type: 'M:PUNCT'","Orig: [2, 2, []], Cor: [2, 3, [""'""]], Type: 'M:PUNCT'","प्रस्तुत पंक्तियाँ सरोज स्मृति से ली हैं।
","प्रस्तुत पंक्तियाँ 'सरोज स्मृति' से ली गयी हैं।
",,,,g,a,g
"Orig: [4, 4, []], Cor: [5, 6, [""'""]], Type: 'M:PUNCT'","Orig: [4, 4, []], Cor: [5, 6, [""'""]], Type: 'M:PUNCT'","प्रस्तुत पंक्तियाँ सरोज स्मृति से ली हैं।
","प्रस्तुत पंक्तियाँ 'सरोज स्मृति' से ली गयी हैं।
",,,,g,a,g
"Orig: [6, 6, []], Cor: [8, 9, ['गयी']], Type: 'M:VERB-TENSE'","Orig: [6, 6, []], Cor: [8, 9, ['गयी']], Type: 'M:VERB-TENSE'","प्रस्तुत पंक्तियाँ सरोज स्मृति से ली हैं।
","प्रस्तुत पंक्तियाँ 'सरोज स्मृति' से ली गयी हैं।
",,,,g,a,g
"Orig: [12, 12, []], Cor: [12, 13, ['गया']], Type: 'M:VERB-TENSE'","Orig: [12, 12, []], Cor: [12, 13, ['गया']], Type: 'M:VERB-TENSE'","प्रयोग के आधार पर अंग्रेजी शब्दों को दो भागों में विभक्त किया है।
","प्रयोग के आधार पर अंग्रेजी शब्दों को दो भागों में विभक्त किया गया है।
",,,,g,a,g
"Orig: [1, 2, ['ने']], Cor: [1, 2, ['द्वारा']], Type: 'R:ADP'","Orig: [1, 2, ['ने']], Cor: [1, 2, ['द्वारा']], Type: 'R:ADP'","पुलिस ने डाकुओं का पीछा किया।
","पुलिस द्वारा डाकुओं का पीछा किया गया।
",,,,g,a,g
"Orig: [6, 6, []], Cor: [6, 7, ['गया']], Type: 'M:VERB-TENSE'","Orig: [6, 6, []], Cor: [6, 7, ['गया']], Type: 'M:VERB-TENSE'","पुलिस ने डाकुओं का पीछा किया।
","पुलिस द्वारा डाकुओं का पीछा किया गया।
",,,,g,a,g
"Orig: [4, 5, ['लिखाया']], Cor: [4, 5, ['लिखवाया']], Type: 'R:VERB'","Orig: [4, 5, ['लिखाया']], Cor: [4, 5, ['लिखवाया']], Type: 'R:VERB'","अध्यापक ने हमसे लेख लिखाया।
","अध्यापक ने हमसे लेख लिखवाया।
",,,,a,a,g
"Orig: [8, 9, ['है']], Cor: [8, 9, ['गया']], Type: 'R:VERB-TENSE'","Orig: [8, 9, ['है']], Cor: [8, 9, ['गया']], Type: 'R:VERB-TENSE'","सूत्रपुत्र नाटक को चार अंकों में विभक्त किया है।
","सूत्रपुत्र नाटक को चार अंकों में विभक्त किया गया।
",,,,g,a,g
"Orig: [4, 5, ['वाकयों']], Cor: [4, 5, ['वाक्यों']], Type: 'R:SPELL'","Orig: [4, 5, ['वाकयों']], Cor: [4, 5, ['वाक्यों']], Type: 'R:SPELL'","रचना के आधार पर वाकयों को चार भागों में विभकक्‍त किया है। 
","रचना के आधार पर वाक्यों को चार भागों में विभक्त किया गया है।
",,,,b,a,b
"Orig: [9, 10, ['विभकक्\u200dत']], Cor: [9, 10, ['विभक्त']], Type: 'R:SPELL'","Orig: [9, 10, ['विभकक्\u200dत']], Cor: [9, 10, ['विभक्त']], Type: 'R:SPELL'","रचना के आधार पर वाकयों को चार भागों में विभकक्‍त किया है। 
","रचना के आधार पर वाक्यों को चार भागों में विभक्त किया गया है।
",,,,g,a,g
"Orig: [11, 11, []], Cor: [11, 12, ['गया']], Type: 'M:VERB-TENSE'","Orig: [11, 11, []], Cor: [11, 12, ['गया']], Type: 'M:VERB-TENSE'","रचना के आधार पर वाकयों को चार भागों में विभकक्‍त किया है। 
","रचना के आधार पर वाक्यों को चार भागों में विभक्त किया गया है।
",,,,g,a,g
"Orig: [7, 8, ['अवश्य']], Cor: [7, 7, []], Type: 'U:ADV'","Orig: [7, 8, ['अवश्य']], Cor: [7, 7, []], Type: 'U:ADV'","इसमें सन्देह है कि वह परीक्षा में अवश्य पास हो सकेगा।
","इसमें सन्देह है कि वह परीक्षा में पास हो पाएगा।
",,,,g,a,g
"Orig: [10, 11, ['सकेगा']], Cor: [9, 10, ['पाएगा']], Type: 'R:VERB'","Orig: [10, 11, ['सकेगा']], Cor: [9, 10, ['पाएगा']], Type: 'R:VERB'","इसमें सन्देह है कि वह परीक्षा में अवश्य पास हो सकेगा।
","इसमें सन्देह है कि वह परीक्षा में पास हो पाएगा।
",,,,b,a,b
"Orig: [2, 3, ['सकुशलतापूर्वक']], Cor: [2, 3, ['सकुशल']], Type: 'R:SPELL'","Orig: [2, 3, ['सकुशलतापूर्वक']], Cor: [2, 3, ['सकुशल']], Type: 'R:SPELL'","सब यहाँ सकुशलतापूर्वक हैं।
","सब यहाँ सकुशल हैं।
",,,,g,a,g
"Orig: [1, 2, ['केवल']], Cor: [1, 1, []], Type: 'U:OTHER'","Orig: [1, 2, ['केवल']], Cor: [1, 1, []], Type: 'U:OTHER'","वह केवल नाम्मात्र का खिलाड़ी है।
","वह नाममात्र का खिलाड़ी है।
",,,,b,a,b
"Orig: [2, 3, ['नाम्मात्र']], Cor: [1, 2, ['नाममात्र']], Type: 'R:SPELL'","Orig: [2, 3, ['नाम्मात्र']], Cor: [1, 2, ['नाममात्र']], Type: 'R:SPELL'","वह केवल नाम्मात्र का खिलाड़ी है।
","वह नाममात्र का खिलाड़ी है।
",,,,g,a,g
"Orig: [3, 4, ['शायद']], Cor: [3, 3, []], Type: 'U:ADV'","Orig: [3, 4, ['शायद']], Cor: [3, 3, []], Type: 'U:ADV'","मेरे विचार से शायद काम हो जाएगा।
","मेरे विचार से काम हो जाएगा।
",,,,g,a,g
