Proposed Edit,Incorrect Sentence,Correct Sentence,True Label (Multi-Class),"Edit Quality (g,b,a)","Edit Extraction Quality (a,b)","Edit Quality 2 (g,b,a)"
"Orig: [0, 1, ['उसके']], Cor: [0, 1, ['उसकी']], Type: 'R:PRON-GEN'","उसके आदतें बिगड़ गयी हैं।
","उसकी आदतें बिगड़ गयी हैं।
",R:PRON-GEN,g,a,g
"Orig: [0, 1, ['उसका']], Cor: [0, 1, ['उसकी']], Type: 'R:PRON-GEN'","उसका चोटी बड़ी लम्बी हो गयी है।        
","उसकी चोटी बड़ी लम्बी हो गयी है।
",R:PRON-GEN,g,a,g
"Orig: [0, 1, ['मेरा']], Cor: [0, 1, ['मेरी']], Type: 'R:PRON-GEN'","मेरा मेहँदी अब सूख गयी है। 
","मेरी मेहँदी अब सूख गयी है।
",R:PRON-GEN,g,a,g
"Orig: [0, 1, ['उसकी']], Cor: [0, 1, ['उसके']], Type: 'R:PRON-GEN'","उसकी बगीचे में बहुत सुंदर पुष्प खिले हैं।
","उसके बगीचे में बहुत सुंदर पुष्प खिले हैं।
",R:PRON-GEN,g,a,g
"Orig: [3, 4, ['चौड़ा']], Cor: [3, 4, ['चौड़ी']], Type: 'R:ADJ-GEN'","दिल्ली में बहुत चौड़ा सड़कें हैं। 
","दिल्ली में बहुत चौड़ी सड़कें हैं। 
",R:ADJ-GEN,g,a,g
"Orig: [1, 2, ['बड़ा']], Cor: [1, 2, ['बड़ी']], Type: 'R:ADJ-GEN'","अक़्ल बड़ा या भैंस?
","अक़्ल बड़ी या भैंस?
",R:ADJ-GEN,g,a,g
"Orig: [1, 2, ['महंगा']], Cor: [1, 2, ['महंगी']], Type: 'R:ADJ-GEN'","सब्ज़ियाँ महंगा हो गयी हैं ।
","सब्ज़ियाँ महंगी हो गयी हैं।
",R:ADJ-GEN,g,a,g
"Orig: [2, 3, ['नीला']], Cor: [2, 3, ['नीली']], Type: 'R:ADJ-GEN'","मैंने तुम्हारी नीला क़मीज़ बिस्तर पर रखी है।
","मैंने तुम्हारी नीली क़मीज़ बिस्तर पर रखी है।
",R:ADJ-GEN,g,a,g
"Orig: [0, 1, ['वे']], Cor: [0, 1, ['वह']], Type: 'R:PRON'","वे अच्छा लड़का है। 
","वह अच्छा लड़का है।
",R:PRON-NUM,b,a,b
"Orig: [1, 2, ['मेरा']], Cor: [1, 2, ['हमारा']], Type: 'R:PRON'","यह मेरा घर है। 
","यह हमारा घर है। 
",R:PRON-NUM,a,a,b
