,Proposed Edit,Incorrect Sentence,Correct Sentence,True Label (Multi-Class),"Edit Quality (g,b,a)","Edit Extraction Quality (a,b)"
0,"Orig: [3, 4, ['???']], Cor: [3, 4, ['???']], Type: 'R:VERB-GEN'","???? ???? ?????? ??? ???
","???? ???? ?????? ??? ???
",R:VERB-GEN,g,a
1,"Orig: [7, 8, ['????']], Cor: [7, 8, ['????']], Type: 'R:SPELL'","????? ?? ??? ????? ?? ????? ?? ????
","????? ?? ??? ????? ?? ????? ?? ????
",,,
2,"Orig: [3, 4, ['??']], Cor: [3, 4, ['??']], Type: 'R:VERB-GEN'","???? ?? ??? ???
","???? ?? ??? ???
",R:VERB-GEN,g,a
3,"Orig: [1, 2, ['????']], Cor: [1, 2, ['????']], Type: 'R:PRON-GEN'","????? ???? ????? ?? ???? ??????
","????? ???? ????? ?? ???? ??????
",R:PRON-GEN,g,a
4,"Orig: [5, 6, ['?????']], Cor: [5, 6, ['?????']], Type: 'R:VERB-GEN'","????? ???? ????? ?? ???? ??????
","????? ???? ????? ?? ???? ??????
",R:VERB-GEN,g,a
5,"Orig: [5, 6, ['????']], Cor: [5, 6, ['????']], Type: 'R:VERB'","???? ?? ???? ?? ??? ???? ???
","???? ?? ???? ?? ??? ???? ???
",R:VERB-GEN,g,a
6,"Orig: [6, 7, ['??']], Cor: [6, 7, ['??']], Type: 'R:VERB-GEN'","???? ?? ???? ?? ??? ???? ???
","???? ?? ???? ?? ??? ???? ???
",R:VERB-GEN,a,a
7,"Orig: [4, 5, ['?????']], Cor: [4, 5, ['??????']], Type: 'R:VERB-GEN'","???? ?? ???? ????? ??????
","???? ?? ???? ????? ???????
",R:VERB-GEN,g,a
8,"Orig: [4, 5, ['????']], Cor: [4, 5, ['????']], Type: 'R:NOUN'","???? ???? ???? ??? ?????
","???? ???? ???? ??? ?????
",R:VERB-GEN,b,a
9,"Orig: [3, 4, ['????']], Cor: [3, 4, ['?????']], Type: 'R:VERB-GEN'","???? ???? ???? ?????
","???? ???? ???? ??????
",R:VERB-GEN,g,a
10,"Orig: [3, 4, ['?????']], Cor: [3, 4, ['?????']], Type: 'R:ADJ-GEN'","?????? ?? ???? ????? ???
","?????? ?? ???? ????? ???
",R:ADJ-GEN,g,a
11,"Orig: [4, 5, ['??']], Cor: [4, 5, ['??']], Type: 'R:VERB-GEN'","?????? ?? ???? ????? ???
","?????? ?? ???? ????? ???
",R:VERB-GEN,a,a
12,"Orig: [2, 3, ['?????']], Cor: [2, 3, ['?????']], Type: 'R:ADJ-GEN'","???? ??? ????? ???? ???
","???? ??? ????? ???? ???
",R:ADJ-GEN,g,a
13,"Orig: [3, 4, ['????']], Cor: [3, 4, ['????']], Type: 'R:VERB-GEN'","???? ??? ????? ???? ???
","???? ??? ????? ???? ???
",R:VERB-GEN,g,a
14,"Orig: [7, 8, ['????']], Cor: [7, 8, ['????']], Type: 'R:VERB-GEN'","?? ?????? ??? ?? ?? ????? ???? ?????
","?? ?????? ??? ?? ?? ????? ???? ?????
",R:VERB-GEN,g,a
15,"Orig: [0, 1, ['????']], Cor: [0, 1, ['????']], Type: 'R:PRON-GEN'","???? ????? ????? ???
","???? ????? ????? ???
",R:PRON-GEN,g,a
