,Incorrect Sentence,Correct Sentence,Proposed Edits
0,"लो, झील भी पार हो गयी।
","लो, झील भी पार कर ली।
","[""Orig: [5, 7, ['हो', 'गयी']], Cor: [5, 6, ['कर']], Type: 'R:'"", ""Orig: [7, 8, ['।']], Cor: [6, 7, ['ली।']], Type: 'R:'""]"
1,"पिताजी चाए पी लो।
","पिताजी चाए पी लीजिए।
","[""Orig: [3, 4, ['लो।']], Cor: [3, 5, ['लीजिए', '।']], Type: 'R:'""]"
2,"लड्डू और लस्सी पीकर हमने यात्रा की।
","लड्डू और लस्सी खा-पीकर हमने यात्रा की।
","[""Orig: [3, 4, ['पीकर']], Cor: [3, 4, ['खा-पीकर']], Type: 'R:'""]"
3,"इस समय वह निद्रा ले रहा है।
","इस समय वह सो रहा है।
","[""Orig: [3, 5, ['निद्रा', 'ले']], Cor: [3, 4, ['सो']], Type: 'R:'""]"
4,"लाल क़िला लाल पत्थरों से बनी है।
","लाल क़िला लाल पत्थरों से बना है।
","[""Orig: [5, 6, ['बनी']], Cor: [5, 6, ['बना']], Type: 'R:'""]"
5,"इस प्रश्न का हल करने की आवश्यकता है।
","इस प्रश्न के हल की आवश्यकता है।
","[""Orig: [2, 3, ['का']], Cor: [2, 3, ['के']], Type: 'R:'"", ""Orig: [4, 5, ['करने']], Cor: [4, 4, []], Type: 'U:'""]"
6,"उन्हें डॉक्टर की उपाधि वितरित की।
","उन्हें डॉक्टर की उपाधि प्रदान की।
","[""Orig: [4, 5, ['वितरित']], Cor: [4, 5, ['प्रदान']], Type: 'R:'""]"
7,"हिरणों का झुंड तालाब पर पानी पीने आए।
","हिरणों का झुंड तालाब पर पानी पीने आया।
","[""Orig: [7, 8, ['आए']], Cor: [7, 8, ['आया']], Type: 'R:'""]"
8,"कोलंबस ने अमेरिका का खोज किया।
","कोलंबस ने अमेरिका की खोज की।
","[""Orig: [3, 4, ['का']], Cor: [3, 4, ['की']], Type: 'R:'"", ""Orig: [5, 6, ['किया']], Cor: [5, 6, ['की']], Type: 'R:'""]"
9,"अब वह फिर से पढ़ना माँगता है।
","अब वह फिर से पढ़ना चाहता है।
","[""Orig: [5, 6, ['माँगता']], Cor: [5, 6, ['चाहता']], Type: 'R:'""]"
10,सीता खाना माँगता है।,सीता खाना माँगती है।,"[""Orig: [2, 3, ['माँगता']], Cor: [2, 3, ['माँगती']], Type: 'R:'""]"
