,Proposed Edit,Incorrect Sentence,Correct Sentence
0,"Orig: [4, 5, ['स्नेही']], Cor: [4, 4, []], Type: 'U:NOUN'","राधा मेरी परम प्रिय स्नेही है।
","राधा मेरी परम प्रिय है।
"
1,"Orig: [5, 6, ['हितकर']], Cor: [5, 5, []], Type: 'U:ADJ'","नेता को हमेशा जनता के हितकर कल्याण की बातें सोचनी चाहिए।
","नेता को हमेशा जनता के कल्याण की बातें सोचनी चाहिए।
"
2,"Orig: [4, 6, ['का', 'भार']], Cor: [4, 4, []], Type: 'U:OTHER'","मैं आपका सदैव आभार का भार मानता रहूँगा।
","मैं आपका सदैव आभार मानता रहूँगा।
"
3,"Orig: [1, 2, ['पधारिए']], Cor: [1, 1, []], Type: 'U:OTHER'","आइए पधारिए, आपका स्वागत है।
","आइए, आपका स्वागत है।
"
4,"Orig: [3, 4, ['भी']], Cor: [3, 3, []], Type: 'U:OTHER'","तुम्हें वहाँ कभी भी नहीं जाना चाहिए।
","तुम्हें वहाँ कभी नहीं जाना चाहिए।
"
5,"Orig: [1, 2, ['पानी']], Cor: [1, 1, []], Type: 'U:NOUN'","मेघ पानी बरसाते हैं।
","मेघ बरसते हैं।
"
6,"Orig: [2, 3, ['बरसाते']], Cor: [1, 2, ['बरसते']], Type: 'R:SPELL'","मेघ पानी बरसाते हैं।
","मेघ बरसते हैं।
"
7,"Orig: [5, 7, ['देखने', 'योग्य']], Cor: [5, 5, []], Type: 'U:OTHER'","कश्मीर में कई दर्शनीय स्थल देखने योग्य हैं।
","कश्मीर में कई दर्शनीय स्थल हैं।
"
8,"Orig: [2, 3, ['गरम']], Cor: [2, 2, []], Type: 'U:ADJ'","वह गुनगुने गरम पानी से स्नान करता है।
","वह गुनगुने पानी से स्नान करता है।
"
9,"Orig: [0, 1, ['आपकी']], Cor: [0, 0, []], Type: 'U:PRON'","आपकी भवदीय।
","भवदीय।
"
10,"Orig: [1, 3, ['भवदीय', '।']], Cor: [0, 1, ['भवदीय।']], Type: 'R:ORTH'","आपकी भवदीय।
","भवदीय।
"
11,"Orig: [3, 5, ['के', 'बीच']], Cor: [3, 4, ['में']], Type: 'R:ADP'","पिछले कुछ वर्षों के बीच भारत और पाकिस्तान के हर बीच शत्रुता बढ़ी है।
","पिछले कुछ वर्षों में भारत और पाकिस्तान के बीच शत्रुता बढ़ी है।
"
12,"Orig: [9, 10, ['हर']], Cor: [8, 8, []], Type: 'U:DET'","पिछले कुछ वर्षों के बीच भारत और पाकिस्तान के हर बीच शत्रुता बढ़ी है।
","पिछले कुछ वर्षों में भारत और पाकिस्तान के बीच शत्रुता बढ़ी है।
"
13,"Orig: [0, 2, ['बिना', 'कठोर']], Cor: [0, 1, ['कठिन']], Type: 'R:OTHER'","बिना कठोर परिश्रम किए तुम सफल नहीं हो सकते।
","कठिन परिश्रम के बिना तुम सफल नहीं हो सकते।
"
14,"Orig: [3, 4, ['किए']], Cor: [2, 4, ['के', 'बिना']], Type: 'R:OTHER'","बिना कठोर परिश्रम किए तुम सफल नहीं हो सकते।
","कठिन परिश्रम के बिना तुम सफल नहीं हो सकते।
"
15,"Orig: [2, 4, ['ताकतवर', 'दूध']], Cor: [2, 4, ['दूध', 'ताकतवर']], Type: 'R:WO'",भैंस का ताकतवर दूध होता है।,भैंस का दूध ताकतवर होता है।
