Proposed Edit InHerrant,Proposed Edit Ankur's Errant,Incorrect Sentence,Correct Sentence,True Label (Multi-Class),"Edit Quality (g,b,a)","Edit Extraction Quality (a,b)",True Label Before (Multi-Class),"Edit Quality Before (g,b,a)","Edit Extraction Quality Before(a,b)"
"Orig: [8, 9, ['व']], Cor: [8, 9, ['और']], Type: 'R:OTHER'","Orig: [8, 9, ['व']], Cor: [8, 9, ['और']], Type: 'R:PROPN'","15 जनवरी 2019 को एयरटेल भारत के अंडमान व निकोबार का पहला 4 नेटवर्क बना ।
","15 जनवरी 2019 को एयरटेल भारत के अंडमान और निकोबार का पहला 4 नेटवर्क बना ।
",,,,R:CONJ,b,a
"Orig: [10, 11, ['व']], Cor: [10, 11, ['तथा']], Type: 'R:CONJ'","Orig: [10, 11, ['व']], Cor: [10, 11, ['तथा']], Type: 'R:CONJ'","पर्वत का यह भाग १ , १५० मी चौड़ा है व ६ ८ कि मी में फ़ैला हुआ है ।
","पर्वत का यह भाग १ , १५० मी चौड़ा है तथा ६ ८ कि मी में फ़ैला हुआ है ।
",,,,R:CONJ,g,a
"Orig: [1, 2, ['एवं']], Cor: [1, 2, ['और']], Type: 'R:CONJ'","Orig: [1, 2, ['एवं']], Cor: [1, 2, ['और']], Type: 'R:CONJ'","व्यवहार एवं आधुनिक दुनिया में इस्लाम की भूमिकाएँ ।
","व्यवहार और आधुनिक दुनिया में इस्लाम की भूमिकाएँ ।
",,,,R:CONJ,g,a
"Orig: [17, 18, ['एवं']], Cor: [17, 18, ['और']], Type: 'R:CONJ'","Orig: [17, 18, ['एवं']], Cor: [17, 18, ['और']], Type: 'R:CONJ'","इनके अतिरिक्त तीन अधिनस्थ क्षेत्र भी इस महाद्वीप में हैं ग्रीनलैंड , बरमूडा , और सन्त पियर एवं मिकलान ।
","इनके अतिरिक्त तीन अधिनस्थ क्षेत्र भी इस महाद्वीप में हैं ग्रीनलैंड , बरमूडा , और सन्त पियर और मिकलान ।
",,,,R:CONJ,g,a
"Orig: [3, 4, ['एवं']], Cor: [3, 4, ['और']], Type: 'R:CONJ'","Orig: [3, 4, ['एवं']], Cor: [3, 4, ['और']], Type: 'R:CONJ'","३ सन्त पियर एवं मिकलान एक फ़्रान्सीसी पारसमुद्री क्षेत्र है ।
","३ सन्त पियर और मिकलान एक फ़्रान्सीसी पारसमुद्री क्षेत्र है ।
",,,,R:CONJ,g,a
"Orig: [2, 3, ['की']], Cor: [2, 3, ['क्योंकि']], Type: 'R:OTHER'","Orig: [2, 3, ['की']], Cor: [2, 3, ['क्योंकि']], Type: 'R:OTHER'","यह इसलिए की यह अपेक्षाकृत पुराना नगर है और इसलिए इसका क्षेत्रफल छोटा है जिसमें धनवान उपनगरीय क्षेत्र सम्मिलित नहीं हैं ।
","यह इसलिए क्योंकि यह अपेक्षाकृत पुराना नगर है और इसलिए इसका क्षेत्रफल छोटा है जिसमें धनवान उपनगरीय क्षेत्र सम्मिलित नहीं हैं ।
",,,,R:CONJ,g,a
"Orig: [7, 8, ['या']], Cor: [7, 8, ['अथवा']], Type: 'R:CONJ'","Orig: [7, 8, ['या']], Cor: [7, 8, ['अथवा']], Type: 'R:CONJ'","स्वदेशी का अर्थ है अपने देश का या अपने देश में निर्मित ।
","स्वदेशी का अर्थ है अपने देश का अथवा अपने देश में निर्मित ।
",,,,R:CONJ,g,a
"Orig: [10, 11, ['एवं']], Cor: [10, 11, ['तथा']], Type: 'R:OTHER'","Orig: [10, 11, ['एवं']], Cor: [10, 11, ['तथा']], Type: 'R:PROPN'","वैज्ञानिक एवं औद्योगिक अनुसंधान परिषद भारत का सबसे बड़ा विज्ञान एवं प्रौद्योगिकी अनुसंधान एवं विकास संस्थान है ।
","वैज्ञानिक एवं औद्योगिक अनुसंधान परिषद भारत का सबसे बड़ा विज्ञान तथा प्रौद्योगिकी अनुसंधान एवं विकास संस्थान है ।
",,,,R:CONJ,g,a
"Orig: [12, 13, ['और']], Cor: [12, 13, ['तथा']], Type: 'R:CONJ'","Orig: [12, 13, ['और']], Cor: [12, 13, ['तथा']], Type: 'R:CONJ'","इस युद्ध मे लाखों क्षत्रिय योद्धा मारे गये थे और वैदिक संस्कृति और सभ्यता का प्राय पतन हो गया था ।
","इस युद्ध मे लाखों क्षत्रिय योद्धा मारे गये थे और वैदिक संस्कृति तथा सभ्यता का प्राय पतन हो गया था ।
",,,,R:CONJ,g,a
"Orig: [14, 15, ['और']], Cor: [14, 15, ['एवं']], Type: 'R:CONJ'","Orig: [14, 15, ['और']], Cor: [14, 15, ['एवं']], Type: 'R:CONJ'","विश्व के सभी जनपद कुरुराज्य से कभी युद्ध करने की भुल नहीं करते थे और सोह्रादपूर्ण सम्बंध बनाए रखते थे ।
","विश्व के सभी जनपद कुरुराज्य से कभी युद्ध करने की भुल नहीं करते थे एवं सोह्रादपूर्ण सम्बंध बनाए रखते थे ।
",,,,R:CONJ,g,a
"Orig: [5, 6, ['व']], Cor: [5, 6, ['और']], Type: 'R:CONJ'","Orig: [5, 6, ['व']], Cor: [5, 6, ['और']], Type: 'R:CONJ'","श्री आणि सरस्वती मतलब विद्या व लक्ष्मी हे महादरवाजे को भव्य बुरूज है ।
","श्री आणि सरस्वती मतलब विद्या और लक्ष्मी हे महादरवाजे को भव्य बुरूज है ।
",,,,R:CONJ,g,a
"Orig: [10, 11, ['दिया']], Cor: [10, 11, ['या']], Type: 'R:OTHER'","Orig: [10, 11, ['दिया']], Cor: [10, 11, ['या']], Type: 'R:SPELL'","इसके बाद तत्कालीन मोर्चों को ही धीरे धीरे ठोस बना दिया गया , जिसे अब नियंत्रण रेखा कहा जाता है ।
","इसके बाद तत्कालीन मोर्चों को ही धीरे धीरे ठोस बना या गया , जिसे अब नियंत्रण रेखा कहा जाता है ।
",,,,R:CONJ,g,a
"Orig: [5, 6, ['व']], Cor: [5, 6, ['या']], Type: 'R:CONJ'","Orig: [5, 6, ['व']], Cor: [5, 6, ['या']], Type: 'R:CONJ'","सिर भारी हो जाता है व चक्कर भी आ सकता है ।
","सिर भारी हो जाता है या चक्कर भी आ सकता है ।
",,,,R:CONJ,g,a
"Orig: [10, 11, ['ही']], Cor: [10, 11, ['और']], Type: 'R:OTHER'","Orig: [10, 11, ['ही']], Cor: [10, 11, ['और']], Type: 'R:OTHER'","मेरे पीछे आप लोगों ने विकि को ५४ से ५३ ही ५३ से ५२वें स्थान पर पहुँचाया ।
","मेरे पीछे आप लोगों ने विकि को ५४ से ५३ और ५३ से ५२वें स्थान पर पहुँचाया ।
",,,,R:CONJ,g,a
"Orig: [2, 3, ['और']], Cor: [2, 3, ['तथा']], Type: 'R:CONJ'","Orig: [2, 3, ['और']], Cor: [2, 3, ['तथा']], Type: 'R:CONJ'","उसके बाद और एलिजाबेथ युग से पहले कोई बड़ा कवि नहीं हुआ ।
","उसके बाद तथा एलिजाबेथ युग से पहले कोई बड़ा कवि नहीं हुआ ।
",,,,R:CONJ,g,a
"Orig: [5, 6, ['और']], Cor: [5, 6, ['एवं']], Type: 'R:CONJ'","Orig: [5, 6, ['और']], Cor: [5, 6, ['एवं']], Type: 'R:CONJ'","उनके परिवार में तीन बेटे और दो बेटियाँ हैं ।
","उनके परिवार में तीन बेटे एवं दो बेटियाँ हैं ।
",,,,R:CONJ,g,a
