Proposed Edit InHerrant,Proposed Edit Ankur's Errant,Incorrect Sentence,Correct Sentence,True Label (Multi-Class),"Edit Quality (g,b,a)","Edit Extraction Quality (a,b)",True Label Before (Multi-Class),"Edit Quality Before (g,b,a)","Edit Extraction Quality Before(a,b)"
"Orig: [1, 2, ['ने']], Cor: [1, 1, []], Type: 'U:ADP'","Orig: [1, 2, ['ने']], Cor: [1, 1, []], Type: 'U:PSP'","शीला ने पढ़ती है।
","शीला पढ़ती है।
",,,,U:ADP,g,a
"Orig: [2, 3, ['को']], Cor: [2, 3, ['से']], Type: 'R:ADP'","Orig: [2, 3, ['को']], Cor: [2, 3, ['से']], Type: 'R:ADP'","उसने राम को पूछा।
","उसने राम से पूछा।
",,,,R:ADP,g,a
"Orig: [3, 5, ['पूछा', '।']], Cor: [3, 4, ['पूछा।']], Type: 'R:ORTH'","Orig: [3, 5, ['पूछा', '।']], Cor: [3, 4, ['पूछा।']], Type: 'R:ORTH'","उसने राम को पूछा।
","उसने राम से पूछा।
",,,,,,b
"Orig: [0, 1, ['उसका']], Cor: [0, 1, ['उसके']], Type: 'R:PRON'","Orig: [0, 1, ['उसका']], Cor: [0, 1, ['उसके']], Type: 'R:PRON:INFL'","उसका लड़के का नाम राज है।
","उसके लड़के का नाम राज है।
",,,,R:PRON,g,a
"Orig: [0, 1, ['उसको']], Cor: [0, 1, ['उसके']], Type: 'R:PRON'","Orig: [0, 1, ['उसको']], Cor: [0, 1, ['उसके']], Type: 'R:PRON:INFL'","उसको पेट में दर्द हो रहा है।
","उसके पेट में दर्द हो रहा है।
",,,,R:PRON,a,a
"Orig: [1, 2, ['से']], Cor: [1, 2, ['पर']], Type: 'R:ADP'","Orig: [1, 2, ['से']], Cor: [1, 2, ['पर']], Type: 'R:ADP'","बच्चों से गुस्सा करना व्यर्थ है।
","बच्चों पर गुस्सा करना व्यर्थ है।
",,,,R:ADP,g,a
"Orig: [2, 3, ['से']], Cor: [2, 3, ['में']], Type: 'R:ADP'","Orig: [2, 3, ['से']], Cor: [2, 3, ['में']], Type: 'R:ADP'","वह हँसी से बात टाल गया।
","वह हँसी में बात टाल गया।
",,,,R:ADP,g,a
"Orig: [1, 2, ['को']], Cor: [1, 2, ['से']], Type: 'R:ADP'","Orig: [1, 2, ['को']], Cor: [1, 2, ['से']], Type: 'R:ADP'","दीन-दुर्बलों को प्यार करना मानवता है।
","दीन-दुर्बलों से प्यार करना मानवता है।
",,,,R:ADP,g,a
"Orig: [1, 2, ['को']], Cor: [1, 2, ['के']], Type: 'R:ADP'","Orig: [1, 2, ['को']], Cor: [1, 2, ['के']], Type: 'R:ADP'","दशरथ को चार पुत्र थे।
","दशरथ के चार पुत्र थे।
",,,,R:ADP,g,a
"Orig: [0, 1, ['मेरा']], Cor: [0, 1, ['मेरे']], Type: 'R:PRON'","Orig: [0, 1, ['मेरा']], Cor: [0, 1, ['मेरे']], Type: 'R:PRON:INFL'","मेरा मित्र ने मुझको मदद की।
","मेरे मित्र ने मेरी मदद की।
",,,,R:PRON,g,a
"Orig: [3, 4, ['मुझको']], Cor: [3, 4, ['मेरी']], Type: 'R:PRON'","Orig: [3, 4, ['मुझको']], Cor: [3, 4, ['मेरी']], Type: 'R:PRON:INFL'","मेरा मित्र ने मुझको मदद की।
","मेरे मित्र ने मेरी मदद की।
",,,,R:PRON-GEN,a,a
"Orig: [5, 5, []], Cor: [5, 6, ['उन्होंने']], Type: 'M:PRON'","Orig: [5, 5, []], Cor: [5, 6, ['उन्होंने']], Type: 'M:PRP'","पिता जी घर आए और खाना खाया।
","पिता जी घर आए और उन्होंने खाना खाया।
",,,,M:PRON,g,a
"Orig: [0, 1, ['वे']], Cor: [0, 1, ['उन्होंने']], Type: 'R:PRON-NUM'","Orig: [0, 1, ['वे']], Cor: [0, 1, ['उन्होंने']], Type: 'R:PRON'","वे अभी-अभी खाना खाए हैं।
","उन्होंने अभी-अभी खाना खाया है।
",,,,R:PRON,g,a
"Orig: [3, 4, ['खाए']], Cor: [3, 4, ['खाया']], Type: 'R:VERB-NUM'","Orig: [3, 4, ['खाए']], Cor: [3, 4, ['खाया']], Type: 'R:VERB:INFL'","वे अभी-अभी खाना खाए हैं।
","उन्होंने अभी-अभी खाना खाया है।
",,,,R:VERB-NUM,g,b
"Orig: [4, 5, ['हैं']], Cor: [4, 5, ['है']], Type: 'R:VERB-NUM'","Orig: [4, 5, ['हैं']], Cor: [4, 5, ['है']], Type: 'R:VERB:INFL'","वे अभी-अभी खाना खाए हैं।
","उन्होंने अभी-अभी खाना खाया है।
",,,,R:VERB-NUM,g,a
"Orig: [0, 1, ['मैं']], Cor: [0, 1, ['मैंने']], Type: 'R:PRON'","Orig: [0, 1, ['मैं']], Cor: [0, 1, ['मैंने']], Type: 'R:PRON:INFL'","मैं खाना नहीं खाया हूँ।
","मैंने खाना नहीं खाया है।
",,,,R:PRON,g,a
"Orig: [4, 5, ['हूँ']], Cor: [4, 5, ['है']], Type: 'R:OTHER'","Orig: [4, 5, ['हूँ']], Cor: [4, 5, ['है']], Type: 'R:OTHER'","मैं खाना नहीं खाया हूँ।
","मैंने खाना नहीं खाया है।
",,,,R:VERB-TENSE,g,a
"Orig: [0, 1, ['आपने']], Cor: [0, 1, ['आप']], Type: 'R:PRON'","Orig: [0, 1, ['आपने']], Cor: [0, 1, ['आप']], Type: 'R:PRON:INFL'","आपने मुसकरा दिया।
","आप मुसकरा दिए।
",,,,R:PRON,g,a
"Orig: [2, 3, ['दिया']], Cor: [2, 3, ['दिए']], Type: 'R:VERB'","Orig: [2, 3, ['दिया']], Cor: [2, 3, ['दिए']], Type: 'R:VERB:INFL'","आपने मुसकरा दिया।
","आप मुसकरा दिए।
",,,,R:VERB,g,a
"Orig: [2, 3, ['को']], Cor: [2, 2, []], Type: 'U:ADP'","Orig: [2, 3, ['को']], Cor: [2, 2, []], Type: 'U:PSP'","मैं बाज़ार को जा रहा हूँ।
","मैं बाज़ार जा रहा हूँ।
",,,,U:ADP,g,a
