,Incorrect Sentence,Correct Sentence,Proposed Edits
0,"राधा खाना बना रहा है।
","राधा खाना बना रही है।
","[""Orig: [3, 4, ['रहा']], Cor: [3, 4, ['रही']], Type: 'R:'""]"
1,"उसका पतंग कट गया।
","उसकी पतंग कट गई है।
","[""Orig: [0, 1, ['उसका']], Cor: [0, 1, ['उसकी']], Type: 'R:'"", ""Orig: [3, 4, ['गया']], Cor: [3, 5, ['गई', 'है']], Type: 'R:'""]"
2,"जून और जुलाई आ गया।
","जून और जुलाई आ गई।
","[""Orig: [4, 5, ['गया']], Cor: [4, 5, ['गई']], Type: 'R:'""]"
3,"महादेवी वर्मा वेदना की कवि थीं।
","महादेवी वर्मा वेदना की कवयित्री थीं।
","[""Orig: [4, 5, ['कवि']], Cor: [4, 5, ['कवयित्री']], Type: 'R:'""]"
4,"हमारे वस्तुओं का ध्यान रखना।
","हमारी वस्तुओं का ध्यान रखना।
","[""Orig: [0, 1, ['हमारे']], Cor: [0, 1, ['हमारी']], Type: 'R:'""]"
5,"उमा अपने ससुराल गया है।
","उमा अपने ससुराल गई है।
","[""Orig: [3, 4, ['गया']], Cor: [3, 4, ['गई']], Type: 'R:'""]"
6,"अब मानसून आ जाएगी।
","अब मानसून आ जाएगा।
","[""Orig: [3, 4, ['जाएगी']], Cor: [3, 4, ['जाएगा']], Type: 'R:'""]"
7,"बहुत-सी बातें सीखना पड़ता है।
","बहुत-सी बातें सीखनी पड़ती हैं।
","[""Orig: [2, 3, ['सीखना']], Cor: [2, 3, ['सीखनी']], Type: 'R:'"", ""Orig: [3, 4, ['पड़ता']], Cor: [3, 4, ['पड़ती']], Type: 'R:'"", ""Orig: [4, 5, ['है']], Cor: [4, 5, ['हैं']], Type: 'R:'""]"
8,"इस कार्य में देर लगनी स्वाभाविक है।
","इस कार्य में देर लगना स्वाभाविक है।
","[""Orig: [4, 5, ['लगनी']], Cor: [4, 5, ['लगना']], Type: 'R:'""]"
9,"तुम्हारी सूट अच्छी है।
","तुम्हारा सूट अच्छा है।
","[""Orig: [0, 1, ['तुम्हारी']], Cor: [0, 1, ['तुम्हारा']], Type: 'R:'"", ""Orig: [2, 3, ['अच्छी']], Cor: [2, 3, ['अच्छा']], Type: 'R:'""]"
10,"बुढ़िया को बहुत क्रोध आती है।
","बुढ़िया को बहुत क्रोध आता है।
","[""Orig: [4, 5, ['आती']], Cor: [4, 5, ['आता']], Type: 'R:'""]"
11,"मेरा लक्ष्य विद्यार्जन होगी।
","मेरा लक्ष्य विद्‌यार्जन होगा।
","[""Orig: [2, 3, ['विद्यार्जन']], Cor: [2, 3, ['विद्\\u200cयार्जन']], Type: 'R:'"", ""Orig: [3, 4, ['होगी']], Cor: [3, 4, ['होगा']], Type: 'R:'""]"
12,"अध्यापक ने प्रधानाचार्य से भेंट किया।
","अध्यापक ने प्रधानाचार्य से भेंट की।
","[""Orig: [5, 6, ['किया']], Cor: [5, 6, ['की']], Type: 'R:'""]"
13,"यह महिला बहुत विद्वान है।
","यह महिला बहुत विदुषी है।
","[""Orig: [3, 4, ['विद्वान']], Cor: [3, 4, ['विदुषी']], Type: 'R:'""]"
14,"दादा जी ने कहानी सुनाया।
","दादा जी ने कहानी सुनाई।
","[""Orig: [4, 5, ['सुनाया']], Cor: [4, 5, ['सुनाई']], Type: 'R:'""]"
15,"मैंने अपना कलम राम को दिया है।
","मैंने अपनी कलम राम को दी है।
","[""Orig: [1, 2, ['अपना']], Cor: [1, 2, ['अपनी']], Type: 'R:'"", ""Orig: [5, 6, ['दिया']], Cor: [5, 6, ['दी']], Type: 'R:'""]"
16,"मेरा कमीज फट गया है।
","मेरी कमीज फट गई है।
","[""Orig: [0, 1, ['मेरा']], Cor: [0, 1, ['मेरी']], Type: 'R:'"", ""Orig: [3, 4, ['गया']], Cor: [3, 4, ['गई']], Type: 'R:'""]"
