,Proposed Edit InHerrant,Proposed Edit Ankur's Errant,Incorrect Sentence,Correct Sentence,True Label Before (Multi-Class),True Label (Multi-Class),"Edit Quality (g,b,a)","Edit Extraction Quality (a,b)",InHerrant Annotation Correct,"Edit Quality (g,b,a) Ankur",Ankur Annotation Correct
0,"Orig: [3, 4, ['होता']], Cor: [3, 4, ['होते']], Type: 'R:VERB-NUM'","Orig: [3, 4, 'होता'], Cor: [3, 4, 'होते'], Type: 'R:VERB:INFL'","इसमें पैसे खर्च होता है।
","इसमें पैसे खर्च होते हैं।
",R:VERB-NUM,R:VERB-NUM,g,a,YES,a,YES
1,"Orig: [4, 5, ['है']], Cor: [4, 5, ['हैं']], Type: 'R:SPELL'","Orig: [4, 5, 'है'], Cor: [4, 5, 'हैं'], Type: 'R:VERB:INFL'","इसमें पैसे खर्च होता है।
","इसमें पैसे खर्च होते हैं।
",R:VERB-NUM,R:SPELL,g,a,NO,g,NO
2,"Orig: [4, 5, ['गई']], Cor: [4, 5, ['गया']], Type: 'R:VERB-GEN'","Orig: [4, 5, 'गई।'], Cor: [4, 5, 'गया।'], Type: 'R:SPELL'","लगता है मानसून आ गई।
","लगता है मानसून आ गया।
",R:VERB-GEN,R:VERB-GEN,g,a,YES,g,NO
3,"Orig: [4, 5, ['रही']], Cor: [4, 5, ['रहे']], Type: 'R:VERB-GEN'","Orig: [4, 5, 'रही'], Cor: [4, 5, 'रहे'], Type: 'R:VERB:INFL'","लड़के और लड़कियाँ पढ़ रही हैं।
","लड़के और लड़कियाँ पढ़ रहे हैं।
",R:VERB-GEN,R:VERB-GEN,g,a,YES,a,YES
4,"Orig: [2, 3, ['आँख']], Cor: [2, 3, ['आँखों']], Type: 'R:NOUN-NUM'","Orig: [2, 3, 'आँख'], Cor: [2, 3, 'आँखों'], Type: 'R:NOUN:INFL'","सीता की आँख से आँसू बह रहा है।
","सीता की आँखों से आँसू बह रहे हैं।
",R:NOUN-NUM,R:NOUN-NUM,g,a,YES,a,YES
5,"Orig: [6, 7, ['रहा']], Cor: [6, 7, ['रहे']], Type: 'R:VERB-NUM'","Orig: [6, 7, 'रहा'], Cor: [6, 7, 'रहे'], Type: 'R:VERB:INFL'","सीता की आँख से आँसू बह रहा है।
","सीता की आँखों से आँसू बह रहे हैं।
",R:VERB-NUM,R:VERB-NUM,g,a,YES,a,YES
6,"Orig: [7, 8, ['है']], Cor: [7, 8, ['हैं']], Type: 'R:SPELL'","Orig: [7, 8, 'है'], Cor: [7, 8, 'हैं'], Type: 'R:VERB:INFL'","सीता की आँख से आँसू बह रहा है।
","सीता की आँखों से आँसू बह रहे हैं।
",R:VERB-NUM,R:SPELL,g,a,NO,g,NO
7,"Orig: [0, 1, ['अनेकों']], Cor: [0, 1, ['अनेक']], Type: 'R:DET'","Orig: [0, 1, 'अनेकों'], Cor: [0, 1, 'अनेक'], Type: 'R:SPELL'","अनेकों स्त्री-पुरुष वहाँ आए थे।
","अनेक स्त्री-पुरुष वहाँ आए थे।
",R:ADJ-NUM,R:DET,a,a,NO,a,NO
8,"Orig: [2, 3, ['जोड़ा']], Cor: [2, 3, ['जोड़े']], Type: 'R:SPELL'","Orig: [2, 3, 'जोड़ा।'], Cor: [2, 3, 'जोड़े।'], Type: 'R:SPELL'","उन्होंने हाथ जोड़ा।
","उन्होंने हाथ जोड़े।
",R:VERB-NUM,R:SPELL,g,a,NO,g,NO
9,"Orig: [3, 4, ['आएँगे']], Cor: [3, 4, ['आएगा']], Type: 'R:VERB-NUM'","Orig: [3, 4, 'आएँगे'], Cor: [3, 4, 'आएगा'], Type: 'R:SPELL'","हर एक आदमी आएँगे।
","हर एक आदमी आएगा।
",R:VERB-NUM,R:VERB-NUM,g,a,YES,g,NO
