,Proposed Edit InHerrant,Proposed Edit Ankur's Errant,Incorrect Sentence,Correct Sentence,True Label Before (Multi-Class),True Label (Multi-Class),"Edit Quality (g,b,a)","Edit Extraction Quality (a,b)",InHerrant Annotation Correct,"Edit Quality (g,b,a) Ankur",Ankur Annotation Correct
0,"Orig: [3, 4, ['आती']], Cor: [3, 4, ['आता']], Type: 'R:VERB-GEN'","Orig: [3, 4, 'आती'], Cor: [3, 4, 'आता'], Type: 'R:VERB:INFL'","मुझे बहुत गुस्सा आती है।
","मुझे बहुत गुस्सा आता है।
",R:VERB-GEN,R:VERB-GEN,g,a,YES,a,YES
1,"Orig: [7, 8, ['उठा।']], Cor: [7, 8, ['उठी।']], Type: 'R:SPELL'","Orig: [7, 8, 'उठा।'], Cor: [7, 8, 'उठी।'], Type: 'R:SPELL'","बिजली का बटन दबाते ही बत्ती जल उठा।
","बिजली का बटन दबाते ही बत्ती जल उठी।
",,R:SPELL,,,NO,,NO
2,"Orig: [3, 4, ['आई']], Cor: [3, 4, ['आए']], Type: 'R:VERB-GEN'","Orig: [3, 4, 'आई।'], Cor: [3, 4, 'आए।'], Type: 'R:SPELL'","सीता और राम आई।
","सीता और राम आए।
",R:VERB-GEN,R:VERB-GEN,g,a,YES,g,NO
3,"Orig: [5, 6, ['बोली']], Cor: [5, 6, ['बोला']], Type: 'R:VERB-GEN'","Orig: [5, 6, 'बोली'], Cor: [5, 6, 'बोला'], Type: 'R:MORPH'","राधा ने मोहन से झूठ बोली थी।
","राधा ने मोहन से झूठ बोला था।
",R:VERB-GEN,R:VERB-GEN,g,a,YES,g,NO
4,"Orig: [6, 7, ['थी']], Cor: [6, 7, ['था']], Type: 'R:VERB-GEN'","Orig: [6, 7, 'थी'], Cor: [6, 7, 'था'], Type: 'R:VERB'","राधा ने मोहन से झूठ बोली थी।
","राधा ने मोहन से झूठ बोला था।
",R:VERB-GEN,R:VERB-GEN,a,a,NO,a,NO
5,"Orig: [4, 5, ['दिखाई']], Cor: [4, 5, ['दिखाया']], Type: 'R:VERB-GEN'","Orig: [4, 5, 'दिखाई'], Cor: [4, 5, 'दिखाया'], Type: 'R:VERB:INFL'","राजू ने मुझे मथुरा दिखाई।
","राजू ने मुझे मथुरा दिखाया।
",R:VERB-GEN,R:VERB-GEN,g,a,YES,a,YES
6,"Orig: [4, 5, ['बोला']], Cor: [4, 5, ['बोली']], Type: 'R:MORPH'","Orig: [4, 5, 'बोला।'], Cor: [4, 5, 'बोली।'], Type: 'R:SPELL'","रानी मधुर स्वर में बोला।
","रानी मधुर स्वर में बोली।
",R:VERB-GEN,R:MORPH,g,a,YES,b,NO
7,"Orig: [2, 3, ['अच्छा']], Cor: [2, 3, ['अच्छी']], Type: 'R:ADJ-GEN'","Orig: [2, 3, 'अच्छा'], Cor: [2, 3, 'अच्छी'], Type: 'R:ADJ:INFL'","वसंत ऋतु अच्छा लगता है।
","वसंत ऋतु अच्छी लगती है।
",R:ADJ-GEN,R:ADJ-GEN,g,a,YES,a,YES
8,"Orig: [3, 4, ['लगता']], Cor: [3, 4, ['लगती']], Type: 'R:VERB-GEN'","Orig: [3, 4, 'लगता'], Cor: [3, 4, 'लगती'], Type: 'R:VERB:INFL'","वसंत ऋतु अच्छा लगता है।
","वसंत ऋतु अच्छी लगती है।
",R:VERB-GEN,R:VERB-GEN,g,a,YES,a,YES
9,"Orig: [7, 8, ['खुला']], Cor: [7, 8, ['खुली']], Type: 'R:VERB-GEN'","Orig: [7, 8, 'खुला।'], Cor: [7, 8, 'खुली।'], Type: 'R:SPELL'","आज बाज़ार में एक भी दुकान नहीं खुला।
","आज बाज़ार में एक भी दुकान नहीं खुली।
",R:VERB-GEN,R:VERB-GEN,g,a,YES,g,NO
10,"Orig: [0, 1, ['उसका']], Cor: [0, 1, ['उसकी']], Type: 'R:PRON-GEN'","Orig: [0, 1, 'उसका'], Cor: [0, 1, 'उसकी'], Type: 'R:PRON:INFL'","उसका संतान अच्छा है।
","उसकी संतान अच्छी है।
",R:PRON-GEN,R:PRON-GEN,g,a,YES,a,YES
11,"Orig: [2, 3, ['अच्छा']], Cor: [2, 3, ['अच्छी']], Type: 'R:ADJ-GEN'","Orig: [2, 3, 'अच्छा'], Cor: [2, 3, 'अच्छी'], Type: 'R:ADJ:INFL'","उसका संतान अच्छा है।
","उसकी संतान अच्छी है।
",R:ADJ-GEN,R:ADJ-GEN,g,a,YES,a,YES
