,Proposed Edit InHerrant,Proposed Edit Ankur's Errant,Incorrect Sentence,Correct Sentence,True Label Before (Multi-Class),True Label (Multi-Class),"Edit Quality (g,b,a)","Edit Extraction Quality (a,b)",InHerrant Annotation Correct,"Edit Quality (g,b,a) Ankur",Ankur Annotation Correct
0,"Orig: [6, 7, ['व्यायाम']], Cor: [6, 7, ['अभ्यास']], Type: 'R:NOUN'","Orig: [6, 7, 'व्यायाम'], Cor: [6, 7, 'अभ्यास'], Type: 'R:NOUN'","राम आजकल शुद्ध भाषा लिखने का व्यायाम कर रहा है।
","राम आजकल शुद्ध भाषा लिखने का अभ्यास कर रहा है।
",R:NOUN,R:NOUN,g,a,YES,g,NO
1,"Orig: [4, 5, ['घोर']], Cor: [4, 5, ['घनिष्ठ']], Type: 'R:ADJ'","Orig: [4, 5, 'घोर'], Cor: [4, 5, 'घनिष्ठ'], Type: 'R:ADJ'","जीवन और साहित्य का घोर संबंध है।
","जीवन और साहित्य का घनिष्ठ संबंध है।
",R:ADJ,R:ADJ,g,a,YES,g,NO
2,"Orig: [5, 6, ['अज्ञान']], Cor: [5, 6, ['अज्ञानता']], Type: 'R:NOUN-GEN'","Orig: [5, 6, 'अज्ञान'], Cor: [5, 6, 'अज्ञानता'], Type: 'R:PROPN'","सामाजिक कुरीतियों का एकमात्र कारण अज्ञान है।
","सामाजिक कुरीतियों का एकमात्र कारण अज्ञानता है।
",R:NOUN,R:NOUN-GEN,g,a,NO,g,NO
3,"Orig: [0, 1, ['निरपराधी']], Cor: [0, 1, ['निरपराध']], Type: 'R:SPELL'","Orig: [0, 1, 'निरपराधी'], Cor: [0, 1, 'निरपराध'], Type: 'R:MORPH'","निरपराधी को दंड देना अनुचित है।
","निरपराध को दंड देना अनुचित है।
",R:NOUN,R:SPELL,a,a,NO,a,NO
4,"Orig: [5, 6, ['प्रदान']], Cor: [5, 6, ['अर्पित']], Type: 'R:OTHER'","Orig: [5, 6, 'प्रदान'], Cor: [5, 6, 'अर्पित'], Type: 'R:OTHER'","विद्यार्थियों ने प्रधानाध्यापक को अभिनंदन-पत्र प्रदान किया।
","विद्यार्थियों ने प्रधानाध्यापक को अभिनंदन-पत्र अर्पित किया।
",R:VERB,R:OTHER,b,a,NO,b,NO
5,"Orig: [4, 5, ['की']], Cor: [4, 5, ['का']], Type: 'R:ADP-INFL'","Orig: [4, 5, 'की'], Cor: [4, 5, 'का'], Type: 'R:ADP:INFL'","गुलाम अली खाँ गाने की कसरत कर रहे हैं।
","गुलाम अली खाँ गाने का अभ्यास कर रहे हैं।
",R:ADP,R:ADP-INFL,g,a,NO,g,YES
6,"Orig: [5, 6, ['कसरत']], Cor: [5, 6, ['अभ्यास']], Type: 'R:NOUN'","Orig: [5, 6, 'कसरत'], Cor: [5, 6, 'अभ्यास'], Type: 'R:NOUN'","गुलाम अली खाँ गाने की कसरत कर रहे हैं।
","गुलाम अली खाँ गाने का अभ्यास कर रहे हैं।
",R:NOUN,R:NOUN,g,a,YES,g,NO
7,"Orig: [5, 6, ['आभास']], Cor: [5, 6, ['अनुभव']], Type: 'R:NOUN'","Orig: [5, 6, 'आभास'], Cor: [5, 6, 'अनुभव'], Type: 'R:NOUN'","कविता पढ़कर उसे आनंद का आभास हुआ।
","कविता पढ़कर उसे आनंद का अनुभव हुआ।
",R:NOUN,R:NOUN,g,a,YES,g,NO
8,"Orig: [1, 2, ['जान']], Cor: [1, 2, ['अनजाने']], Type: 'R:SPELL'","Orig: [1, 2, 'जान'], Cor: [1, 2, 'अनजाने'], Type: 'R:NOUN'","मैं जान बूझकर गलती कर बैठा।
","मैं अनजाने में गलती कर बैठा।
",R:OTHER,R:SPELL,b,b,NO,b,NO
9,"Orig: [2, 3, ['बूझकर']], Cor: [2, 3, ['में']], Type: 'R:OTHER'","Orig: [2, 3, 'बूझकर'], Cor: [2, 3, 'में'], Type: 'R:OTHER'","मैं जान बूझकर गलती कर बैठा।
","मैं अनजाने में गलती कर बैठा।
",R:ADP,R:OTHER,g,b,NO,g,NO
10,"Orig: [4, 5, ['रेत']], Cor: [4, 5, ['मिट्टी']], Type: 'R:NOUN'","Orig: [4, 5, 'रेत'], Cor: [4, 5, 'मिट्टी'], Type: 'R:NOUN'","नदियाँ अपने साथ उपजाऊ रेत लाती हैं।
","नदियाँ अपने साथ उपजाऊ मिट्टी लाती हैं।
",R:NOUN,R:NOUN,g,a,YES,g,NO
11,"Orig: [2, 3, ['इतिहासिक']], Cor: [2, 3, ['ऐतिहासिक']], Type: 'R:SPELL'","Orig: [2, 3, 'इतिहासिक'], Cor: [2, 3, 'ऐतिहासिक'], Type: 'R:SPELL'","यह एक इतिहासिक घटना है।
","यह एक ऐतिहासिक घटना है।
",R:ADJ,R:SPELL,g,a,NO,g,NO
12,"Orig: [5, 6, ['कड़ियाँ']], Cor: [5, 6, ['लड़ियाँ']], Type: 'R:SPELL'","Orig: [5, 6, 'कड़ियाँ'], Cor: [5, 6, 'लड़ियाँ'], Type: 'R:SPELL'","उनके गले में मोती की कड़ियाँ हैं।
","उनके गले में मोती की लड़ियाँ हैं।
",R:NOUN,R:SPELL,a,a,NO,a,NO
13,"Orig: [4, 5, ['हथकड़ियाँ']], Cor: [4, 5, ['बेड़ियाँ']], Type: 'R:SPELL'","Orig: [4, 5, 'हथकड़ियाँ'], Cor: [4, 5, 'बेड़ियाँ'], Type: 'R:SPELL'","डाकू के पैरों में हथकड़ियाँ हैं।
","डाकू के पैरों में बेड़ियाँ हैं।
",R:NOUN,R:SPELL,g,a,NO,g,NO
