,Proposed Edit InHerrant,Proposed Edit Ankur's Errant,Incorrect Sentence,Correct Sentence,True Label (Multi-Class),"Edit Quality (g,b,a)","Edit Extraction Quality (a,b)",True Label Before (Multi-Class),InHerrant Annotation Correct,"Edit Quality (g,b,a) Ankur",Ankur Annotation Correct
0,"Orig: [4, 5, ['गया']], Cor: [4, 5, ['गए']], Type: 'R:VERB-NUM'","Orig: [4, 5, ['गया']], Cor: [4, 5, ['गए']], Type: 'R:VERB:INFL'","उन्हें दो रन मिल गया।
","उन्हें दो रन मिल गए।
",R:VERB-NUM,g,a,R:VERB-NUM,YES,a,YES
1,"Orig: [3, 4, ['होता']], Cor: [3, 4, ['होते']], Type: 'R:VERB-NUM'","Orig: [3, 4, ['होता']], Cor: [3, 4, ['होते']], Type: 'R:VERB:INFL'","इसमें पैसे खर्च होता है।
","इसमें पैसे खर्च होते हैं।
",R:VERB-NUM,g,a,R:VERB-NUM,YES,a,YES
2,"Orig: [4, 5, ['है']], Cor: [4, 5, ['हैं']], Type: 'R:VERB-NUM'","Orig: [4, 5, ['है']], Cor: [4, 5, ['हैं']], Type: 'R:VERB:INFL'","इसमें पैसे खर्च होता है।
","इसमें पैसे खर्च होते हैं।
",R:VERB-NUM,g,a,R:VERB-NUM,YES,a,YES
3,"Orig: [4, 5, ['गई']], Cor: [4, 5, ['गया']], Type: 'R:VERB-GEN'","Orig: [4, 5, ['गई']], Cor: [4, 5, ['गया']], Type: 'R:VERB:INFL'","लगता है मानसून आ गई।
","लगता है मानसून आ गया।
",R:VERB-GEN,g,a,R:VERB-GEN,YES,a,YES
4,"Orig: [4, 5, ['रही']], Cor: [4, 5, ['रहे']], Type: 'R:VERB-GEN'","Orig: [4, 5, ['रही']], Cor: [4, 5, ['रहे']], Type: 'R:VERB:INFL'","लड़के और लड़कियाँ पढ़ रही हैं।
","लड़के और लड़कियाँ पढ़ रहे हैं।
",R:VERB-GEN,g,a,R:VERB-GEN,YES,a,YES
5,"Orig: [4, 5, ['आँख']], Cor: [4, 5, ['आँखें']], Type: 'R:NOUN-NUM'","Orig: [4, 5, ['आँख']], Cor: [4, 5, ['आँखें']], Type: 'R:NOUN:INFL'","रामचरितमानस पढ़कर पाठक की आँख खुल गई।
","रामचरितमानस पढ़कर पाठक की आँखें खुल गईं।
",R:NOUN-NUM,g,a,R:NOUN-NUM,YES,a,YES
6,"Orig: [6, 7, ['गई']], Cor: [6, 7, ['गईं']], Type: 'R:VERB-NUM'","Orig: [6, 7, ['गई']], Cor: [6, 7, ['गईं']], Type: 'R:VERB:INFL'","रामचरितमानस पढ़कर पाठक की आँख खुल गई।
","रामचरितमानस पढ़कर पाठक की आँखें खुल गईं।
",R:VERB-NUM,g,a,R:VERB-NUM,YES,a,YES
7,"Orig: [2, 3, ['आँख']], Cor: [2, 3, ['आँखों']], Type: 'R:NOUN-NUM'","Orig: [2, 3, ['आँख']], Cor: [2, 3, ['आँखों']], Type: 'R:NOUN:INFL'","सीता की आँख से आँसू बह रहा है।
","सीता की आँखों से आँसू बह रहे हैं।
",R:NOUN-NUM,g,a,R:NOUN-NUM,YES,a,YES
8,"Orig: [6, 7, ['रहा']], Cor: [6, 7, ['रहे']], Type: 'R:VERB-NUM'","Orig: [6, 7, ['रहा']], Cor: [6, 7, ['रहे']], Type: 'R:VERB:INFL'","सीता की आँख से आँसू बह रहा है।
","सीता की आँखों से आँसू बह रहे हैं।
",R:VERB-NUM,g,a,R:VERB-NUM,YES,a,YES
9,"Orig: [7, 8, ['है']], Cor: [7, 8, ['हैं']], Type: 'R:VERB-NUM'","Orig: [7, 8, ['है']], Cor: [7, 8, ['हैं']], Type: 'R:VERB:INFL'","सीता की आँख से आँसू बह रहा है।
","सीता की आँखों से आँसू बह रहे हैं।
",R:VERB-NUM,g,a,R:VERB-NUM,YES,a,YES
