Proposed Edit,Incorrect Sentence,Correct Sentence,True Label (Multi-Class),"Edit Quality (g,b,a)","Edit Extraction Quality (a,b)"
"Orig: [5, 6, ['????']], Cor: [5, 6, ['????']], Type: 'R:VERB-GEN'","????? ?????? ??? ?? ?????? ???? ??????
","????? ?????? ??? ?? ?????? ???? ??????
",R:VERB-GEN,g,a
"Orig: [1, 2, ['??']], Cor: [1, 2, ['????']], Type: 'R:PRON'","????? ?? ??? ??? ????
","????? ???? ??? ???? ?? ?
",R:PRON,g,a
"Orig: [3, 4, ['???']], Cor: [3, 4, ['????']], Type: 'R:VERB:TENSE'","????? ?? ??? ??? ????
","????? ???? ??? ???? ?? ?
",R:VERB-NUM,b,a
"Orig: [4, 5, ['???']], Cor: [4, 5, ['??']], Type: 'R:VERB:TENSE'","????? ?? ??? ??? ????
","????? ???? ??? ???? ?? ?
",R:VERB-NUM,b,a
"Orig: [3, 4, ['?????']], Cor: [3, 4, ['??????']], Type: 'R:SPELL'","????? ?? ? ??????
","????? ?? ? ?????? ?
",R:VERB-NUM,a,a
"Orig: [1, 1, []], Cor: [1, 2, ['??']], Type: 'M:ADP'","???????????? ??????? ?? ??????? 
","???????????? ?? ??????? ?? ???????
",M:ADP,g,a
"Orig: [3, 4, ['??????']], Cor: [4, 5, ['??????']], Type: 'R:SPELL'","???????????? ??????? ?? ??????? 
","???????????? ?? ??????? ?? ???????
",R:VERB-NUM,a,a
"Orig: [0, 0, []], Cor: [0, 1, ['?????']], Type: 'M:PRON'","??? ??, ???? ?? ?? ???? ?? ?? ????? ???-??? ???? ?????
","????? ???, ???? ?? ???? ?? ?? ???-??? ???? ???
",M:PRON,g,a
"Orig: [1, 2, ['??']], Cor: [2, 2, []], Type: 'U:ADP'","??? ??, ???? ?? ?? ???? ?? ?? ????? ???-??? ???? ?????
","????? ???, ???? ?? ???? ?? ?? ???-??? ???? ???
",U:ADP,g,a
"Orig: [4, 5, ['??']], Cor: [4, 4, []], Type: 'U:ADP'","??? ??, ???? ?? ?? ???? ?? ?? ????? ???-??? ???? ?????
","????? ???, ???? ?? ???? ?? ?? ???-??? ???? ???
",U:ADP,g,a
"Orig: [9, 10, ['?????']], Cor: [8, 8, []], Type: 'U:PRON'","??? ??, ???? ?? ?? ???? ?? ?? ????? ???-??? ???? ?????
","????? ???, ???? ?? ???? ?? ?? ???-??? ???? ???
",U:PRON,g,a
"Orig: [12, 13, ['?????']], Cor: [10, 12, ['??', '?']], Type: 'R:OTHER'","??? ??, ???? ?? ?? ???? ?? ?? ????? ???-??? ???? ?????
","????? ???, ???? ?? ???? ?? ?? ???-??? ???? ???
",R:VERB,b,b
"Orig: [7, 8, ['????']], Cor: [7, 8, ['????']], Type: 'R:VERB-GEN'","???? ?? ?? ?? ????? ?? ????? ???? ???
","???? ?? ?? ?? ????? ?? ????? ???? ???
",R:VERB-GEN,g,a
"Orig: [8, 9, ['??']], Cor: [8, 9, ['??']], Type: 'R:VERB-GEN'","???? ?? ?? ?? ????? ?? ????? ???? ???
","???? ?? ?? ?? ????? ?? ????? ???? ???
",R:VERB-GEN,g,a
"Orig: [2, 3, ['?????']], Cor: [2, 3, ['?????']], Type: 'R:PRON'","????? ??????-??????? ????? ?????? ???? ????????
","????? ??????-??????? ????? ?????? ???? ??????
",R:PRON-NUM,g,a
"Orig: [4, 5, ['????']], Cor: [4, 5, ['????']], Type: 'R:VERB'","????? ??????-??????? ????? ?????? ???? ????????
","????? ??????-??????? ????? ?????? ???? ??????
",R:VERB-NUM,a,a
"Orig: [5, 6, ['???????']], Cor: [5, 6, ['?????']], Type: 'R:VERB:TENSE'","????? ??????-??????? ????? ?????? ???? ????????
","????? ??????-??????? ????? ?????? ???? ??????
",R:SPELL,b,a
"Orig: [1, 2, ['???']], Cor: [1, 2, ['???']], Type: 'R:VERB-GEN'","???-????? ??? ???? 
","???-????? ??? ????
",R:VEERB-GEN,g,a
"Orig: [0, 1, ['????']], Cor: [0, 1, ['????']], Type: 'R:PRON'","???? ????? ?????? ???? ???
","???? ????? ?????? ???? ????
",R:PRON-NUM,a,a
"Orig: [3, 4, ['????']], Cor: [3, 4, ['????']], Type: 'R:VERB-NUM'","???? ????? ?????? ???? ???
","???? ????? ?????? ???? ????
",R:VERB-NUM,g,a
"Orig: [4, 5, ['??']], Cor: [4, 5, ['???']], Type: 'R:VERB-NUM'","???? ????? ?????? ???? ???
","???? ????? ?????? ???? ????
",R:VERB-NUM,g,a
"Orig: [5, 6, ['????']], Cor: [5, 6, ['????']], Type: 'R:VERB-GEN'","????? ?? ?? ???? ????? ?????
","????? ?? ?? ???? ????? ?????
",R:VERB-GEN,g,a
"Orig: [3, 3, []], Cor: [3, 4, ['???']], Type: 'M:VERB:TENSE'","??? ?? ???? ????? ?????? ?? ????? ??? ?? ???? ? ????
","??? ?? ???? ??? ????? ?????? ?? ????? ??? ?? ???? ? ????
",M:VERB,a,a
"Orig: [11, 12, ['???']], Cor: [12, 13, ['???']], Type: 'R:VERB-NUM'","??? ?? ???? ????? ?????? ?? ????? ??? ?? ???? ? ????
","??? ?? ???? ??? ????? ?????? ?? ????? ??? ?? ???? ? ????
",,,
"Orig: [0, 0, []], Cor: [0, 1, ['???']], Type: 'M:NOUN'","??????? ?? ????? ??? ????? ??????  
","??? ??????? ?? ??? ????? ??????
",,,
"Orig: [2, 3, ['?????']], Cor: [3, 3, []], Type: 'U:NOUN'","??????? ?? ????? ??? ????? ??????  
","??? ??????? ?? ??? ????? ??????
",,,
"Orig: [0, 2, ['????', '????']], Cor: [0, 2, ['????', '????']], Type: 'R:WO'","???? ???? ??? ???????? ??? ????
","???? ???? ??? ???????? ??? ????
",,,
"Orig: [2, 3, ['???']], Cor: [2, 3, ['???']], Type: 'R:SPELL'","???? ???? ??? ???????? ??? ????
","???? ???? ??? ???????? ??? ????
",,,
"Orig: [0, 4, ['???', '??', '?????', '????']], Cor: [0, 4, ['????', '?????', '???', '??']], Type: 'R:WO'","??? ?? ????? ???? ??????
","???? ????? ??? ?? ??????
",,,
"Orig: [0, 1, ['?????']], Cor: [0, 0, []], Type: 'U:PRON'","????? ??? ???-??? ????? ??? ????????? ?? ??? ??? ?? ???????
","???-??? ????? ??? ????? ??? ????????? ?? ??? ??? ?? ???????
",,,
"Orig: [1, 3, ['???', '???-???']], Cor: [0, 1, ['???-???']], Type: 'R:NOUN'","????? ??? ???-??? ????? ??? ????????? ?? ??? ??? ?? ???????
","???-??? ????? ??? ????? ??? ????????? ?? ??? ??? ?? ???????
",,,
"Orig: [5, 5, []], Cor: [3, 5, ['?????', '???']], Type: 'M:OTHER'","????? ??? ???-??? ????? ??? ????????? ?? ??? ??? ?? ???????
","???-??? ????? ??? ????? ??? ????????? ?? ??? ??? ?? ???????
",,,
"Orig: [10, 11, ['??????']], Cor: [10, 11, ['??????']], Type: 'R:VERB:TENSE'","????? ??? ???-??? ????? ??? ????????? ?? ??? ??? ?? ???????
","???-??? ????? ??? ????? ??? ????????? ?? ??? ??? ?? ???????
",,,
"Orig: [0, 3, ['??', '?????', '??']], Cor: [0, 3, ['?????', '??', '??']], Type: 'R:WO'","?? ????? ?? ???? ?? ????
","????? ?? ?? ???? ?? ????
",,,
"Orig: [0, 2, ['????????', '??']], Cor: [0, 2, ['??', '????????']], Type: 'R:WO'","???????? ?? ????? ??? ?
","?? ???????? ????? ??? ?
",,,
"Orig: [1, 2, ['?????']], Cor: [1, 2, ['??']], Type: 'R:ADP'","???? ????? ?? ??????? ?? ?????? ?? ????
","???? ?? ??? ??????? ?? ?? ?????? ?? ????
",,,
"Orig: [2, 3, ['??']], Cor: [2, 3, ['???']], Type: 'R:ADP'","???? ????? ?? ??????? ?? ?????? ?? ????
","???? ?? ??? ??????? ?? ?? ?????? ?? ????
",,,
"Orig: [5, 5, []], Cor: [5, 6, ['??']], Type: 'M:ADJ'","???? ????? ?? ??????? ?? ?????? ?? ????
","???? ?? ??? ??????? ?? ?? ?????? ?? ????
",,,
"Orig: [4, 7, ['??', '?????', '??']], Cor: [4, 7, ['?????', '??', '??']], Type: 'R:WO'","???? ???? ??? ??? ?? ????? ?? ???? ??? ???
","???? ???? ??? ??? ????? ?? ?? ???? ??? ???
",,,
"Orig: [0, 3, ['???', '????', '??']], Cor: [0, 3, ['????', '??', '???']], Type: 'R:WO'","??? ???? ?? ???? ?? ???? ????? ???
","???? ?? ??? ???? ?? ???? ????? ???
",,,
"Orig: [2, 2, []], Cor: [2, 3, [""'""]], Type: 'M:PUNCT'","???????? ????????? ???? ?????? ?? ?? ????
","???????? ????????? '???? ??????' ?? ?? ??? ????
",,,
"Orig: [4, 4, []], Cor: [5, 6, [""'""]], Type: 'M:PUNCT'","???????? ????????? ???? ?????? ?? ?? ????
","???????? ????????? '???? ??????' ?? ?? ??? ????
",,,
"Orig: [6, 6, []], Cor: [8, 9, ['???']], Type: 'M:VERB:TENSE'","???????? ????????? ???? ?????? ?? ?? ????
","???????? ????????? '???? ??????' ?? ?? ??? ????
",,,
"Orig: [12, 12, []], Cor: [12, 13, ['???']], Type: 'M:VERB:TENSE'","?????? ?? ???? ?? ???????? ?????? ?? ?? ????? ??? ?????? ???? ???
","?????? ?? ???? ?? ???????? ?????? ?? ?? ????? ??? ?????? ???? ??? ???
",,,
"Orig: [3, 4, ['?????']], Cor: [3, 4, ['????']], Type: 'R:VERB'","??????? ?? ??????? ????? ???
","??????? ?? ??????? ???? ???
",,,
"Orig: [1, 2, ['??']], Cor: [1, 2, ['??????']], Type: 'R:ADP'","????? ?? ?????? ?? ???? ?????
","????? ?????? ?????? ?? ???? ???? ????
",,,
"Orig: [6, 6, []], Cor: [6, 7, ['???']], Type: 'M:VERB:TENSE'","????? ?? ?????? ?? ???? ?????
","????? ?????? ?????? ?? ???? ???? ????
",,,
"Orig: [4, 5, ['??????']], Cor: [4, 5, ['???????']], Type: 'R:SPELL'","??????? ?? ???? ??? ???????
","??????? ?? ???? ??? ????????
",,,
"Orig: [1, 2, ['??']], Cor: [1, 2, ['??????']], Type: 'R:ADP'","?????? ?? ???? ???? ????
","?????? ?????? ???? ???? ????
",,,
"Orig: [0, 1, ['???']], Cor: [0, 1, ['?????']], Type: 'R:PRON'","??? ????? ???? ????
","????? ????? ???? ????
",,,
"Orig: [1, 2, ['??']], Cor: [1, 2, ['??????']], Type: 'R:ADP'","??????? ?? ??? ??? ?? ?? ??? ????? ???????? ? ????
","??????? ?????? ??? ??? ?? ?? ??? ????? ???????? ? ??????
",,,
"Orig: [10, 11, ['????']], Cor: [10, 12, ['?????', '?']], Type: 'R:OTHER'","??????? ?? ??? ??? ?? ?? ??? ????? ???????? ? ????
","??????? ?????? ??? ??? ?? ?? ??? ????? ???????? ? ??????
",,,
"Orig: [1, 2, ['??']], Cor: [1, 1, []], Type: 'U:ADP'","????? ?? ?? ??? ?? ?????
","????? ?? ??? ?? ?? ????
",,,
"Orig: [5, 6, ['????']], Cor: [4, 6, ['??', '???']], Type: 'R:OTHER'","????? ?? ?? ??? ?? ?????
","????? ?? ??? ?? ?? ????
",,,
"Orig: [8, 9, ['??']], Cor: [8, 9, ['???']], Type: 'R:VERB:TENSE'","?????????? ???? ?? ??? ????? ??? ?????? ???? ???
","?????????? ???? ?? ??? ????? ??? ?????? ???? ???? ???
",,,
"Orig: [9, 10, ['?']], Cor: [9, 10, ['?']], Type: 'R:PUNCT'","?????????? ???? ?? ??? ????? ??? ?????? ???? ???
","?????????? ???? ?? ??? ????? ??? ?????? ???? ???? ???
",,,
"Orig: [4, 5, ['??????']], Cor: [4, 5, ['???????']], Type: 'R:NOUN'","???? ?? ???? ?? ?????? ?? ??? ????? ??? ???????? ???? ??? 
","???? ?? ???? ?? ??????? ?? ??? ????? ??? ?????? ???? ??? ???
",,,
