,Proposed Edit,Incorrect Sentence,Correct Sentence
0,"Orig: [5, 6, ['होना']], Cor: [5, 6, ['होनी']], Type: 'R:VERB-GEN'","हमारा लक्ष्य समाज की प्रगति होना चाहिए।
","हमारा लक्ष्य समाज की प्रगति होनी चाहिए।
"
1,"Orig: [4, 5, ['सकोगे']], Cor: [4, 5, ['सकेंगे']], Type: 'R:SPELL'","क्या आप जयपुर जा सकोगे?
","क्या आप जयपुर जा सकेंगे?
"
2,"Orig: [4, 5, ['बुलाये']], Cor: [4, 5, ['बुलाया']], Type: 'R:SPELL'","पिताजी ने नौकर को बुलाये।
","पिताजी ने नौकर को बुलाया।
"
3,"Orig: [0, 0, []], Cor: [0, 1, ['मैंने']], Type: 'M:PRON'","सीता को, रीता को और अंशु को कल मैंने साथ-साथ देखा था।
","मैंने सीता, रीता और अंशु को कल साथ-साथ देखा था।
"
4,"Orig: [1, 2, ['को']], Cor: [2, 2, []], Type: 'U:ADP'","सीता को, रीता को और अंशु को कल मैंने साथ-साथ देखा था।
","मैंने सीता, रीता और अंशु को कल साथ-साथ देखा था।
"
5,"Orig: [4, 5, ['को']], Cor: [4, 4, []], Type: 'U:ADP'","सीता को, रीता को और अंशु को कल मैंने साथ-साथ देखा था।
","मैंने सीता, रीता और अंशु को कल साथ-साथ देखा था।
"
6,"Orig: [9, 10, ['मैंने']], Cor: [8, 8, []], Type: 'U:PRON'","सीता को, रीता को और अंशु को कल मैंने साथ-साथ देखा था।
","मैंने सीता, रीता और अंशु को कल साथ-साथ देखा था।
"
7,"Orig: [8, 9, ['आपको']], Cor: [8, 9, ['तुम्हें']], Type: 'R:PRON'","तुम मेरे मित्र के भाई हो, मैं आपको भली-भाँति जानता हूँ।
","तुम मेरे मित्र के भाई हो, मैं तुम्हें भली-भाँति जानता हूँ।
"
8,"Orig: [0, 0, []], Cor: [0, 1, ['देश']], Type: 'M:NOUN'","स्वामी दयानन्द का देश आभारी रहेगा।
","देश स्वामी दयानन्द का आभारी रहेगा।
"
9,"Orig: [3, 4, ['देश']], Cor: [4, 4, []], Type: 'U:NOUN'","स्वामी दयानन्द का देश आभारी रहेगा।
","देश स्वामी दयानन्द का आभारी रहेगा।
"
10,"Orig: [0, 2, ['केवल', 'यहाँ']], Cor: [0, 2, ['यहाँ', 'केवल']], Type: 'R:WO'","केवल यहाँ दो विद्यालय हैं।
","यहाँ केवल दो विद्यालय हैं।
"
11,"Orig: [0, 0, []], Cor: [0, 1, ['ये']], Type: 'M:DET'","कापियाँ किसकी हैं?
","ये कापियाँ किसकी हैं?
"
12,"Orig: [2, 3, ['भाभी']], Cor: [2, 3, ['‘भाभी’']], Type: 'R:OTHER'","प्रस्तुत पंक्तियाँ भाभी से ली हैं।
","प्रस्तुत पंक्तियाँ ‘भाभी’ से ली गयी हैं।
"
13,"Orig: [5, 5, []], Cor: [5, 6, ['गयी']], Type: 'M:VERB:TENSE'","प्रस्तुत पंक्तियाँ भाभी से ली हैं।
","प्रस्तुत पंक्तियाँ ‘भाभी’ से ली गयी हैं।
"
14,"Orig: [1, 2, ['ने']], Cor: [1, 2, ['द्वारा']], Type: 'R:ADP'","पुलिस ने लुटेरों का पीछा किया गया।
","पुलिस द्वारा लुटेरों का पीछा किया गया।
"
15,"Orig: [6, 7, ['गया']], Cor: [6, 6, []], Type: 'U:VERB:TENSE'","पुलिस ने लुटेरों का पीछा किया गया।
","पुलिस ने लुटेरों का पीछा किया।
"
16,"Orig: [4, 5, ['पढ़ाया']], Cor: [4, 5, ['पढ़वाया']], Type: 'R:VERB'","अध्यापक ने हमसे पाठ पढ़ाया।
","अध्यापक ने हमसे पाठ पढ़वाया।
"
17,"Orig: [1, 2, ['ने']], Cor: [1, 1, []], Type: 'U:ADP'","हरी ने स्कूल गया और पढ़ा।
","हरी स्कूल गया और वह पढ़ा।
"
18,"Orig: [5, 5, []], Cor: [4, 5, ['वह']], Type: 'M:PRON'","हरी ने स्कूल गया और पढ़ा।
","हरी स्कूल गया और वह पढ़ा।
"
19,"Orig: [5, 6, ['पढ़ा।']], Cor: [5, 7, ['पढ़ा', '।']], Type: 'R:ORTH'","हरी ने स्कूल गया और पढ़ा।
","हरी स्कूल गया और वह पढ़ा।
"
20,"Orig: [4, 5, ['मात्र']], Cor: [4, 4, []], Type: 'U:OTHER'","मुझे केवल सौ रुपये मात्र मिले।
","मुझे केवल सौ रुपये मिले।
"
21,"Orig: [1, 2, ['केवल']], Cor: [1, 1, []], Type: 'U:OTHER'","मुझे केवल सौ रुपये मात्र मिले।
","मुझे सौ रुपये मात्र मिले।
"
22,"Orig: [1, 3, ['सप्रमाण', 'सहित']], Cor: [1, 2, ['प्रमाणसहित']], Type: 'R:OTHER'","उसने सप्रमाण सहित अपनी बात प्रस्तुत की।
","उसने प्रमाणसहित अपनी बात प्रस्तुत की।
"
23,"Orig: [3, 4, ['सकुशलतापूर्वक']], Cor: [3, 4, ['सकुशल']], Type: 'R:SPELL'","हम सब यहाँ सकुशलतापूर्वक हैं।
","हम सब यहाँ सकुशल हैं।
"
24,"Orig: [3, 4, ['सकुशलतापूर्वक']], Cor: [3, 4, ['कुशलतापूर्वक']], Type: 'R:SPELL'","हम सब यहाँ सकुशलतापूर्वक हैं।
","हम सब यहाँ कुशलतापूर्वक हैं।
"
25,"Orig: [4, 5, ['जाता']], Cor: [4, 5, ['जाऊँ']], Type: 'R:VERB-GEN'","वह आये तो मैं जाता।
","वह आये तो मैं जाऊँ ।
"
26,"Orig: [1, 3, ['काटकर', 'सेब']], Cor: [1, 3, ['सेब', 'काटकर']], Type: 'R:WO'","मुझे काटकर सेब खिलाओ।
","मुझे सेब काटकर खिलाओ ।
"
27,"Orig: [0, 0, []], Cor: [0, 1, ['क्या']], Type: 'M:PRON'","होता है ऐसा भी क्या?
","क्या ऐसा भी होता है?
"
28,"Orig: [0, 4, ['होता', 'है', 'ऐसा', 'भी']], Cor: [1, 5, ['ऐसा', 'भी', 'होता', 'है']], Type: 'R:WO'","होता है ऐसा भी क्या?
","क्या ऐसा भी होता है?
"
29,"Orig: [4, 5, ['क्या']], Cor: [5, 5, []], Type: 'U:PRON'","होता है ऐसा भी क्या?
","क्या ऐसा भी होता है?
"
30,"Orig: [1, 1, []], Cor: [1, 3, ['यह', 'पत्थर']], Type: 'M:NOUN'","मुझे उठाकर दिखाओ यह पत्थर।
","मुझे यह पत्थर उठाकर दिखाओ।
"
31,"Orig: [3, 5, ['यह', 'पत्थर।']], Cor: [5, 6, ['।']], Type: 'R:OTHER'","मुझे उठाकर दिखाओ यह पत्थर।
","मुझे यह पत्थर उठाकर दिखाओ।
"
32,"Orig: [0, 1, ['हमारी']], Cor: [0, 1, ['हमारा']], Type: 'R:PRON-GEN'","हमारी समाज प्रगतिशील बने।
","हमारा समाज प्रगतिशील बने।
"
33,"Orig: [4, 5, ['रहस्यमयी']], Cor: [4, 5, ['रहस्यमय']], Type: 'R:ADJ'","लोग आज भी उन रहस्यमयी खजानों को खोज रहे हैं।
","लोग आज भी उन रहस्यमय खजानों को खोज रहे हैं।
"
34,"Orig: [2, 3, ['लड़की']], Cor: [2, 3, ['लड़कियाँ']], Type: 'R:NOUN-NUM'","इतनी सारी लड़की खेलों में भाग ले रहे हैं।
","इतनी सारी लड़कियाँ खेलों में भाग ले रही हैं।
"
35,"Orig: [7, 8, ['रहे']], Cor: [7, 8, ['रही']], Type: 'R:VERB:TENSE'","इतनी सारी लड़की खेलों में भाग ले रहे हैं।
","इतनी सारी लड़कियाँ खेलों में भाग ले रही हैं।
"
36,"Orig: [2, 2, []], Cor: [2, 3, ['!']], Type: 'M:PUNCT'","हे प्रभु अब यह कष्ट दूर करो।
","हे प्रभु! अब यह कष्ट दूर करो।
"
37,"Orig: [0, 2, ['नए', 'नए']], Cor: [0, 1, ['नए-नए']], Type: 'R:OTHER'","नए नए सुधारों जन-हितैषी कार्यों सही सोच वाले नेताओं की आवश्यकता है।
","नए-नए सुधारों, जन-हितैषी कार्यों और सही सोच वाले नेताओं की आवश्यकता है।
"
38,"Orig: [3, 3, []], Cor: [2, 3, [',']], Type: 'M:PUNCT'","नए नए सुधारों जन-हितैषी कार्यों सही सोच वाले नेताओं की आवश्यकता है।
","नए-नए सुधारों, जन-हितैषी कार्यों और सही सोच वाले नेताओं की आवश्यकता है।
"
39,"Orig: [5, 5, []], Cor: [5, 6, ['और']], Type: 'M:OTHER'","नए नए सुधारों जन-हितैषी कार्यों सही सोच वाले नेताओं की आवश्यकता है।
","नए-नए सुधारों, जन-हितैषी कार्यों और सही सोच वाले नेताओं की आवश्यकता है।
"
40,"Orig: [2, 2, []], Cor: [2, 3, [',']], Type: 'M:PUNCT'","बेटा बोला पिताजी अब मैं कठिन परिश्रम करूंगा।
","बेटा बोला, “पिताजी! अब मैं कठिन परिश्रम करूंगा।”
"
41,"Orig: [2, 3, ['पिताजी']], Cor: [3, 4, ['“पिताजी']], Type: 'R:NOUN'","बेटा बोला पिताजी अब मैं कठिन परिश्रम करूंगा।
","बेटा बोला, “पिताजी! अब मैं कठिन परिश्रम करूंगा।”
"
42,"Orig: [3, 3, []], Cor: [4, 5, ['!']], Type: 'M:PUNCT'","बेटा बोला पिताजी अब मैं कठिन परिश्रम करूंगा।
","बेटा बोला, “पिताजी! अब मैं कठिन परिश्रम करूंगा।”
"
43,"Orig: [4, 5, ['बुलाओ']], Cor: [4, 5, ['बुलाओ;']], Type: 'R:VERB-NUM'","उस सब्जी वाले को बुलाओ दो किलो आलू तीन किलो गाजर ले लो।
","उस सब्जी वाले को बुलाओ; दो किलो आलू तथा तीन किलो गाजर ले लो।
"
44,"Orig: [8, 8, []], Cor: [8, 9, ['तथा']], Type: 'M:OTHER'","उस सब्जी वाले को बुलाओ दो किलो आलू तीन किलो गाजर ले लो।
","उस सब्जी वाले को बुलाओ; दो किलो आलू तथा तीन किलो गाजर ले लो।
"
45,"Orig: [1, 2, ['उपेक्षा']], Cor: [1, 2, ['अपेक्षा']], Type: 'R:NOUN'","मैं उपेक्षा करता हूँ कि तुम यह काम कर लोगे।
","मैं अपेक्षा करता हूँ कि तुम यह काम कर लोगे।
"
46,"Orig: [2, 3, ['ग्रहकार्य']], Cor: [2, 3, ['गृहकार्य']], Type: 'R:SPELL'","मैंने अपना ग्रहकार्य कर लिया है।
","मैंने अपना गृहकार्य कर लिया है।
"
47,"Orig: [2, 3, ['बेफ़िजूल']], Cor: [2, 3, ['फ़िजूल']], Type: 'R:SPELL'","तुम हमेशा बेफ़िजूल की बातें करते हो।
","तुम हमेशा फ़िजूल की बातें करते हो।
"
48,"Orig: [5, 6, ['होता']], Cor: [5, 6, ['होती']], Type: 'R:VERB-GEN'","बेटी पराए घर का धन होता है। 
","बेटी पराए घर का धन होती है।     
"
49,"Orig: [2, 3, ['नया']], Cor: [2, 3, ['नई']], Type: 'R:ADJ-GEN'","आज तुमने नया पोशाक पहना है।
","आज तुमने नई पोशाक पहनी है।
"
50,"Orig: [4, 5, ['पहना']], Cor: [4, 5, ['पहनी']], Type: 'R:VERB-GEN'","आज तुमने नया पोशाक पहना है।
","आज तुमने नई पोशाक पहनी है।
"
51,"Orig: [1, 2, ['तुम्हारा']], Cor: [1, 2, ['तुम्हारी']], Type: 'R:PRON-GEN'","मुझे तुम्हारा बातें सुनना पड़ा।
","मुझे तुम्हारी बातें सुननी पड़ी।
"
52,"Orig: [3, 4, ['सुनना']], Cor: [3, 4, ['सुननी']], Type: 'R:VERB-GEN'","मुझे तुम्हारा बातें सुनना पड़ा।
","मुझे तुम्हारी बातें सुननी पड़ी।
"
53,"Orig: [4, 5, ['पड़ा']], Cor: [4, 5, ['पड़ी']], Type: 'R:VERB:TENSE'","मुझे तुम्हारा बातें सुनना पड़ा।
","मुझे तुम्हारी बातें सुननी पड़ी।
"
