Proposed Edit,Incorrect Sentence,Correct Sentence,True Label (Multi-Class),"Edit Quality (g,b,a)","Edit Extraction Quality (a,b)",,,,,,,,,,,,,,,,,,,
"Orig: [2, 3, ['____']], Cor: [2, 3, ['____']], Type: 'R:SPELL'","__ _____ ____ ___ ___ ___
","__ _____ ____ ___ ___ ___
",R:SPELL,g,a,,,,,,,,,,,,,,,,,,,
"Orig: [2, 3, ['______']], Cor: [2, 3, ['______']], Type: 'R:SPELL'","_____ ___ ______ __ ___ ___
","_____ ___ ______ __ ___ ___
",R:SPELL,g,a,,,,,,,,,,,,,,,,,,,
"Orig: [2, 3, ['___']], Cor: [2, 3, ['___']], Type: 'R:SPELL'","___ __ ___ _____ _____ 
","___ __ ___ _____ _____
",R:SPELL,g,a,,,,,,,,,,,,,,,,,,,
"Orig: [1, 2, ['_____']], Cor: [1, 2, ['_____']], Type: 'R:SPELL'","____ _____ ____ ___
","____ _____ ____ ___
",R:SPELL,g,a,,,,,,,,,,,,,,,,,,,
"Orig: [1, 2, ['______']], Cor: [1, 2, ['______']], Type: 'R:SPELL'","____ ______ ___
","____ ______ ___
",R:SPELL,g,a,,,,,,,,,,,,,,,,,,,
"Orig: [2, 4, ['__', '_']], Cor: [2, 3, ['___']], Type: 'R:ORTH'","____ ______ ___
","____ ______ ___
",R:ORTH,g,a,,,,,,,,,,,,,,,,,,,
"Orig: [2, 3, ['______']], Cor: [2, 3, ['______']], Type: 'R:SPELL'","______ __ ______ ______
","______ __ ______ ______
",R:SPELL,g,a,,,,,,,,,,,,,,,,,,,
"Orig: [2, 3, ['________']], Cor: [2, 3, ['________']], Type: 'R:SPELL'","___ ____ ________ _____
","___ ____ ________ _____
",R:SPELL,g,a,,,,,,,,,,,,,,,,,,,
"Orig: [2, 3, ['____']], Cor: [2, 3, ['___']], Type: 'R:SPELL'","__ ____ ____ __ ___ ____
","__ ____ ___ __ ___ ____
",R:SPELL,g,a,,,,,,,,,,,,,,,,,,,
"Orig: [0, 1, ['______']], Cor: [0, 1, ['______']], Type: 'R:SPELL'","______ __ _____ ___
","______ __ _____ ___
",R:SPELL,g,a,,,,,,,,,,,,,,,,,,,
"Orig: [1, 2, ['_____']], Cor: [1, 2, ['_____']], Type: 'R:SPELL'","__ _____ __ __ _____ ___
","__ _____ __ __ _____ ___
",R:SPELL,g,a,,,,,,,,,,,,,,,,,,,
"Orig: [2, 3, ['_____']], Cor: [2, 3, ['_____']], Type: 'R:SPELL'","___ __ _____ ___ _____ ____ ___
","___ __ _____ ___ _____ ____ ___
",R:SPELL,g,a,,,,,,,,,,,,,,,,,,,
"Orig: [1, 2, ['____']], Cor: [1, 2, ['____']], Type: 'R:SPELL'","__ ____ ____ ____ ___
","__ ____ ____ ____ ___
",R:SPELL,g,a,,,,,,,,,,,,,,,,,,,
"Orig: [0, 1, ['____']], Cor: [0, 1, ['____']], Type: 'R:SPELL'","____ __ ___ ______
","____ __ ___ ______
",R:SPELL,g,a,,,,,,,,,,,,,,,,,,,
"Orig: [1, 2, ['____']], Cor: [1, 2, ['____']], Type: 'R:SPELL'","____ ____ ___ ___ ___
","____ ____ ___ ___ ___
",R:SPELL,g,a,,,,,,,,,,,,,,,,,,,
"Orig: [7, 7, []], Cor: [7, 8, ['_']], Type: 'M:PUNCT'","_____ __ ____ _____ ____ ____ __
","_____ __ ____ _____ ____ ____ ___
",M:PUNCT,g,a,,,,,,,,,,,,,,,,,,,
"Orig: [4, 4, []], Cor: [4, 5, [',']], Type: 'M:PUNCT'","_____ ____ ____ ______ ____ __ __-_______ __ ___
","_____ ____ ____ ______, ____ __ __-_______ __ ____
",M:PUNCT,g,a,,,,,,,,,,,,,,,,,,,
"Orig: [9, 9, []], Cor: [10, 11, ['_']], Type: 'M:PUNCT'","_____ ____ ____ ______ ____ __ __-_______ __ ___
","_____ ____ ____ ______, ____ __ __-_______ __ ____
",M:PUNCT,g,a,,,,,,,,,,,,,,,,,,,
"Orig: [2, 2, []], Cor: [2, 3, [',']], Type: 'M:PUNCT'","__ _____ __ __ __ ___ __ __ __ ___ __
","__ _____, __ __ __ ___ __, __ __ ___ ___
",M:PUNCT,g,a,,,,,,,,,,,,,,,,,,,
"Orig: [7, 7, []], Cor: [8, 9, [',']], Type: 'M:PUNCT'","__ _____ __ __ __ ___ __ __ __ ___ __
","__ _____, __ __ __ ___ __, __ __ ___ ___
",M:PUNCT,g,a,,,,,,,,,,,,,,,,,,,
"Orig: [11, 11, []], Cor: [13, 14, ['_']], Type: 'M:PUNCT'","__ _____ __ __ __ ___ __ __ __ ___ __
","__ _____, __ __ __ ___ __, __ __ ___ ___
",M:PUNCT,g,a,,,,,,,,,,,,,,,,,,,
"Orig: [5, 6, ['_']], Cor: [5, 6, ['?']], Type: 'R:PUNCT'","____ __ ____ ___ _______
","____ __ ____ ___ ______?
",R:PUNCT,g,a,,,,,,,,,,,,,,,,,,,
"Orig: [1, 1, []], Cor: [1, 2, ['!']], Type: 'M:PUNCT'","___ ___ __ ____
","___! ___ __ ___?
",M:PUNCT,g,a,,,,,,,,,,,,,,,,,,,
"Orig: [4, 5, ['_']], Cor: [5, 6, ['?']], Type: 'R:PUNCT'","___ ___ __ ____
","___! ___ __ ___?
",R:PUNCT,g,a,,,,,,,,,,,,,,,,,,,
"Orig: [4, 5, ['____']], Cor: [4, 5, ['Ó____']], Type: 'R:OTHER'","_______ _____ __ ___ ____ __ _____ ___
","_______ _____ __ ___ Ó____ __ _____ __|Ó
",M:PUNCT,b,a,,,,,,,,,,,,,,,,,,,
"Orig: [7, 9, ['__', '_']], Cor: [7, 8, ['__|Ó']], Type: 'R:OTHER'","_______ _____ __ ___ ____ __ _____ ___
","_______ _____ __ ___ Ó____ __ _____ __|Ó
",M:PUNCT,b,a,,,,,,,,,,,,,,,,,,,
"Orig: [1, 3, ['___', '___']], Cor: [1, 2, ['___-___']], Type: 'R:OTHER'","__ ___ ___ ___ __
","__ ___-___ ___ ___
",M:PUNCT,b,a,,,,,,,,,,,,,,,,,,,
"Orig: [5, 5, []], Cor: [4, 5, ['_']], Type: 'M:PUNCT'","__ ___ ___ ___ __
","__ ___-___ ___ ___
",M:PUNCT,g,a,,,,,,,,,,,,,,,,,,,
