,Proposed Edit InHerrant,Proposed Edit Ankur's Errant,Incorrect Sentence,Correct Sentence,True Label Before (Multi-Class),True Label (Multi-Class),"Edit Quality (g,b,a)","Edit Extraction Quality (a,b)",InHerrant Annotation Correct,"Edit Quality (g,b,a) Ankur",Ankur Annotation Correct
0,"Orig: [0, 1, ['उसके']], Cor: [0, 1, ['उसकी']], Type: 'R:PRON-GEN'","Orig: [0, 1, 'उसके'], Cor: [0, 1, 'उसकी'], Type: 'R:PRON:INFL'","उसके आदतें बिगड़ गयी हैं।
","उसकी आदतें बिगड़ गयी हैं।
",R:PRON-GEN,R:PRON-GEN,g,a,YES,a,YES
1,"Orig: [0, 1, ['उसका']], Cor: [0, 1, ['उसकी']], Type: 'R:PRON-GEN'","Orig: [0, 1, 'उसका'], Cor: [0, 1, 'उसकी'], Type: 'R:PRON:INFL'","उसका चोटी बड़ी लम्बी हो गयी है।
","उसकी चोटी बड़ी लम्बी हो गयी है।
",R:PRON-GEN,R:PRON-GEN,g,a,YES,a,YES
2,"Orig: [0, 1, ['मेरा']], Cor: [0, 1, ['मेरी']], Type: 'R:PRON-GEN'","Orig: [0, 1, 'मेरा'], Cor: [0, 1, 'मेरी'], Type: 'R:PRON:INFL'","मेरा मेहँदी अब सूख गयी है।
","मेरी मेहँदी अब सूख गयी है।
",R:PRON-GEN,R:PRON-GEN,g,a,YES,a,YES
3,"Orig: [0, 1, ['उसकी']], Cor: [0, 1, ['उसके']], Type: 'R:PRON-GEN'","Orig: [0, 1, 'उसकी'], Cor: [0, 1, 'उसके'], Type: 'R:PRON:INFL'","उसकी बगीचे में बहुत सुंदर पुष्प खिले हैं।
","उसके बगीचे में बहुत सुंदर पुष्प खिले हैं।
",R:PRON-GEN,R:PRON-GEN,g,a,YES,a,YES
4,"Orig: [3, 4, ['चौड़ा']], Cor: [3, 4, ['चौड़ी']], Type: 'R:SPELL'","Orig: [3, 4, 'चौड़ा'], Cor: [3, 4, 'चौड़ी'], Type: 'R:MORPH'","दिल्ली में बहुत चौड़ा सड़कें हैं। 
","दिल्ली में बहुत चौड़ी सड़कें हैं। 
",R:ADJ-GEN,R:SPELL,g,a,NO,g,NO
5,"Orig: [1, 2, ['बड़ा']], Cor: [1, 2, ['बड़ी']], Type: 'R:SPELL'","Orig: [1, 2, 'बड़ा'], Cor: [1, 2, 'बड़ी'], Type: 'R:ADJ:INFL'","अक़्ल बड़ा या भैंस?
","अक़्ल बड़ी या भैंस?
",R:ADJ-GEN,R:SPELL,g,a,NO,g,NO
6,"Orig: [1, 2, ['महंगा']], Cor: [1, 2, ['महंगी']], Type: 'R:ADJ-GEN'","Orig: [1, 2, 'महंगा'], Cor: [1, 2, 'महंगी'], Type: 'R:ADJ:INFL'","सब्ज़ियाँ महंगा हो गयी हैं ।
","सब्ज़ियाँ महंगी हो गयी हैं।
",R:ADJ-GEN,R:ADJ-GEN,g,a,YES,a,YES
7,"Orig: [2, 3, ['नीला']], Cor: [2, 3, ['नीली']], Type: 'R:ADJ-GEN'","Orig: [2, 3, 'नीला'], Cor: [2, 3, 'नीली'], Type: 'R:ADJ:INFL'","मैंने तुम्हारी नीला क़मीज़ बिस्तर पर रखी है।
","मैंने तुम्हारी नीली क़मीज़ बिस्तर पर रखी है।
",R:ADJ-GEN,R:ADJ-GEN,g,a,YES,a,YES
8,"Orig: [0, 1, ['वे']], Cor: [0, 1, ['वह']], Type: 'R:PRON'","Orig: [0, 1, 'वे'], Cor: [0, 1, 'वह'], Type: 'R:PRON'","वे अच्छा लड़का है। 
","वह अच्छा लड़का है।
",R:PRON-NUM,R:PRON,b,a,NO,b,NO
9,"Orig: [1, 2, ['मेरा']], Cor: [1, 2, ['हमारा']], Type: 'R:PRON'","Orig: [1, 2, 'मेरा'], Cor: [1, 2, 'हमारा'], Type: 'R:PRON'","यह मेरा घर है। 
","यह हमारा घर है। 
",R:PRON-NUM,R:PRON,a,a,NO,a,NO
10,"Orig: [0, 1, ['इसे']], Cor: [0, 1, ['इन्हें']], Type: 'R:PRON-NUM'","Orig: [0, 1, 'इसे'], Cor: [0, 1, 'इन्हें'], Type: 'R:PRON'","इसे पानी दो।
","इन्हें पानी दो।
",R:PRON-NUM,R:PRON-NUM,g,a,YES,g,NO
11,"Orig: [0, 1, ['उसका']], Cor: [0, 1, ['उसके']], Type: 'R:PRON'","Orig: [0, 1, 'उसका'], Cor: [0, 1, 'उसके'], Type: 'R:PRON:INFL'","उसका प्राण निकल गए। 
","उसके प्राण निकल गए। 
",R:PRON-NUM,R:PRON,b,a,NO,b,NO
12,"Orig: [0, 1, ['उसकी']], Cor: [0, 1, ['उनकी']], Type: 'R:PRON'","Orig: [0, 1, 'उसकी'], Cor: [0, 1, 'उनकी'], Type: 'R:PRON'","उसकी सभी गाड़ियाँ बहुत महंगी हैं।
","उनकी सभी गाड़ियाँ बहुत महंगी हैं।
",R:PRON-NUM,R:PRON,a,a,NO,a,NO
13,"Orig: [0, 1, ['उसका']], Cor: [0, 1, ['उनका']], Type: 'R:PRON'","Orig: [0, 1, 'उसका'], Cor: [0, 1, 'उनका'], Type: 'R:PRON'","उसका परिवार बहुत बड़ा है।
","उनका परिवार बहुत बड़ा है।
",R:PRON-NUM,R:PRON,a,a,NO,a,NO
14,"Orig: [0, 1, ['मैंने']], Cor: [0, 1, ['हमने']], Type: 'R:PRON'","Orig: [0, 1, 'मैंने'], Cor: [0, 1, 'हमने'], Type: 'R:PRON'","मैंने नाश्ता कर लिया है।
","हमने नाश्ता कर लिया है।
",R:PRON-NUM,R:PRON,b,a,NO,b,NO
15,"Orig: [3, 4, ['इसको']], Cor: [3, 4, ['इनको']], Type: 'R:PRON-NUM'","Orig: [3, 4, 'इसको'], Cor: [3, 4, 'इनको'], Type: 'R:PRON'","घर की चाबी इसको मिली थी।
","घर की चाबी इनको मिली थी।
",R:PRON-NUM,R:PRON-NUM,g,a,YES,g,NO
16,"Orig: [0, 1, ['तुम्हें']], Cor: [0, 1, ['आपको']], Type: 'R:PRON'","Orig: [0, 1, 'तुम्हें'], Cor: [0, 1, 'आपको'], Type: 'R:PRON'","तुम्हें मेरा ख़त मिला होगा?
","आपको मेरा ख़त मिला होगा?
",R:PRON-NUM,R:PRON,a,a,NO,a,NO
17,"Orig: [0, 1, ['इसे']], Cor: [0, 1, ['इन्हें']], Type: 'R:PRON-NUM'","Orig: [0, 1, 'इसे'], Cor: [0, 1, 'इन्हें'], Type: 'R:PRON'","इसे पुरस्कार मिलना चाहिए।
","इन्हें पुरस्कार मिलना चाहिए।
",R:PRON-NUM,R:PRON-NUM,g,a,YES,g,NO
18,"Orig: [0, 1, ['इसका']], Cor: [0, 1, ['इनका']], Type: 'R:PRON-NUM'","Orig: [0, 1, 'इसका'], Cor: [0, 1, 'इनका'], Type: 'R:PRON'","इसका दिमाग़ तो बहुत तेज़ है।
","इनका दिमाग़ तो बहुत तेज़ है।
",R:PRON-NUM,R:PRON-NUM,g,a,YES,g,NO
19,"Orig: [0, 1, ['इसका']], Cor: [0, 1, ['इनका']], Type: 'R:PRON-NUM'","Orig: [0, 1, 'इसका'], Cor: [0, 1, 'इनका'], Type: 'R:PRON'","इसका कुत्ता भाग गया।
","इनका कुत्ता भाग गया।
",R:PRON-NUM,R:PRON-NUM,g,a,YES,g,NO
20,"Orig: [0, 1, ['मेरा']], Cor: [0, 1, ['हमारा']], Type: 'R:PRON'","Orig: [0, 1, 'मेरा'], Cor: [0, 1, 'हमारा'], Type: 'R:PRON'","मेरा तुमसे भरोसा उठ गया।
","हमारा तुमसे भरोसा उठ गया।
",R:PRON-NUM,R:PRON,b,a,NO,b,NO
21,"Orig: [0, 1, ['तुम्हारा']], Cor: [0, 1, ['आपका']], Type: 'R:PRON'","Orig: [0, 1, 'तुम्हारा'], Cor: [0, 1, 'आपका'], Type: 'R:PRON'","तुम्हारा पेन नीचे गिर गया है।
","आपका पेन नीचे गिर गया है।
",R:PRON-NUM,R:PRON,a,a,NO,a,NO
22,"Orig: [3, 4, ['कवि']], Cor: [3, 4, ['कवयित्रियाँ']], Type: 'R:NOUN'","Orig: [3, 4, 'कवि'], Cor: [3, 4, 'कवयित्रियाँ'], Type: 'R:NOUN'","देश में अनेक कवि हैं।
","देश में अनेक कवयित्रियाँ हैं ।
",R:NOUN-GEN,R:NOUN,a,a,NO,a,NO
23,"Orig: [3, 4, ['कुंवारे']], Cor: [3, 4, ['कुंवारी']], Type: 'R:ADJ-GEN'","Orig: [3, 4, 'कुंवारे'], Cor: [3, 4, 'कुंवारी'], Type: 'R:MORPH'","शहर में अनेक कुंवारे लड़के हैं। 
","शहर में अनेक कुंवारी लड़कियाँ हैं । 
",R:NOUN-GEN,R:ADJ-GEN,g,a,NO,g,NO
24,"Orig: [4, 5, ['लड़के']], Cor: [4, 5, ['लड़कियाँ']], Type: 'R:SPELL'","Orig: [4, 5, 'लड़के'], Cor: [4, 5, 'लड़कियाँ'], Type: 'R:MORPH'","शहर में अनेक कुंवारे लड़के हैं। 
","शहर में अनेक कुंवारी लड़कियाँ हैं । 
",R:NOUN-GEN,R:SPELL,g,a,NO,g,NO
25,"Orig: [1, 2, ['औरत']], Cor: [1, 2, ['आदमी']], Type: 'R:NOUN'","Orig: [1, 2, 'औरत'], Cor: [1, 2, 'आदमी'], Type: 'R:NOUN'","एक औरत पेड़ के नीचे बैठी है ।
","एक आदमी पेड़ के नीचे बैठा है ।
",R:NOUN-GEN,R:NOUN,b,a,NO,b,NO
26,"Orig: [5, 6, ['बैठी']], Cor: [5, 6, ['बैठा']], Type: 'R:VERB-GEN'","Orig: [5, 6, 'बैठी'], Cor: [5, 6, 'बैठा'], Type: 'R:VERB:INFL'","एक औरत पेड़ के नीचे बैठी है ।
","एक आदमी पेड़ के नीचे बैठा है ।
",R:VERB-GEN,R:VERB-GEN,g,a,YES,a,YES
27,"Orig: [0, 1, ['मुर्गी']], Cor: [0, 1, ['मुर्गा']], Type: 'R:NOUN-GEN'","Orig: [0, 1, 'मुर्गी'], Cor: [0, 1, 'मुर्गा'], Type: 'R:MORPH'","मुर्गी बांग दे रही है ।
","मुर्गा बांग दे रहा है ।
",R:NOUN-GEN,R:NOUN-GEN,g,a,YES,g,NO
28,"Orig: [3, 4, ['रही']], Cor: [3, 4, ['रहा']], Type: 'R:VERB-GEN'","Orig: [3, 4, 'रही'], Cor: [3, 4, 'रहा'], Type: 'R:VERB:INFL'","मुर्गी बांग दे रही है ।
","मुर्गा बांग दे रहा है ।
",R:VERB-GEN,R:VERB-GEN,g,a,YES,a,YES
29,"Orig: [1, 2, ['बकरी']], Cor: [1, 2, ['बकरा']], Type: 'R:NOUN'","Orig: [1, 2, 'बकरी'], Cor: [1, 2, 'बकरा'], Type: 'R:MORPH'","यह बकरी बूढ़ा हो गया है।
","यह बकरा बूढ़ा हो गया है।
",R:NOUN-GEN,R:NOUN,b,a,NO,b,NO
30,"Orig: [0, 1, ['मेरा']], Cor: [0, 1, ['मेरी']], Type: 'R:PRON-GEN'","Orig: [0, 1, 'मेरा'], Cor: [0, 1, 'मेरी'], Type: 'R:PRON:INFL'","मेरा पोता दिल्ली में रहता है।
","मेरी पोती दिल्ली में रहती है।
",R:PRON-GEN,R:PRON-GEN,g,a,YES,a,YES
31,"Orig: [1, 2, ['पोता']], Cor: [1, 2, ['पोती']], Type: 'R:NOUN-GEN'","Orig: [1, 2, 'पोता'], Cor: [1, 2, 'पोती'], Type: 'R:MORPH'","मेरा पोता दिल्ली में रहता है।
","मेरी पोती दिल्ली में रहती है।
",R:NOUN-GEN,R:NOUN-GEN,g,a,YES,g,NO
32,"Orig: [4, 5, ['रहता']], Cor: [4, 5, ['रहती']], Type: 'R:VERB-GEN'","Orig: [4, 5, 'रहता'], Cor: [4, 5, 'रहती'], Type: 'R:VERB:INFL'","मेरा पोता दिल्ली में रहता है।
","मेरी पोती दिल्ली में रहती है।
",R:VERB-GEN,R:VERB-GEN,g,a,YES,a,YES
33,"Orig: [1, 2, ['के']], Cor: [1, 2, ['की']], Type: 'R:ADP-INFL'","Orig: [1, 2, 'के'], Cor: [1, 2, 'की'], Type: 'R:ADP:INFL'","सूरज के चाचा बाज़ार गए हैं। 
","सूरज की चाची बाज़ार गयी हैं। 
",R:ADP,R:ADP-INFL,g,a,NO,g,YES
34,"Orig: [2, 3, ['चाचा']], Cor: [2, 3, ['चाची']], Type: 'R:NOUN-NUM'","Orig: [2, 3, 'चाचा'], Cor: [2, 3, 'चाची'], Type: 'R:MORPH'","सूरज के चाचा बाज़ार गए हैं। 
","सूरज की चाची बाज़ार गयी हैं। 
",R:NOUN-GEN,R:NOUN-NUM,g,a,NO,g,NO
35,"Orig: [4, 5, ['गए']], Cor: [4, 5, ['गयी']], Type: 'R:VERB-GEN'","Orig: [4, 5, 'गए'], Cor: [4, 5, 'गयी'], Type: 'R:VERB:INFL'","सूरज के चाचा बाज़ार गए हैं। 
","सूरज की चाची बाज़ार गयी हैं। 
",R:VERB-GEN,R:VERB-GEN,g,a,YES,a,YES
36,"Orig: [0, 1, ['प्रधानाचार्य']], Cor: [0, 1, ['प्रधानाचार्या']], Type: 'R:NOUN-GEN'","Orig: [0, 1, 'प्रधानाचार्य'], Cor: [0, 1, 'प्रधानाचार्या'], Type: 'R:MORPH'","प्रधानाचार्य बच्चों को समझा रहे थे।
","प्रधानाचार्या बच्चों को समझा रही थी ।
",R:NOUN-GEN,R:NOUN-GEN,g,a,YES,g,NO
37,"Orig: [4, 5, ['रहे']], Cor: [4, 5, ['रही']], Type: 'R:VERB-GEN'","Orig: [4, 5, 'रहे'], Cor: [4, 5, 'रही'], Type: 'R:VERB:INFL'","प्रधानाचार्य बच्चों को समझा रहे थे।
","प्रधानाचार्या बच्चों को समझा रही थी ।
",R:VERB-GEN,R:VERB-GEN,g,a,YES,a,YES
38,"Orig: [5, 6, ['थे']], Cor: [5, 6, ['थी']], Type: 'R:VERB-GEN'","Orig: [5, 6, 'थे'], Cor: [5, 6, 'थी'], Type: 'R:VERB:INFL'","प्रधानाचार्य बच्चों को समझा रहे थे।
","प्रधानाचार्या बच्चों को समझा रही थी ।
",R:VERB-GEN,R:VERB-GEN,g,a,YES,a,YES
39,"Orig: [2, 3, ['मेरे']], Cor: [2, 3, ['मेरी']], Type: 'R:PRON-GEN'","Orig: [2, 3, 'मेरे'], Cor: [2, 3, 'मेरी'], Type: 'R:PRON:INFL'","ये सभी मेरे शिष्य हैं।
","ये सभी मेरी शिष्याएँ हैं।
",R:PRON-GEN,R:PRON-GEN,g,a,YES,a,YES
40,"Orig: [3, 4, ['शिष्य']], Cor: [3, 4, ['शिष्याएँ']], Type: 'R:NOUN-GEN'","Orig: [3, 4, 'शिष्य'], Cor: [3, 4, 'शिष्याएँ'], Type: 'R:NOUN'","ये सभी मेरे शिष्य हैं।
","ये सभी मेरी शिष्याएँ हैं।
",R:NOUN-GEN,R:NOUN-GEN,g,a,YES,g,NO
