,Proposed Edit,Incorrect Sentence,Correct Sentence
0,"Orig: [0, 1, ['गाय']], Cor: [0, 1, ['काली']], Type: 'R:ADJ'","गाय काली चर रही है।
","काली गाय चर रही है।
"
1,"Orig: [1, 2, ['काली']], Cor: [1, 2, ['गाय']], Type: 'R:NOUN'","गाय काली चर रही है।
","काली गाय चर रही है।
"
2,"Orig: [0, 1, ['हवा']], Cor: [0, 1, ['ठंडी']], Type: 'R:ADJ'","हवा ठंडी बह रही थी। 
","ठंडी हवा बह रही थी।
"
3,"Orig: [1, 2, ['ठंडी']], Cor: [1, 2, ['हवा']], Type: 'R:NOUN'","हवा ठंडी बह रही थी। 
","ठंडी हवा बह रही थी।
"
4,"Orig: [3, 4, ['बड़ी-बड़ी']], Cor: [3, 4, ['बड़े-बड़े']], Type: 'R:SPELL'","मुंबई में मैंने बड़ी-बड़ी होटलें देखी।
","मुंबई में मैंने बड़े-बड़े होटल देखे।
"
5,"Orig: [4, 5, ['होटलें']], Cor: [4, 5, ['होटल']], Type: 'R:NOUN:INFL'","मुंबई में मैंने बड़ी-बड़ी होटलें देखी।
","मुंबई में मैंने बड़े-बड़े होटल देखे।
"
6,"Orig: [5, 6, ['देखी']], Cor: [5, 6, ['देखे']], Type: 'R:VERB-GEN'","मुंबई में मैंने बड़ी-बड़ी होटलें देखी।
","मुंबई में मैंने बड़े-बड़े होटल देखे।
"
7,"Orig: [1, 2, ['बड़ा-सा']], Cor: [1, 2, ['बड़ी-सी']], Type: 'R:SPELL'","एक बड़ा-सा कील लाओ।
","एक बड़ी-सी कील लाओ।
"
8,"Orig: [2, 3, ['ताज़ी']], Cor: [2, 3, ['ताज़ा']], Type: 'R:SPELL'","आज की ताज़ी खबरें सुनो।
","आज की ताज़ा खबरें सुनो।
"
9,"Orig: [1, 2, ['की']], Cor: [1, 2, ['का']], Type: 'R:ADP'","दहेज की लेन-देन बहुत बुरी रिवाज़ है।
","दहेज का लेन-देन बहुत बुरा रिवाज़ है।
"
10,"Orig: [4, 5, ['बुरी']], Cor: [4, 5, ['बुरा']], Type: 'R:ADJ-GEN'","दहेज की लेन-देन बहुत बुरी रिवाज़ है।
","दहेज का लेन-देन बहुत बुरा रिवाज़ है।
"
11,"Orig: [4, 5, ['विशाल']], Cor: [4, 5, ['तेज़']], Type: 'R:ADJ'","मोहन की बुद्धि बड़ी विशाल है।
","मोहन की बुद्धि बड़ी तेज़ है।
"
12,"Orig: [4, 5, ['घोर']], Cor: [4, 5, ['घनिष्ठ']], Type: 'R:ADJ'","साहित्य और जीवन का घोर संबंध है।
","साहित्य और जीवन का घनिष्ठ संबंध है।
"
13,"Orig: [2, 3, ['वीभत्स']], Cor: [2, 3, ['भयानक']], Type: 'R:ADJ'","सिंह एक वीभत्स जानवर है।
","सिंह एक भयानक जानवर है।
"
14,"Orig: [2, 3, ['तीब्र']], Cor: [2, 3, ['अधिक']], Type: 'R:OTHER'","शीला के तीब्र आग्रह करने पर मैं उसके घर गई।
","शीला के अधिक आग्रह करने पर मैं उसके घर गई।
"
15,"Orig: [1, 2, ['बुद्धि']], Cor: [1, 2, ['बुदृधि']], Type: 'R:NOUN'","उसकी बुद्धि बड़ी विशाल है।
","उसकी बुदृधि बड़ी सूक्ष्म है।
"
16,"Orig: [3, 4, ['विशाल']], Cor: [3, 4, ['सूक्ष्म']], Type: 'R:ADJ'","उसकी बुद्धि बड़ी विशाल है।
","उसकी बुदृधि बड़ी सूक्ष्म है।
"
