Proposed Edit InHerrant,Proposed Edit Ankur's Errant,Incorrect Sentence,Correct Sentence,True Label (Multi-Class),"Edit Quality (g,b,a)","Edit Extraction Quality (a,b)",True Label Before (Multi-Class),"Edit Quality Before (g,b,a)","Edit Extraction Quality Before(a,b)"
"Orig: [4, 5, ['स्नेही']], Cor: [4, 4, []], Type: 'U:NOUN'","Orig: [4, 5, ['स्नेही']], Cor: [4, 4, []], Type: 'U:NN'","राधा मेरी परम प्रिय स्नेही है।
","राधा मेरी परम प्रिय है।
",,,,U:NOUN,g,a
"Orig: [5, 6, ['हितकर']], Cor: [5, 5, []], Type: 'U:ADJ'","Orig: [5, 6, ['हितकर']], Cor: [5, 5, []], Type: 'U:JJ'","नेता को हमेशा जनता के हितकर कल्याण की बातें सोचनी चाहिए।
","नेता को हमेशा जनता के कल्याण की बातें सोचनी चाहिए।
",,,,U:ADJ,g,a
"Orig: [4, 6, ['का', 'भार']], Cor: [4, 4, []], Type: 'U:OTHER'","Orig: [4, 6, ['का', 'भार']], Cor: [4, 4, []], Type: 'U:OTHER'","मैं आपका सदैव आभार का भार मानता रहूँगा।
","मैं आपका सदैव आभार मानता रहूँगा।
",,,,U:OTHER,g,a
"Orig: [1, 2, ['पधारिए']], Cor: [1, 1, []], Type: 'U:OTHER'","Orig: [1, 2, ['पधारिए']], Cor: [1, 1, []], Type: 'U:NNP'","आइए पधारिए, आपका स्वागत है।
","आइए, आपका स्वागत है।
",,,,U:VERB,b,a
"Orig: [3, 4, ['भी']], Cor: [3, 3, []], Type: 'U:OTHER'","Orig: [3, 4, ['भी']], Cor: [3, 3, []], Type: 'U:RP'","तुम्हें वहाँ कभी भी नहीं जाना चाहिए।
","तुम्हें वहाँ कभी नहीं जाना चाहिए।
",,,,U:OTHER,g,a
"Orig: [1, 2, ['पानी']], Cor: [1, 1, []], Type: 'U:NOUN'","Orig: [1, 2, ['पानी']], Cor: [1, 1, []], Type: 'U:NN'","मेघ पानी बरसाते हैं।
","मेघ बरसते हैं।
",,,,U:NOUN,g,a
"Orig: [2, 3, ['बरसाते']], Cor: [1, 2, ['बरसते']], Type: 'R:VERB'","Orig: [2, 3, ['बरसाते']], Cor: [1, 2, ['बरसते']], Type: 'R:SPELL'","मेघ पानी बरसाते हैं।
","मेघ बरसते हैं।
",,,,U:VERB,a,a
"Orig: [5, 7, ['देखने', 'योग्य']], Cor: [5, 5, []], Type: 'U:OTHER'","Orig: [5, 7, ['देखने', 'योग्य']], Cor: [5, 5, []], Type: 'U:OTHER'","कश्मीर में कई दर्शनीय स्थल देखने योग्य हैं।
","कश्मीर में कई दर्शनीय स्थल हैं।
",,,,U:OTHER,g,a
"Orig: [2, 3, ['गरम']], Cor: [2, 2, []], Type: 'U:ADJ'","Orig: [2, 3, ['गरम']], Cor: [2, 2, []], Type: 'U:JJ'","वह गुनगुने गरम पानी से स्नान करता है।
","वह गुनगुने पानी से स्नान करता है।
",,,,U:ADJ,g,a
"Orig: [0, 1, ['आपकी']], Cor: [0, 0, []], Type: 'U:PRON'","Orig: [0, 1, ['आपकी']], Cor: [0, 0, []], Type: 'U:PRP'","आपकी भवदीय।
","भवदीय।
",,,,U:PRON,g,a
"Orig: [1, 3, ['भवदीय', '।']], Cor: [0, 1, ['भवदीय।']], Type: 'R:ORTH'","Orig: [1, 3, ['भवदीय', '।']], Cor: [0, 1, ['भवदीय।']], Type: 'R:ORTH'","आपकी भवदीय।
","भवदीय।
",,,,,,
"Orig: [3, 5, ['के', 'बीच']], Cor: [3, 4, ['में']], Type: 'R:ADP'","Orig: [3, 5, ['के', 'बीच']], Cor: [3, 4, ['में']], Type: 'R:MULTI'","पिछले कुछ वर्षों के बीच भारत और पाकिस्तान के हर बीच शत्रुता बढ़ी है।
","पिछले कुछ वर्षों में भारत और पाकिस्तान के बीच शत्रुता बढ़ी है।
",,,,R:ADP,g,a
"Orig: [9, 10, ['हर']], Cor: [8, 8, []], Type: 'U:DET'","Orig: [9, 10, ['हर']], Cor: [8, 8, []], Type: 'U:QF'","पिछले कुछ वर्षों के बीच भारत और पाकिस्तान के हर बीच शत्रुता बढ़ी है।
","पिछले कुछ वर्षों में भारत और पाकिस्तान के बीच शत्रुता बढ़ी है।
",,,,U:DET,g,a
"Orig: [0, 2, ['बिना', 'कठोर']], Cor: [0, 1, ['कठिन']], Type: 'R:OTHER'","Orig: [0, 2, ['बिना', 'कठोर']], Cor: [0, 1, ['कठिन']], Type: 'R:MULTI'","बिना कठोर परिश्रम किए तुम सफल नहीं हो सकते।
","कठिन परिश्रम के बिना तुम सफल नहीं हो सकते।
",,,,R:OTHER,g,b
"Orig: [3, 4, ['किए']], Cor: [2, 4, ['के', 'बिना']], Type: 'R:OTHER'","Orig: [3, 4, ['किए']], Cor: [2, 4, ['के', 'बिना']], Type: 'R:MULTI'","बिना कठोर परिश्रम किए तुम सफल नहीं हो सकते।
","कठिन परिश्रम के बिना तुम सफल नहीं हो सकते।
",,,,R:OTHER,g,b
"Orig: [2, 4, ['ताकतवर', 'दूध']], Cor: [2, 4, ['दूध', 'ताकतवर']], Type: 'R:WO'","Orig: [2, 4, ['ताकतवर', 'दूध']], Cor: [2, 4, ['दूध', 'ताकतवर']], Type: 'R:WO'",भैंस का ताकतवर दूध होता है।,भैंस का दूध ताकतवर होता है।,,,,R:WO,g,b
