Proposed Edit,Incorrect Sentence,Correct Sentence,True Label (Multi-Class),"Edit Quality (g,b,a)","Edit Extraction Quality (a,b)"
"Orig: [3, 4, ['आती']], Cor: [3, 4, ['आता']], Type: 'R:VERB-GEN'","मुझे बहुत गुस्सा आती है।
","मुझे बहुत गुस्सा आता है।
",R:VERB-GEN,g,a
"Orig: [7, 8, ['उठा।']], Cor: [7, 8, ['उठी।']], Type: 'R:SPELL'","बिजली का बटन दबाते ही बत्ती जल उठा।
","बिजली का बटन दबाते ही बत्ती जल उठी।
",,,
"Orig: [3, 4, ['आई']], Cor: [3, 4, ['आए']], Type: 'R:VERB-GEN'","सीता और राम आई।
","सीता और राम आए।
",R:VERB-GEN,g,a
"Orig: [1, 2, ['उसकी']], Cor: [1, 2, ['उसके']], Type: 'R:PRON-GEN'","मैंने उसकी मस्तक पर टीका लगायी।
","मैंने उसके मस्तक पर टीका लगाया।
",R:PRON-GEN,g,a
"Orig: [5, 6, ['लगायी']], Cor: [5, 6, ['लगाया']], Type: 'R:VERB-GEN'","मैंने उसकी मस्तक पर टीका लगायी।
","मैंने उसके मस्तक पर टीका लगाया।
",R:VERB-GEN,g,a
"Orig: [5, 6, ['बोली']], Cor: [5, 6, ['बोला']], Type: 'R:VERB'","राधा ने मोहन से झूठ बोली थी।
","राधा ने मोहन से झूठ बोला था।
",R:VERB-GEN,g,a
"Orig: [6, 7, ['थी']], Cor: [6, 7, ['था']], Type: 'R:OTHER'","राधा ने मोहन से झूठ बोली थी।
","राधा ने मोहन से झूठ बोला था।
",R:VERB-GEN,a,a
"Orig: [4, 5, ['दिखाई']], Cor: [4, 5, ['दिखाया']], Type: 'R:VERB-GEN'","राजू ने मुझे मथुरा दिखाई।
","राजू ने मुझे मथुरा दिखाया।
",R:VERB-GEN,g,a
"Orig: [4, 5, ['बोला']], Cor: [4, 5, ['बोली']], Type: 'R:NOUN'","रानी मधुर स्वर में बोला।
","रानी मधुर स्वर में बोली।
",R:VERB-GEN,b,a
"Orig: [3, 4, ['उठाई']], Cor: [3, 4, ['उठाया']], Type: 'R:VERB-GEN'","उसने अपना पर्स उठाई।
","उसने अपना पर्स उठाया।
",R:VERB-GEN,g,a
"Orig: [3, 4, ['अच्छी']], Cor: [3, 4, ['अच्छा']], Type: 'R:ADJ-GEN'","जादूगर का जादू अच्छी थी।
","जादूगर का जादू अच्छा था।
",R:ADJ-GEN,g,a
"Orig: [4, 5, ['थी']], Cor: [4, 5, ['था']], Type: 'R:OTHER'","जादूगर का जादू अच्छी थी।
","जादूगर का जादू अच्छा था।
",R:VERB-GEN,a,a
"Orig: [2, 3, ['अच्छा']], Cor: [2, 3, ['अच्छी']], Type: 'R:ADJ-GEN'","वसंत ऋतु अच्छा लगता है।
","वसंत ऋतु अच्छी लगती है।
",R:ADJ-GEN,g,a
"Orig: [3, 4, ['लगता']], Cor: [3, 4, ['लगती']], Type: 'R:VERB-GEN'","वसंत ऋतु अच्छा लगता है।
","वसंत ऋतु अच्छी लगती है।
",R:VERB-GEN,g,a
"Orig: [7, 8, ['खुला']], Cor: [7, 8, ['खुली']], Type: 'R:VERB-GEN'","आज बाज़ार में एक भी दुकान नहीं खुला।
","आज बाज़ार में एक भी दुकान नहीं खुली।
",R:VERB-GEN,g,a
"Orig: [0, 1, ['उसका']], Cor: [0, 1, ['उसकी']], Type: 'R:PRON-GEN'","उसका संतान अच्छा है।
","उसकी संतान अच्छी है।
",R:PRON-GEN,g,a
"Orig: [2, 3, ['अच्छा']], Cor: [2, 3, ['अच्छी']], Type: 'R:ADJ-GEN'","उसका संतान अच्छा है।
","उसकी संतान अच्छी है।
",R:ADJ-GEN,g,a
"Orig: [4, 5, ['रहे']], Cor: [4, 5, ['रही']], Type: 'R:OTHER'","कल माता जी आ रहे हैं।
","कल माता जी आ रही हैं।
",R:VERB-GEN,a,a
"Orig: [3, 4, ['खाया']], Cor: [3, 4, ['खाई']], Type: 'R:VERB-GEN'","बालक ने रोटी खाया।
","बालक ने रोटी खाई।
",R:VERB-GEN,g,a
"Orig: [1, 2, ['नया']], Cor: [1, 2, ['नई']], Type: 'R:ADJ-GEN'","मैं नया पोशाक पहनूगा।
","मैं नई पोशाक पहनूँगा।
",R:ADJ-GEN,g,a
"Orig: [3, 4, ['पहनूगा']], Cor: [3, 4, ['पहनूँगा']], Type: 'R:SPELL'","मैं नया पोशाक पहनूगा।
","मैं नई पोशाक पहनूँगा।
",R:SPELL,g,a
