Proposed Edit,Incorrect Sentence,Correct Sentence,True Label (Multi-Class),"Edit Quality (g,b,a)","Edit Extraction Quality (a,b)"
"Orig: [2, 3, ['उससे']], Cor: [2, 4, ['रमेश', 'को']], Type: 'R:OTHER'","अध्यापक ने उससे पाठ पढ़ने को कहा परंतु रमेश ने ऐसा नहीं किया।
","अध्यापक ने रमेश को पाठ पढ़ने को कहा परंतु उसने ऐसा नहीं किया।
",R:NOUN,b,a
"Orig: [8, 10, ['रमेश', 'ने']], Cor: [9, 10, ['उसने']], Type: 'R:OTHER'","अध्यापक ने उससे पाठ पढ़ने को कहा परंतु रमेश ने ऐसा नहीं किया।
","अध्यापक ने रमेश को पाठ पढ़ने को कहा परंतु उसने ऐसा नहीं किया।
",R:PRON,b,a
"Orig: [2, 3, ['उसे']], Cor: [2, 4, ['राधा', 'को']], Type: 'R:OTHER'","श्याम ने उसे आवाज़ लगाई पर राधा चली गई।
","श्याम ने राधा को आवाज़ लगाई पर वह चली गई।
",R:NOUN,b,a
"Orig: [6, 7, ['राधा']], Cor: [7, 8, ['वह']], Type: 'R:PRON'","श्याम ने उसे आवाज़ लगाई पर राधा चली गई।
","श्याम ने राधा को आवाज़ लगाई पर वह चली गई।
",R:PRON,g,a
"Orig: [0, 1, ['वह']], Cor: [0, 0, []], Type: 'U:PRON'","वह जो अपराध करता है उसे दंड देना चाहिए।
","जो अपराध करता है, उसे दंड देना चाहिए।
",U:PRON,g,a
"Orig: [5, 5, []], Cor: [4, 5, [',']], Type: 'M:PUNCT'","वह जो अपराध करता है उसे दंड देना चाहिए।
","जो अपराध करता है, उसे दंड देना चाहिए।
",M:PUNCT,g,a
"Orig: [2, 3, ['मेरी']], Cor: [2, 3, ['अपनी']], Type: 'R:PRON'","मेरा ध्यान मेरी माँ की ओर था।
","मेरा ध्यान अपनी माँ की ओर था।
",R:PRON,g,a
"Orig: [1, 2, ['मेरी']], Cor: [1, 2, ['अपना']], Type: 'R:PRON'","मैंने मेरी पेन मेरे मित्र को दे दी।
","मैंने अपना पेन अपने मित्र को दे दिया।
",R:PRON,g,a
"Orig: [3, 4, ['मेरे']], Cor: [3, 4, ['अपने']], Type: 'R:PRON'","मैंने मेरी पेन मेरे मित्र को दे दी।
","मैंने अपना पेन अपने मित्र को दे दिया।
",R:PRON,g,a
"Orig: [7, 8, ['दी']], Cor: [7, 8, ['दिया']], Type: 'R:OTHER'","मैंने मेरी पेन मेरे मित्र को दे दी।
","मैंने अपना पेन अपने मित्र को दे दिया।
",R:VERB,a,a
"Orig: [0, 1, ['इनने']], Cor: [0, 1, ['इन्होंने']], Type: 'R:MORPH'","इनने आपका घर देखा है।
","इन्होंने आपका घर देखा है।
",R:PRON,b,a
"Orig: [0, 1, ['वह']], Cor: [0, 1, ['वे']], Type: 'R:PRON'","वह अच्छे आदमी नहीं हैं।
","वे अच्छे आदमी नहीं हैं।
",R:PRON,g,a
"Orig: [1, 2, ['तुम्हारे']], Cor: [1, 2, ['अपने']], Type: 'R:PRON'","तुम तुम्हारे घर जाओ।
","तुम अपने घर जाओ।
",R:PRON,g,a
"Orig: [1, 3, ['तेरे', 'को']], Cor: [1, 2, ['तुझसे']], Type: 'R:PRON'","मैंने तेरे को कितनी बार कहा।
","मैंने तुझसे कितनी बार कहा।
",R:PRON,g,a
"Orig: [0, 1, ['हमारे']], Cor: [0, 1, ['अपने']], Type: 'R:PRON'","हमारे राष्ट्र में भ्रष्यचार देखकर मुझे बड़ा दुख होता है।
","अपने राष्ट्र में भ्रष्यचार देखकर मुझे बड़ा दुख होता है।
",R:PRON,g,a
"Orig: [2, 5, ['जो', 'है', 'वह']], Cor: [2, 2, []], Type: 'U:PRON'","यह उपन्यास जो है वह प्रेमचंद का लिखा हुआ है।
","यह उपन्यास प्रेमचंद का लिखा हुआ है।
",U:PRON,g,a
"Orig: [2, 3, ['तुमसे']], Cor: [2, 5, ['तुम्हारी', 'साड़ी', 'से']], Type: 'R:PRON'","मेरी साड़ी तुमसे अच्छी है।
","मेरी साड़ी तुम्हारी साड़ी से अच्छी है।
",R:PRON,g,a
"Orig: [2, 3, ['कौन']], Cor: [2, 3, ['क्या']], Type: 'R:PRON'","दूध में कौन पड़ गया है ?
","दूध में क्या पड़ गया है ?
",R:PRON,g,a
"Orig: [1, 2, ['मेरे']], Cor: [1, 2, ['मेरी']], Type: 'R:PRON-GEN'","तुम मेरे तरफ़ क्यों चले आ रहे हो ?
","तुम मेरी तरफ़ क्यों चले आ रहे हो ?
",R:PRON-GEN,g,a
"Orig: [1, 4, ['जो', 'है', 'उसका']], Cor: [1, 2, ['का']], Type: 'R:OTHER'","धर्म जो है उसका पालन करो।
","धर्म का पालन करो।
",R:PRON,a,a
"Orig: [3, 3, []], Cor: [3, 4, ['से']], Type: 'M:ADP'","जो लोग बाढ़ पीड़ित हैं, उसके परिवारों को सहायता देना सरकार का दायित्व है।
","जो लोग बाढ़ से पीड़ित हैं, उनके परिवारों को सहायता देना सरकार का दायित्व है।
",M:ADP,g,a
"Orig: [6, 7, ['उसके']], Cor: [7, 8, ['उनके']], Type: 'R:PRON'","जो लोग बाढ़ पीड़ित हैं, उसके परिवारों को सहायता देना सरकार का दायित्व है।
","जो लोग बाढ़ से पीड़ित हैं, उनके परिवारों को सहायता देना सरकार का दायित्व है।
",R:PRON,g,a
"Orig: [0, 2, ['मेरे', 'को']], Cor: [0, 1, ['मुझे']], Type: 'R:OTHER'","मेरे को आपका काम बहुत पसंद है।
","मुझे आपका काम बहुत पसंद है।
",R:PRON,b,a
"Orig: [0, 2, ['अपने', 'को']], Cor: [0, 1, ['मुझे']], Type: 'R:PRON'","अपने को यहाँ से जाने की कोई जल्दी नहीं है।
","मुझे यहाँ से जाने की कोई जल्दी नहीं है।
",R:PRON,g,a
"Orig: [2, 3, ['कौन']], Cor: [2, 3, ['कुछ']], Type: 'R:PRON'","चाय में कौन गिर गया है।
","चाय में कुछ गिर गया है।
",R:PRON,g,a
"Orig: [0, 2, ['मेरे', 'को']], Cor: [0, 1, ['मुझे']], Type: 'R:OTHER'","मेरे को कपड़े सिलवाने हैं।
","मुझे कपड़े सिलवाने हैं।
",R:PRON,b,a
"Orig: [1, 3, ['निज', 'में']], Cor: [1, 2, ['स्वयं']], Type: 'R:OTHER'","मैं निज में वहाँ जाना चाहता हूँ।
","मैं स्वयं वहाँ जाना चाहता हूँ।
",R:PRON,a,a
