,Proposed Edit,Incorrect Sentence,Correct Sentence
0,"Orig: [3, 4, ['उतना']], Cor: [3, 4, ['वैसा']], Type: 'R:PRON'","जैसा करोगे, उतना ही भरोगे।
","जैसा करोगे, वैसा ही भरोगे।
"
1,"Orig: [1, 2, ['बड़ा']], Cor: [1, 2, ['बहुत']], Type: 'R:OTHER'","वह बड़ा चालाक है।
","वह बहुत चालाक है।
"
2,"Orig: [3, 4, ['बड़ा']], Cor: [3, 4, ['घना']], Type: 'R:ADJ'","वहाँ चारों ओर बड़ा अंधकार था।
","वहाँ चारों ओर घना अंधकार था।
"
3,"Orig: [1, 3, ['अवश्य', 'ही']], Cor: [1, 1, []], Type: 'U:OTHER'","वह अवश्य ही मेरे घर आएगा।
","वह मेरे घर अवश्य आएगा।
"
4,"Orig: [5, 5, []], Cor: [3, 4, ['अवश्य']], Type: 'M:OTHER'","वह अवश्य ही मेरे घर आएगा।
","वह मेरे घर अवश्य आएगा।
"
5,"Orig: [2, 3, ['ही']], Cor: [2, 2, []], Type: 'U:OTHER'","वह स्वयं ही अपना काम कर लेगा।
","वह स्वयं अपना काम कर लेगा।
"
6,"Orig: [2, 3, ['अनुरूप']], Cor: [2, 3, ['अनुकूल']], Type: 'R:ADP'","स्वभाव के अनुरूप तुम्हें यह कार्य करना चाहिए।
","स्वभाव के अनुकूल तुम्हें यह कार्य करना चाहिए।
"
7,"Orig: [2, 3, ['सर्वस्व']], Cor: [2, 3, ['सर्वत्र']], Type: 'R:ADJ'","देश में सर्वस्व शांति है।
","देश में सर्वत्र शांति है।
"
8,"Orig: [1, 2, ['लगभग']], Cor: [1, 1, []], Type: 'U:OTHER'","उसे लगभग पूरे अंक प्राप्त हुए।
","उसे पूरे अंक प्राप्त हुए।
"
9,"Orig: [1, 2, ['बड़ा']], Cor: [1, 2, ['बहुत']], Type: 'R:OTHER'","वह बड़ा दूर चला गया।
","वह बहुत दूर चला गया।
"
10,"Orig: [1, 2, ['आसानीपूर्वक']], Cor: [1, 3, ['आसानी', 'से']], Type: 'R:OTHER'","उसने आसानीपूर्वक काम समाप्त कर लिया।
","उसने आसानी से काम समाप्त कर लिया।
"
11,"Orig: [2, 3, ['बड़ा']], Cor: [2, 3, ['घना']], Type: 'R:ADJ'","जंगल में बड़ा अंधकार है।
","जंगल में घना अंधकार है।
"
12,"Orig: [5, 7, ['तब', 'भी']], Cor: [5, 7, ['तथापि', 'वह']], Type: 'R:PRON'","यद्यपि वह मेहनती है, तब भी सफलता प्राप्त नहीं करता।
","यद्यपि वह मेहनती है, तथापि वह सफलता प्राप्त नहीं करता।
"
13,"Orig: [3, 4, ['एकमात्र']], Cor: [3, 4, ['केवल']], Type: 'R:OTHER'","मुंबई जाने में एकमात्र दो दिन शेष हैं।
","मुंबई जाने में केवल दो दिन शेष हैं।
"
14,"Orig: [3, 3, []], Cor: [3, 4, ['उतना']], Type: 'M:OTHER'","जितना गुड़ डालोगे वही मीठा होगा।
","जितना गुड़ डालोगे उतना ही मीठा होगा।
"
15,"Orig: [3, 4, ['वही']], Cor: [4, 5, ['ही']], Type: 'R:OTHER'","जितना गुड़ डालोगे वही मीठा होगा।
","जितना गुड़ डालोगे उतना ही मीठा होगा।
"
16,"Orig: [4, 5, ['तब']], Cor: [4, 5, ['तो']], Type: 'R:OTHER'",यदि परिश्रम से पढ़ोगे तब अच्छे अंक प्राप्त करोगे।,यदि परिश्रम से पढ़ोगे तो अच्छे अंक प्राप्त करोगे।
