,Proposed Edit InHerrant,Proposed Edit Ankur's Errant,Incorrect Sentence,Correct Sentence,True Label (Multi-Class),"Edit Quality (g,b,a)","Edit Extraction Quality (a,b)",True Label Before (Multi-Class),InHerrant Annotation Correct,"Edit Quality (g,b,a) Ankur",Ankur Annotation Correct
0,"Orig: [2, 3, ['दवाब']], Cor: [2, 3, ['दबाव']], Type: 'R:NOUN'","Orig: [2, 3, ['दवाब']], Cor: [2, 3, ['दबाव']], Type: 'R:NOUN'","वह मुझपर दवाब बना रहा है।
","वह मुझपर दबाव बना रहा है।
",R:NOUN,g,a,R:SPELL,NO,g,NO
1,"Orig: [2, 3, ['प्रशाद']], Cor: [2, 3, ['प्रसाद']], Type: 'R:SPELL'","Orig: [2, 3, ['प्रशाद']], Cor: [2, 3, ['प्रसाद']], Type: 'R:SPELL'","मंदिर में प्रशाद बट रहा है।
","मंदिर में प्रसाद बट रहा है।
",R:SPELL,g,a,R:SPELL,YES,g,NO
2,"Orig: [2, 3, ['नास']], Cor: [2, 3, ['नाश']], Type: 'R:NOUN'","Orig: [2, 3, ['नास']], Cor: [2, 3, ['नाश']], Type: 'R:NOUN'","पाप का नास ज़रूर होगा। 
","पाप का नाश ज़रूर होगा।
",R:NOUN,g,a,R:SPELL,NO,g,NO
3,"Orig: [1, 2, ['प्रान']], Cor: [1, 2, ['प्राण']], Type: 'R:SPELL'","Orig: [1, 2, ['प्रान']], Cor: [1, 2, ['प्राण']], Type: 'R:SPELL'","उसके प्रान निकल गए।
","उसके प्राण निकल गए।
",R:SPELL,g,a,R:SPELL,YES,g,NO
4,"Orig: [1, 2, ['उदाहरन']], Cor: [1, 2, ['उदाहरण']], Type: 'R:SPELL'","Orig: [1, 2, ['उदाहरन']], Cor: [1, 2, ['उदाहरण']], Type: 'R:SPELL'","इसका उदाहरन दो।
","इसका उदाहरण दो।
",R:SPELL,g,a,R:SPELL,YES,g,NO
5,"Orig: [2, 4, ['दो', '।']], Cor: [2, 3, ['दो।']], Type: 'R:ORTH'","Orig: [2, 4, ['दो', '।']], Cor: [2, 3, ['दो।']], Type: 'R:ORTH'","इसका उदाहरन दो।
","इसका उदाहरण दो।
",R:ORTH,g,a,R:ORTH,YES,g,NO
6,"Orig: [2, 3, ['प्रमान']], Cor: [2, 3, ['प्रमाण']], Type: 'R:NOUN'","Orig: [2, 3, ['प्रमान']], Cor: [2, 3, ['प्रमाण']], Type: 'R:SPELL'","क़ानून को प्रमान चाहिए।
","क़ानून को प्रमाण चाहिए।
",R:NOUN,g,a,R:SPELL,NO,g,NO
7,"Orig: [2, 3, ['आर्शीवाद']], Cor: [2, 3, ['आशीर्वाद']], Type: 'R:SPELL'","Orig: [2, 3, ['आर्शीवाद']], Cor: [2, 3, ['आशीर्वाद']], Type: 'R:NOUN'","उसे मेरा आर्शीवाद देना।
","उसे मेरा आशीर्वाद देना।
",R:SPELL,g,a,R:SPELL,YES,g,NO
8,"Orig: [2, 3, ['बहिन']], Cor: [2, 3, ['बहन']], Type: 'R:NOUN'","Orig: [2, 3, ['बहिन']], Cor: [2, 3, ['बहन']], Type: 'R:NOUN'","वह अपनी बहिन के पास गया।
","वह अपनी बहन के पास गया।
",R:NOUN,g,a,R:SPELL,NO,g,NO
9,"Orig: [0, 1, ['दिवाली']], Cor: [0, 1, ['दीवाली']], Type: 'R:OTHER'","Orig: [0, 1, ['दिवाली']], Cor: [0, 1, ['दीवाली']], Type: 'R:PROPN'","दिवाली का उत्सव है।
","दीवाली का उत्सव है।
",R:OTHER,g,a,R:SPELL,NO,g,NO
10,"Orig: [1, 2, ['दिवार']], Cor: [1, 2, ['दीवार']], Type: 'R:SPELL'","Orig: [1, 2, ['दिवार']], Cor: [1, 2, ['दीवार']], Type: 'R:NOUN'","उस दिवार पे एक चित्र है।
","उस दीवार पे एक चित्र है।
",R:SPELL,g,a,R:SPELL,YES,g,NO
11,"Orig: [2, 3, ['महिने']], Cor: [2, 3, ['महीने']], Type: 'R:NOUN'","Orig: [2, 3, ['महिने']], Cor: [2, 3, ['महीने']], Type: 'R:NOUN'","जून के महिने में गर्मी होती है।
","जून के महीने में गर्मी होती है।
",R:NOUN,g,a,R:SPELL,NO,g,NO
12,"Orig: [1, 2, ['चाकु']], Cor: [1, 2, ['चाकू']], Type: 'R:SPELL'","Orig: [1, 2, ['चाकु']], Cor: [1, 2, ['चाकू']], Type: 'R:SPELL'","यह चाकु बहुत तेज़ है।
","यह चाकू बहुत तेज़ है।
",R:SPELL,g,a,R:SPELL,YES,g,NO
13,"Orig: [0, 1, ['गुरू']], Cor: [0, 1, ['गुरु']], Type: 'R:NOUN'","Orig: [0, 1, ['गुरू']], Cor: [0, 1, ['गुरु']], Type: 'R:MORPH'","गुरू के चरण पकड़ो।
","गुरु के चरण पकड़ो।
",R:NOUN,g,a,R:SPELL,NO,g,NO
14,"Orig: [1, 2, ['मुंह']], Cor: [1, 2, ['मुँह']], Type: 'R:NOUN'","Orig: [1, 2, ['मुंह']], Cor: [1, 2, ['मुँह']], Type: 'R:NOUN:INFL'","उसके मुंह में कुछ है।
","उसके मुँह में कुछ है।
",R:NOUN,g,a,R:SPELL,NO,g,NO
15,"Orig: [7, 7, []], Cor: [7, 8, ['।']], Type: 'M:PUNCT'","Orig: [7, 7, []], Cor: [7, 8, ['।']], Type: 'M:PUNCT'","मैंने आज बहुत अच्छा खाना खाया था
","मैंने आज बहुत अच्छा खाना खाया था।
",M:PUNCT,g,a,M:PUNCT,YES,g,NO
16,"Orig: [4, 4, []], Cor: [4, 5, [',']], Type: 'M:PUNCT'","Orig: [4, 4, []], Cor: [4, 5, [',']], Type: 'M:PUNCT'","राकेश आपनी सारी सम्पति भूमि और मन-मर्यादा खो गया
","राकेश आपनी सारी सम्पति, भूमि और मन-मर्यादा खो गया।
",M:PUNCT,g,a,M:PUNCT,YES,g,NO
