,Incorrect Sentence,Correct Sentence,Proposed Edits
0,"ऐसी पुस्तक सुंदर नहीं देखी।
","ऐसी सुंदर पुस्तक नहीं देखी।
","[""Orig: [1, 2, ['पुस्तक']], Cor: [1, 2, ['सुंदर']], Type: 'R:'"", ""Orig: [2, 3, ['सुंदर']], Cor: [2, 3, ['पुस्तक']], Type: 'R:'""]"
1,"बिना पुस्तकों के कैसे पढ़ोगे?
","पुस्तकों के बिना कैसे पढ़ोगे?
","[""Orig: [0, 1, ['बिना']], Cor: [0, 0, []], Type: 'U:'"", ""Orig: [3, 3, []], Cor: [2, 3, ['बिना']], Type: 'M:'""]"
2,"गहरी आगे एक झील मिलेगी।
","आगे एक गहरी झील मिलेगी।
","[""Orig: [0, 1, ['गहरी']], Cor: [0, 0, []], Type: 'U:'"", ""Orig: [3, 3, []], Cor: [2, 3, ['गहरी']], Type: 'M:'""]"
3,"एक गिलास पानी से भरा लाओ।
","पानी से भरा एक गिलास लाओ।
","[""Orig: [0, 2, ['एक', 'गिलास']], Cor: [0, 0, []], Type: 'U:'"", ""Orig: [5, 5, []], Cor: [3, 5, ['एक', 'गिलास']], Type: 'M:'""]"
4,"वह पक्का ईश्वर का पुजारी है।
","वह ईश्वर का पक्का पुजारी है।
","[""Orig: [1, 2, ['पक्का']], Cor: [1, 1, []], Type: 'U:'"", ""Orig: [4, 4, []], Cor: [3, 4, ['पक्का']], Type: 'M:'""]"
5,"जंगली किसान के खेत में जानवर आ गए।
","किसान के खेत में जंगली जानवर आ गए।
","[""Orig: [0, 1, ['जंगली']], Cor: [0, 0, []], Type: 'U:'"", ""Orig: [5, 5, []], Cor: [4, 5, ['जंगली']], Type: 'M:'""]"
6,"यहाँ ताजा गाय का दूध मिलता है।
","यहाँ गाय का ताजा दूध मिलता है।
","[""Orig: [1, 2, ['ताजा']], Cor: [1, 1, []], Type: 'U:'"", ""Orig: [4, 4, []], Cor: [3, 4, ['ताजा']], Type: 'M:'""]"
7,"वह पागल हाथी हो गया है।
","वह हाथी पागल हो गया है।
","[""Orig: [1, 2, ['पागल']], Cor: [1, 2, ['हाथी']], Type: 'R:'"", ""Orig: [2, 3, ['हाथी']], Cor: [2, 3, ['पागल']], Type: 'R:'""]"
8,"खरगोश को काटकर गाजर खिलाओ।
","गाजर काटकर खरगोश को खिलाओ।
","[""Orig: [0, 1, ['खरगोश']], Cor: [0, 1, ['गाजर']], Type: 'R:'"", ""Orig: [1, 2, ['को']], Cor: [1, 2, ['काटकर']], Type: 'R:'"", ""Orig: [2, 3, ['काटकर']], Cor: [2, 3, ['खरगोश']], Type: 'R:'"", ""Orig: [3, 4, ['गाजर']], Cor: [3, 4, ['को']], Type: 'R:'""]"
9,"मुझे एक गरमागरम कप चाय देना।
","मुझे एक कप गरमागरम चाय देना।
","[""Orig: [2, 3, ['गरमागरम']], Cor: [2, 3, ['कप']], Type: 'R:'"", ""Orig: [3, 4, ['कप']], Cor: [3, 4, ['गरमागरम']], Type: 'R:'""]"
10,"गरम गाय का दूध स्वास्थ्यवर्धक होता है।
","गाय का गरम दूध स्वास्थ्यवर्धक होता है।
","[""Orig: [0, 1, ['गरम']], Cor: [0, 0, []], Type: 'U:'"", ""Orig: [3, 3, []], Cor: [2, 3, ['गरम']], Type: 'M:'""]"
11,"यहाँ मुफ़्त गरीबों का इलाज होता है।
","यहाँ गरीबों का मुफ़्त इलाज होता है।
","[""Orig: [1, 2, ['मुफ़्त']], Cor: [1, 1, []], Type: 'U:'"", ""Orig: [4, 4, []], Cor: [3, 4, ['मुफ़्त']], Type: 'M:'""]"
12,"सफलता तुम्हें परिश्रम से मिलेगी।
","तुम्हें परिश्रम से सफलता मिलेगी।
","[""Orig: [0, 1, ['सफलता']], Cor: [0, 0, []], Type: 'U:'"", ""Orig: [4, 4, []], Cor: [3, 4, ['सफलता']], Type: 'M:'""]"
13,"मुझे एक फूलों का हार देना।
","मुझे फूलों का एक हार देना।
","[""Orig: [1, 2, ['एक']], Cor: [1, 1, []], Type: 'U:'"", ""Orig: [4, 4, []], Cor: [3, 4, ['एक']], Type: 'M:'""]"
14,"बच्चे को काटकर फल खिलाओ।
","'फल काटकर बच्चे को खिलाओ।
","['Orig: [0, 1, [\'बच्चे\']], Cor: [0, 1, [""\'""]], Type: \'R:\'', ""Orig: [1, 2, ['को']], Cor: [1, 2, ['फल']], Type: 'R:'"", ""Orig: [3, 4, ['फल']], Cor: [3, 5, ['बच्चे', 'को']], Type: 'R:'""]"
15,"सरदार पटेल का देश सदा आभारी रहेगा।
",देश सरदार पटेल का सदा आभारी रहेगा।,"[""Orig: [0, 0, []], Cor: [0, 1, ['देश']], Type: 'M:'"", ""Orig: [3, 4, ['देश']], Cor: [4, 4, []], Type: 'U:'""]"
