,Incorrect Sentence,Correct Sentence,Proposed Edits
0,"चाए में कौन गिर गया है ।
","चाए में कुछ गिर गया है ।
","[""Orig: [2, 3, ['कौन']], Cor: [2, 3, ['कुछ']], Type: 'R:'""]"
1,"मेरे को कपड़े सिलवाने है ।
","मुझे कपड़े सिलवाने है ।
","[""Orig: [0, 2, ['मेरे', 'को']], Cor: [0, 1, ['मुझे']], Type: 'R:'""]"
2,"मैं निज में वहाँ जाना चाहता हूँ ।
","मैं स्वयं वहाँ जाना चाहता हूँ ।
","[""Orig: [1, 3, ['निज', 'में']], Cor: [1, 2, ['स्वयं']], Type: 'R:'""]"
3,"यह अच्छे फल नहीं है।
","ये अच्छे फल नहीं है।
","[""Orig: [0, 1, ['यह']], Cor: [0, 1, ['ये']], Type: 'R:'""]"
4,"तुम तुम्हारी पुस्तक ले आओ ।
","तुम अपनी पुस्तक ले आओ ।
","[""Orig: [1, 2, ['तुम्हारी']], Cor: [1, 2, ['अपनी']], Type: 'R:'""]"
5,"मैंने निबंध लिखना है ।
","मुझे निबंध लिखना है ।
","[""Orig: [0, 1, ['मैंने']], Cor: [0, 1, ['मुझे']], Type: 'R:'""]"
6,"राम और राम का पुत्र बाज़ार गए ।
","राम और उसका पुत्र बाज़ार गए ।
","[""Orig: [2, 4, ['राम', 'का']], Cor: [2, 3, ['उसका']], Type: 'R:'""]"
7,"वह आप-आप चलता जा रहा है।
","वह अपने आप चलता जा रहा है।
","[""Orig: [1, 2, ['आप-आप']], Cor: [1, 3, ['अपने', 'आप']], Type: 'R:'""]"
8,"वह जो पुस्तक है वह गोपाल की है ।
","वह पुस्तक गोपाल की है ।
","[""Orig: [1, 2, ['जो']], Cor: [1, 1, []], Type: 'U:'"", ""Orig: [3, 5, ['है', 'वह']], Cor: [2, 2, []], Type: 'U:'""]"
9,उसके आँखों से आंसू निकल पड़ा ।,उसकी आँखों से आंसू निकल पड़ा ।,"[""Orig: [0, 1, ['उसके']], Cor: [0, 1, ['उसकी']], Type: 'R:'""]"
