Proposed Edit InHerrant,Proposed Edit Ankur's Errant,Incorrect Sentence,Correct Sentence,True Label (Multi-Class),"Edit Quality (g,b,a)","Edit Extraction Quality (a,b)",True Label Before (Multi-Class),"Edit Quality Before (g,b,a)","Edit Extraction Quality Before(a,b)"
"Orig: [4, 5, ['गया']], Cor: [4, 5, ['गए']], Type: 'R:VERB-NUM'","Orig: [4, 5, ['गया']], Cor: [4, 5, ['गए']], Type: 'R:VERB:INFL'","उन्हें दो रन मिल गया।
","उन्हें दो रन मिल गए।
",,,,R:VERB-NUM,g,a
"Orig: [3, 4, ['होता']], Cor: [3, 4, ['होते']], Type: 'R:VERB-NUM'","Orig: [3, 4, ['होता']], Cor: [3, 4, ['होते']], Type: 'R:VERB:INFL'","इसमें पैसे खर्च होता है।
","इसमें पैसे खर्च होते हैं।
",,,,R:VERB-NUM,g,a
"Orig: [4, 5, ['है']], Cor: [4, 5, ['हैं']], Type: 'R:VERB-NUM'","Orig: [4, 5, ['है']], Cor: [4, 5, ['हैं']], Type: 'R:VERB:INFL'","इसमें पैसे खर्च होता है।
","इसमें पैसे खर्च होते हैं।
",,,,R:VERB-NUM,g,a
"Orig: [4, 5, ['गई']], Cor: [4, 5, ['गया']], Type: 'R:VERB-GEN'","Orig: [4, 5, ['गई']], Cor: [4, 5, ['गया']], Type: 'R:VERB:INFL'","लगता है मानसून आ गई।
","लगता है मानसून आ गया।
",,,,R:VERB-GEN,g,a
"Orig: [4, 5, ['रही']], Cor: [4, 5, ['रहे']], Type: 'R:VERB-GEN'","Orig: [4, 5, ['रही']], Cor: [4, 5, ['रहे']], Type: 'R:VERB:INFL'","लड़के और लड़कियाँ पढ़ रही हैं।
","लड़के और लड़कियाँ पढ़ रहे हैं।
",,,,R:VERB-GEN,g,a
"Orig: [4, 5, ['आँख']], Cor: [4, 5, ['आँखें']], Type: 'R:NOUN-NUM'","Orig: [4, 5, ['आँख']], Cor: [4, 5, ['आँखें']], Type: 'R:NOUN:INFL'","रामचरितमानस पढ़कर पाठक की आँख खुल गई।
","रामचरितमानस पढ़कर पाठक की आँखें खुल गईं।
",,,,R:NOUN-NUM,g,a
"Orig: [6, 7, ['गई']], Cor: [6, 7, ['गईं']], Type: 'R:VERB-NUM'","Orig: [6, 7, ['गई']], Cor: [6, 7, ['गईं']], Type: 'R:VERB:INFL'","रामचरितमानस पढ़कर पाठक की आँख खुल गई।
","रामचरितमानस पढ़कर पाठक की आँखें खुल गईं।
",,,,R:VERB-NUM,g,a
"Orig: [2, 3, ['आँख']], Cor: [2, 3, ['आँखों']], Type: 'R:NOUN-NUM'","Orig: [2, 3, ['आँख']], Cor: [2, 3, ['आँखों']], Type: 'R:NOUN:INFL'","सीता की आँख से आँसू बह रहा है।
","सीता की आँखों से आँसू बह रहे हैं।
",,,,R:NOUN-NUM,g,a
"Orig: [6, 7, ['रहा']], Cor: [6, 7, ['रहे']], Type: 'R:VERB-NUM'","Orig: [6, 7, ['रहा']], Cor: [6, 7, ['रहे']], Type: 'R:VERB:INFL'","सीता की आँख से आँसू बह रहा है।
","सीता की आँखों से आँसू बह रहे हैं।
",,,,R:VERB-NUM,g,a
"Orig: [7, 8, ['है']], Cor: [7, 8, ['हैं']], Type: 'R:VERB-NUM'","Orig: [7, 8, ['है']], Cor: [7, 8, ['हैं']], Type: 'R:VERB:INFL'","सीता की आँख से आँसू बह रहा है।
","सीता की आँखों से आँसू बह रहे हैं।
",,,,R:VERB-NUM,g,a
"Orig: [0, 1, ['अनेकों']], Cor: [0, 1, ['अनेक']], Type: 'R:DET'","Orig: [0, 1, ['अनेकों']], Cor: [0, 1, ['अनेक']], Type: 'R:SPELL'","अनेकों स्त्री-पुरुष वहाँ आए थे।
","अनेक स्त्री-पुरुष वहाँ आए थे।
",,,,R:ADJ-NUM,a,a
"Orig: [2, 3, ['जोड़ा']], Cor: [2, 3, ['जोड़े']], Type: 'R:SPELL'","Orig: [2, 3, ['जोड़ा']], Cor: [2, 3, ['जोड़े']], Type: 'R:VERB:INFL'","उन्होंने हाथ जोड़ा।
","उन्होंने हाथ जोड़े।
",,,,R:VERB-NUM,g,a
