Proposed Edit InHerrant,Proposed Edit Ankur's Errant,Incorrect Sentence,Correct Sentence,True Label (Multi-Class),"Edit Quality (g,b,a)","Edit Extraction Quality (a,b)",True Label Before (Multi-Class),"Edit Quality Before (g,b,a)","Edit Extraction Quality Before(a,b)"
"Orig: [3, 4, ['उतना']], Cor: [3, 4, ['वैसा']], Type: 'R:OTHER'","Orig: [3, 4, ['उतना']], Cor: [3, 4, ['वैसा']], Type: 'R:OTHER'","जैसा करोगे, उतना ही भरोगे।
","जैसा करोगे, वैसा ही भरोगे।
",,,,R:PRON,g,a
"Orig: [1, 2, ['बड़ा']], Cor: [1, 2, ['बहुत']], Type: 'R:OTHER'","Orig: [1, 2, ['बड़ा']], Cor: [1, 2, ['बहुत']], Type: 'R:OTHER'","वह बड़ा चालाक है।
","वह बहुत चालाक है।
",,,,R:ADV,g,a
"Orig: [3, 4, ['बड़ा']], Cor: [3, 4, ['घना']], Type: 'R:ADJ'","Orig: [3, 4, ['बड़ा']], Cor: [3, 4, ['घना']], Type: 'R:ADJ'","वहाँ चारों ओर बड़ा अंधकार था।
","वहाँ चारों ओर घना अंधकार था।
",,,,R:ADV,b,a
"Orig: [1, 3, ['अवश्य', 'ही']], Cor: [1, 1, []], Type: 'U:OTHER'","Orig: [1, 3, ['अवश्य', 'ही']], Cor: [1, 1, []], Type: 'U:OTHER'","वह अवश्य ही मेरे घर आएगा।
","वह मेरे घर अवश्य आएगा।
",,,,U:OTHER,g,a
"Orig: [5, 5, []], Cor: [3, 4, ['अवश्य']], Type: 'M:ADV'","Orig: [5, 5, []], Cor: [3, 4, ['अवश्य']], Type: 'M:RB'","वह अवश्य ही मेरे घर आएगा।
","वह मेरे घर अवश्य आएगा।
",,,,M:ADV,g,a
"Orig: [2, 3, ['ही']], Cor: [2, 2, []], Type: 'U:OTHER'","Orig: [2, 3, ['ही']], Cor: [2, 2, []], Type: 'U:RP'","वह स्वयं ही अपना काम कर लेगा।
","वह स्वयं अपना काम कर लेगा।
",,,,U:OTHER,g,a
"Orig: [2, 3, ['अनुरूप']], Cor: [2, 3, ['अनुकूल']], Type: 'R:ADP'","Orig: [2, 3, ['अनुरूप']], Cor: [2, 3, ['अनुकूल']], Type: 'R:ADP'","स्वभाव के अनुरूप तुम्हें यह कार्य करना चाहिए।
","स्वभाव के अनुकूल तुम्हें यह कार्य करना चाहिए।
",,,,R:ADV,a,a
"Orig: [2, 3, ['सर्वस्व']], Cor: [2, 3, ['सर्वत्र']], Type: 'R:ADJ'","Orig: [2, 3, ['सर्वस्व']], Cor: [2, 3, ['सर्वत्र']], Type: 'R:ADJ'","देश में सर्वस्व शांति है।
","देश में सर्वत्र शांति है।
",,,,R:ADJ,g,a
"Orig: [1, 2, ['लगभग']], Cor: [1, 1, []], Type: 'U:OTHER'","Orig: [1, 2, ['लगभग']], Cor: [1, 1, []], Type: 'U:RP'","उसे लगभग पूरे अंक प्राप्त हुए।
","उसे पूरे अंक प्राप्त हुए।
",,,,U:ADV,b,a
"Orig: [1, 2, ['बड़ा']], Cor: [1, 2, ['बहुत']], Type: 'R:OTHER'","Orig: [1, 2, ['बड़ा']], Cor: [1, 2, ['बहुत']], Type: 'R:OTHER'","वह बड़ा दूर चला गया।
","वह बहुत दूर चला गया।
",,,,R:ADV,b,a
