,Proposed Edit InHerrant,Incorrect Sentence,Correct Sentence,True Label Before (Multi-Class),True Label (Multi-Class),"Edit Quality (g,b,a)","Edit Extraction Quality (a,b)",InHerrant Annotation Correct
0,"Orig: [5, 5, []], Cor: [5, 6, ['एक']], Type: 'M:ADJ'","राधा केलिए एक व्याकरण की पुस्तक ले आना।
","राधा के लिए व्याकरण की एक पुस्तक ले आना।
",g,M:ADJ,a,g,NO
1,"Orig: [2, 2, []], Cor: [2, 3, [""'""]], Type: 'M:PUNCT'","प्रस्तुत पंक्तियाँ सरोज स्मृति से ली हैं।
","प्रस्तुत पंक्तियाँ 'सरोज स्मृति' से ली गयी हैं।
",g,M:PUNCT,a,g,NO
2,"Orig: [4, 4, []], Cor: [5, 6, [""'""]], Type: 'M:PUNCT'","प्रस्तुत पंक्तियाँ सरोज स्मृति से ली हैं।
","प्रस्तुत पंक्तियाँ 'सरोज स्मृति' से ली गयी हैं।
",g,M:PUNCT,a,g,NO
3,"Orig: [6, 6, []], Cor: [8, 9, ['गयी']], Type: 'M:VERB-TENSE'","प्रस्तुत पंक्तियाँ सरोज स्मृति से ली हैं।
","प्रस्तुत पंक्तियाँ 'सरोज स्मृति' से ली गयी हैं।
",g,M:VERB-TENSE,a,g,NO
4,"Orig: [12, 12, []], Cor: [12, 13, ['गया']], Type: 'M:VERB-TENSE'","प्रयोग के आधार पर अंग्रेजी शब्दों को दो भागों में विभक्त किया है।
","प्रयोग के आधार पर अंग्रेजी शब्दों को दो भागों में विभक्त किया गया है।
",g,M:VERB-TENSE,a,g,NO
5,"Orig: [6, 6, []], Cor: [6, 7, ['गया']], Type: 'M:VERB-TENSE'","पुलिस ने डाकुओं का पीछा किया।
","पुलिस द्वारा डाकुओं का पीछा किया गया।
",g,M:VERB-TENSE,a,g,NO
6,"Orig: [4, 5, ['लिखाया']], Cor: [4, 5, ['लिखवाया']], Type: 'R:VERB'","अध्यापक ने हमसे लेख लिखाया।
","अध्यापक ने हमसे लेख लिखवाया।
",a,R:VERB,a,g,NO
7,"Orig: [11, 11, []], Cor: [11, 12, ['गया']], Type: 'M:VERB-TENSE'","रचना के आधार पर वाकयों को चार भागों में विभकक्‍त किया है। 
","रचना के आधार पर वाक्यों को चार भागों में विभक्त किया गया है।
",g,M:VERB-TENSE,a,g,NO
8,"Orig: [7, 8, ['अवश्य']], Cor: [7, 7, []], Type: 'U:ADV'","इसमें सन्देह है कि वह परीक्षा में अवश्य पास हो सकेगा।
","इसमें सन्देह है कि वह परीक्षा में पास हो पाएगा।
",g,U:ADV,a,g,NO
9,"Orig: [1, 2, ['केवल']], Cor: [1, 1, []], Type: 'U:OTHER'","वह केवल नाम्मात्र का खिलाड़ी है।
","वह नाममात्र का खिलाड़ी है।
",b,U:OTHER,a,b,NO
