,Proposed Edit,Incorrect Sentence,Correct Sentence,True Label (Multi-Class),"Edit Quality (g,b,a)","Edit Extraction Quality (a,b)"
0,"Orig: [6, 7, ['व्यायाम']], Cor: [6, 7, ['अभ्यास']], Type: 'R:NOUN'","राम आजकल शुद्ध भाषा लिखने का व्यायाम कर रहा है।
","राम आजकल शुद्ध भाषा लिखने का अभ्यास कर रहा है।
",R:NOUN,g,a
1,"Orig: [4, 5, ['घोर']], Cor: [4, 5, ['घनिष्ठ']], Type: 'R:ADJ'","जीवन और साहित्य का घोर संबंध है।
","जीवन और साहित्य का घनिष्ठ संबंध है।
",R:ADJ,g,a
2,"Orig: [5, 6, ['अज्ञान']], Cor: [5, 6, ['अज्ञानता']], Type: 'R:NOUN'","सामाजिक कुरीतियों का एकमात्र कारण अज्ञान है।
","सामाजिक कुरीतियों का एकमात्र कारण अज्ञानता है।
",R:NOUN,g,a
3,"Orig: [0, 1, ['निरपराधी']], Cor: [0, 1, ['निरपराध']], Type: 'R:SPELL'","निरपराधी को दंड देना अनुचित है।
","निरपराध को दंड देना अनुचित है।
",R:NOUN,a,a
4,"Orig: [5, 6, ['प्रदान']], Cor: [5, 6, ['अर्पित']], Type: 'R:ADJ'","विद्यार्थियों ने प्रधानाध्यापक को अभिनंदन-पत्र प्रदान किया।
","विद्यार्थियों ने प्रधानाध्यापक को अभिनंदन-पत्र अर्पित किया।
",R:VERB,b,a
5,"Orig: [4, 5, ['की']], Cor: [4, 5, ['का']], Type: 'R:ADP'","गुलाम अली खाँ गाने की कसरत कर रहे हैं।
","गुलाम अली खाँ गाने का अभ्यास कर रहे हैं।
",R:ADP,g,a
6,"Orig: [5, 6, ['कसरत']], Cor: [5, 6, ['अभ्यास']], Type: 'R:NOUN'","गुलाम अली खाँ गाने की कसरत कर रहे हैं।
","गुलाम अली खाँ गाने का अभ्यास कर रहे हैं।
",R:NOUN,g,a
7,"Orig: [5, 6, ['आभास']], Cor: [5, 6, ['अनुभव']], Type: 'R:NOUN'","कविता पढ़कर उसे आनंद का आभास हुआ।
","कविता पढ़कर उसे आनंद का अनुभव हुआ।
",R:NOUN,g,a
8,"Orig: [1, 2, ['जान']], Cor: [1, 2, ['अनजाने']], Type: 'R:VERB'","मैं जान बूझकर गलती कर बैठा।
","मैं अनजाने में गलती कर बैठा।
",R:OTHER,a,b
9,"Orig: [2, 3, ['बूझकर']], Cor: [2, 3, ['में']], Type: 'R:ADP'","मैं जान बूझकर गलती कर बैठा।
","मैं अनजाने में गलती कर बैठा।
",R:ADP,g,b
10,"Orig: [4, 5, ['रेत']], Cor: [4, 5, ['मिट्टी']], Type: 'R:NOUN'","नदियाँ अपने साथ उपजाऊ रेत लाती हैं।
","नदियाँ अपने साथ उपजाऊ मिट्टी लाती हैं।
",R:NOUN,g,a
11,"Orig: [2, 3, ['इतिहासिक']], Cor: [2, 3, ['ऐतिहासिक']], Type: 'R:ADJ'","यह एक इतिहासिक घटना है।
","यह एक ऐतिहासिक घटना है।
",R:ADJ,g,a
