,Proposed Edit InHerrant,Proposed Edit Ankur's Errant,Incorrect Sentence,Correct Sentence,True Label (Multi-Class),"Edit Quality (g,b,a)","Edit Extraction Quality (a,b)",True Label Before (Multi-Class),InHerrant Annotation Correct,"Edit Quality (g,b,a) Ankur",Ankur Annotation Correct
0,"Orig: [4, 5, ['स्नेही']], Cor: [4, 4, []], Type: 'U:NOUN'","Orig: [4, 5, ['स्नेही']], Cor: [4, 4, []], Type: 'U:NN'","राधा मेरी परम प्रिय स्नेही है।
","राधा मेरी परम प्रिय है।
",U:NOUN,g,a,U:NOUN,YES,g,NO
1,"Orig: [5, 6, ['हितकर']], Cor: [5, 5, []], Type: 'U:ADJ'","Orig: [5, 6, ['हितकर']], Cor: [5, 5, []], Type: 'U:JJ'","नेता को हमेशा जनता के हितकर कल्याण की बातें सोचनी चाहिए।
","नेता को हमेशा जनता के कल्याण की बातें सोचनी चाहिए।
",U:ADJ,g,a,U:ADJ,YES,g,NO
2,"Orig: [4, 6, ['का', 'भार']], Cor: [4, 4, []], Type: 'U:OTHER'","Orig: [4, 6, ['का', 'भार']], Cor: [4, 4, []], Type: 'U:OTHER'","मैं आपका सदैव आभार का भार मानता रहूँगा।
","मैं आपका सदैव आभार मानता रहूँगा।
",U:OTHER,g,a,U:OTHER,YES,g,NO
3,"Orig: [1, 2, ['पधारिए']], Cor: [1, 1, []], Type: 'U:OTHER'","Orig: [1, 2, ['पधारिए']], Cor: [1, 1, []], Type: 'U:NNP'","आइए पधारिए, आपका स्वागत है।
","आइए, आपका स्वागत है।
",U:OTHER,b,a,U:VERB,NO,b,NO
4,"Orig: [3, 4, ['भी']], Cor: [3, 3, []], Type: 'U:OTHER'","Orig: [3, 4, ['भी']], Cor: [3, 3, []], Type: 'U:RP'","तुम्हें वहाँ कभी भी नहीं जाना चाहिए।
","तुम्हें वहाँ कभी नहीं जाना चाहिए।
",U:OTHER,g,a,U:OTHER,YES,g,NO
5,"Orig: [1, 2, ['पानी']], Cor: [1, 1, []], Type: 'U:NOUN'","Orig: [1, 2, ['पानी']], Cor: [1, 1, []], Type: 'U:NN'","मेघ पानी बरसाते हैं।
","मेघ बरसते हैं।
",U:NOUN,g,a,U:NOUN,YES,g,NO
6,"Orig: [2, 3, ['बरसाते']], Cor: [1, 2, ['बरसते']], Type: 'R:VERB'","Orig: [2, 3, ['बरसाते']], Cor: [1, 2, ['बरसते']], Type: 'R:SPELL'","मेघ पानी बरसाते हैं।
","मेघ बरसते हैं।
",R:VERB,a,a,U:VERB,NO,a,NO
7,"Orig: [5, 7, ['देखने', 'योग्य']], Cor: [5, 5, []], Type: 'U:OTHER'","Orig: [5, 7, ['देखने', 'योग्य']], Cor: [5, 5, []], Type: 'U:OTHER'","कश्मीर में कई दर्शनीय स्थल देखने योग्य हैं।
","कश्मीर में कई दर्शनीय स्थल हैं।
",U:OTHER,g,a,U:OTHER,YES,g,NO
8,"Orig: [2, 3, ['गरम']], Cor: [2, 2, []], Type: 'U:ADJ'","Orig: [2, 3, ['गरम']], Cor: [2, 2, []], Type: 'U:JJ'","वह गुनगुने गरम पानी से स्नान करता है।
","वह गुनगुने पानी से स्नान करता है।
",U:ADJ,g,a,U:ADJ,YES,g,NO
9,"Orig: [0, 1, ['आपकी']], Cor: [0, 0, []], Type: 'U:PRON'","Orig: [0, 1, ['आपकी']], Cor: [0, 0, []], Type: 'U:PRP'","आपकी भवदीय।
","भवदीय।
",U:PRON,g,a,U:PRON,YES,g,NO
10,"Orig: [1, 3, ['भवदीय', '।']], Cor: [0, 1, ['भवदीय।']], Type: 'R:ORTH'","Orig: [1, 3, ['भवदीय', '।']], Cor: [0, 1, ['भवदीय।']], Type: 'R:ORTH'","आपकी भवदीय।
","भवदीय।
",R:ORTH,,,,NO,,NO
11,"Orig: [3, 5, ['के', 'बीच']], Cor: [3, 4, ['में']], Type: 'R:ADP'","Orig: [3, 5, ['के', 'बीच']], Cor: [3, 4, ['में']], Type: 'R:MULTI'","पिछले कुछ वर्षों के बीच भारत और पाकिस्तान के हर बीच शत्रुता बढ़ी है।
","पिछले कुछ वर्षों में भारत और पाकिस्तान के बीच शत्रुता बढ़ी है।
",R:ADP,g,a,R:ADP,YES,b,YES
12,"Orig: [9, 10, ['हर']], Cor: [8, 8, []], Type: 'U:DET'","Orig: [9, 10, ['हर']], Cor: [8, 8, []], Type: 'U:QF'","पिछले कुछ वर्षों के बीच भारत और पाकिस्तान के हर बीच शत्रुता बढ़ी है।
","पिछले कुछ वर्षों में भारत और पाकिस्तान के बीच शत्रुता बढ़ी है।
",U:DET,g,a,U:DET,YES,g,NO
