,Proposed Edit,Incorrect Sentence,Correct Sentence
0,"Orig: [4, 5, ['गया']], Cor: [4, 5, ['गए']], Type: 'R:OTHER'","उन्हें दो रन मिल गया।
","उन्हें दो रन मिल गए।
"
1,"Orig: [3, 4, ['होता']], Cor: [3, 4, ['होते']], Type: 'R:OTHER'","इसमें पैसे खर्च होता है।
","इसमें पैसे खर्च होते हैं।
"
2,"Orig: [4, 5, ['है']], Cor: [4, 5, ['हैं']], Type: 'R:OTHER'","इसमें पैसे खर्च होता है।
","इसमें पैसे खर्च होते हैं।
"
3,"Orig: [4, 5, ['गई']], Cor: [4, 5, ['गया']], Type: 'R:OTHER'","लगता है मानसून आ गई।
","लगता है मानसून आ गया।
"
4,"Orig: [4, 5, ['रही']], Cor: [4, 5, ['रहे']], Type: 'R:OTHER'","लड़के और लड़कियाँ पढ़ रही हैं।
","लड़के और लड़कियाँ पढ़ रहे हैं।
"
5,"Orig: [4, 5, ['आँख']], Cor: [4, 5, ['आँखें']], Type: 'R:NOUN-NUM'","रामचरितमानस पढ़कर पाठक की आँख खुल गई।
","रामचरितमानस पढ़कर पाठक की आँखें खुल गईं।
"
6,"Orig: [6, 7, ['गई']], Cor: [6, 7, ['गईं']], Type: 'R:OTHER'","रामचरितमानस पढ़कर पाठक की आँख खुल गई।
","रामचरितमानस पढ़कर पाठक की आँखें खुल गईं।
"
7,"Orig: [2, 3, ['आँख']], Cor: [2, 3, ['आँखों']], Type: 'R:NOUN-NUM'","सीता की आँख से आँसू बह रहा है।
","सीता की आँखों से आँसू बह रहे हैं।
"
8,"Orig: [6, 7, ['रहा']], Cor: [6, 7, ['रहे']], Type: 'R:OTHER'","सीता की आँख से आँसू बह रहा है।
","सीता की आँखों से आँसू बह रहे हैं।
"
9,"Orig: [7, 8, ['है']], Cor: [7, 8, ['हैं']], Type: 'R:OTHER'","सीता की आँख से आँसू बह रहा है।
","सीता की आँखों से आँसू बह रहे हैं।
"
10,"Orig: [0, 1, ['अनेकों']], Cor: [0, 1, ['अनेक']], Type: 'R:OTHER'","अनेकों स्त्री-पुरुष वहाँ आए थे।
","अनेक स्त्री-पुरुष वहाँ आए थे।
"
11,"Orig: [2, 3, ['जोड़ा']], Cor: [2, 3, ['जोड़े']], Type: 'R:OTHER'","उन्होंने हाथ जोड़ा।
","उन्होंने हाथ जोड़े।
"
12,"Orig: [3, 4, ['आएँगे']], Cor: [3, 4, ['आएगा']], Type: 'R:OTHER'","हर एक आदमी आएँगे।
","हर एक आदमी आएगा।
"
13,"Orig: [3, 4, ['सोने']], Cor: [3, 4, ['सोना']], Type: 'R:ADJ'","उनके पास बहुत सोने हैं।
","उनके पास बहुत सोना है।
"
14,"Orig: [4, 5, ['हैं']], Cor: [4, 5, ['है']], Type: 'R:OTHER'","उनके पास बहुत सोने हैं।
","उनके पास बहुत सोना है।
"
15,"Orig: [1, 2, ['पीतले']], Cor: [1, 2, ['पीतल']], Type: 'R:SPELL'","मैंने पीतले खरीदे।
","मैंने पीतल खरीदा।
"
16,"Orig: [2, 3, ['खरीदे']], Cor: [2, 3, ['खरीदा']], Type: 'R:OTHER'","मैंने पीतले खरीदे।
","मैंने पीतल खरीदा।
"
17,"Orig: [2, 3, ['बुरे']], Cor: [2, 3, ['बुरा']], Type: 'R:OTHER'","प्रत्येक चित्र बुरे नहीं होते।
","प्रत्येक चित्र बुरा नहीं होता।
"
18,"Orig: [4, 5, ['होते']], Cor: [4, 5, ['होता']], Type: 'R:OTHER'","प्रत्येक चित्र बुरे नहीं होते।
","प्रत्येक चित्र बुरा नहीं होता।
"
19,"Orig: [6, 8, ['फूलों', 'को']], Cor: [6, 7, ['फूल']], Type: 'R:OTHER'","गुलाब के पौधे पर मैंने कई फूलों को देखा।
","गुलाब के पौधे पर मैंने कई फूल देखे।
"
20,"Orig: [8, 9, ['देखा']], Cor: [7, 8, ['देखे']], Type: 'R:OTHER'","गुलाब के पौधे पर मैंने कई फूलों को देखा।
","गुलाब के पौधे पर मैंने कई फूल देखे।
"
21,"Orig: [1, 2, ['इसका']], Cor: [1, 2, ['इसके']], Type: 'R:PRON'","तुम इसका दाम देते जाओ।
","तुम इसके दाम देते जाओ।
"
