,Proposed Edit,Incorrect Sentence,Correct Sentence
0,"Orig: [6, 7, ['व्यायाम']], Cor: [6, 7, ['अभ्यास']], Type: 'R:NOUN'","राम आजकल शुद्ध भाषा लिखने का व्यायाम कर रहा है।
","राम आजकल शुद्ध भाषा लिखने का अभ्यास कर रहा है।
"
1,"Orig: [4, 5, ['घोर']], Cor: [4, 5, ['घनिष्ठ']], Type: 'R:ADJ'","जीवन और साहित्य का घोर संबंध है।
","जीवन और साहित्य का घनिष्ठ संबंध है।
"
2,"Orig: [5, 6, ['अज्ञान']], Cor: [5, 6, ['अज्ञानता']], Type: 'R:NOUN'","सामाजिक कुरीतियों का एकमात्र कारण अज्ञान है।
","सामाजिक कुरीतियों का एकमात्र कारण अज्ञानता है।
"
3,"Orig: [0, 1, ['निरपराधी']], Cor: [0, 1, ['निरपराध']], Type: 'R:SPELL'","निरपराधी को दंड देना अनुचित है।
","निरपराध को दंड देना अनुचित है।
"
4,"Orig: [5, 6, ['प्रदान']], Cor: [5, 6, ['अर्पित']], Type: 'R:ADJ'","विद्यार्थियों ने प्रधानाध्यापक को अभिनंदन-पत्र प्रदान किया।
","विद्यार्थियों ने प्रधानाध्यापक को अभिनंदन-पत्र अर्पित किया।
"
5,"Orig: [4, 5, ['की']], Cor: [4, 5, ['का']], Type: 'R:ADP'","गुलाम अली खाँ गाने की कसरत कर रहे हैं।
","गुलाम अली खाँ गाने का अभ्यास कर रहे हैं।
"
6,"Orig: [5, 6, ['कसरत']], Cor: [5, 6, ['अभ्यास']], Type: 'R:NOUN'","गुलाम अली खाँ गाने की कसरत कर रहे हैं।
","गुलाम अली खाँ गाने का अभ्यास कर रहे हैं।
"
7,"Orig: [5, 6, ['आभास']], Cor: [5, 6, ['अनुभव']], Type: 'R:NOUN'","कविता पढ़कर उसे आनंद का आभास हुआ।
","कविता पढ़कर उसे आनंद का अनुभव हुआ।
"
8,"Orig: [1, 2, ['जान']], Cor: [1, 2, ['अनजाने']], Type: 'R:VERB'","मैं जान बूझकर गलती कर बैठा।
","मैं अनजाने में गलती कर बैठा।
"
9,"Orig: [2, 3, ['बूझकर']], Cor: [2, 3, ['में']], Type: 'R:ADP'","मैं जान बूझकर गलती कर बैठा।
","मैं अनजाने में गलती कर बैठा।
"
10,"Orig: [4, 5, ['रेत']], Cor: [4, 5, ['मिट्टी']], Type: 'R:NOUN'","नदियाँ अपने साथ उपजाऊ रेत लाती हैं।
","नदियाँ अपने साथ उपजाऊ मिट्टी लाती हैं।
"
11,"Orig: [2, 3, ['इतिहासिक']], Cor: [2, 3, ['ऐतिहासिक']], Type: 'R:ADJ'","यह एक इतिहासिक घटना है।
","यह एक ऐतिहासिक घटना है।
"
12,"Orig: [5, 6, ['कड़ियाँ']], Cor: [5, 6, ['लड़ियाँ']], Type: 'R:SPELL'","उनके गले में मोती की कड़ियाँ हैं।
","उनके गले में मोती की लड़ियाँ हैं।
"
13,"Orig: [4, 5, ['हथकड़ियाँ']], Cor: [4, 5, ['बेड़ियाँ']], Type: 'R:NOUN'","डाकू के पैरों में हथकड़ियाँ हैं।
","डाकू के पैरों में बेड़ियाँ हैं।
"
14,"Orig: [0, 1, ['बेफ़जूल']], Cor: [0, 1, ['फ़जूल']], Type: 'R:SPELL'","बेफ़जूल बात मत करो।
","फ़जूल बात मत करो।
"
15,"Orig: [2, 3, ['शुद्धताई']], Cor: [2, 3, ['शुद्धता']], Type: 'R:SPELL'","लिखने में शुद्धताई बरतो।
","लिखने में शुद्धता बरतो।
"
16,"Orig: [3, 4, ['के']], Cor: [3, 3, []], Type: 'U:ADP'","मैं मिठाई खरीदने के हेतु बाज़ार गई थी।
","मैं मिठाई खरीदने हेतु बाज़ार गई थी।
"
17,"Orig: [3, 4, ['भाई']], Cor: [3, 3, []], Type: 'U:NOUN'","मोहन मेरा अनुज भाई है।
","मोहन मेरा अनुज है।
"
18,"Orig: [2, 3, ['की']], Cor: [2, 3, ['का']], Type: 'R:ADP'","बेकारी समस्या की दवा हमारे पास है।
","बेकारी समस्या का हल हमारे पास है।
"
19,"Orig: [3, 4, ['दवा']], Cor: [3, 4, ['हल']], Type: 'R:NOUN'","बेकारी समस्या की दवा हमारे पास है।
","बेकारी समस्या का हल हमारे पास है।
"
20,"Orig: [4, 5, ['अच्छाई']], Cor: [4, 5, ['विशेषता']], Type: 'R:NOUN'","इस पुस्तक की यही अच्छाई है।
","इस पुस्तक की यही विशेषता है।
"
21,"Orig: [3, 4, ['घोर']], Cor: [3, 4, ['घनिष्ठ']], Type: 'R:ADJ'","राम और मोहन घोर मित्र हैं।
","राम और मोहन घनिष्ठ मित्र हैं।
"
22,"Orig: [2, 5, ['बुनते', 'हुए', 'बना']], Cor: [2, 3, ['बुन']], Type: 'R:VERB-GEN'","मकड़ी जाला बुनते हुए बना रही है।
","मकड़ी जाला बुन रही है।
"
23,"Orig: [5, 6, ['बहन']], Cor: [5, 5, []], Type: 'U:NOUN'","रौनक, किरण की अनुजा बहन है।
","रौनक, किरण की अनुजा है।
"
24,"Orig: [4, 5, ['अच्छाई']], Cor: [4, 5, ['भलाई']], Type: 'R:NOUN'","इसी कार्य में तुम्हारी अच्छाई है।
","इसी कार्य में तुम्हारी भलाई है।
"
25,"Orig: [2, 4, ['करके', 'रोने']], Cor: [2, 3, ['करने']], Type: 'R:VERB:TENSE'","विधवा विलाप करके रोने लगी।
","विधवा विलाप करने लगी।
"
26,"Orig: [0, 1, ['उसके']], Cor: [0, 1, ['उसकी']], Type: 'R:PRON-GEN'","उसके चक्षुओं में दर्द है।
","उसकी आँखों में दर्द है।
"
27,"Orig: [1, 2, ['चक्षुओं']], Cor: [1, 2, ['आँखों']], Type: 'R:NOUN'","उसके चक्षुओं में दर्द है।
","उसकी आँखों में दर्द है।
"
28,"Orig: [1, 2, ['कपड़ा']], Cor: [1, 2, ['कपड़े']], Type: 'R:NOUN-NUM'","चूहा कपड़ा कुतरकर फाड़ दिया।
","चूहा कपड़े कुतर गया।
"
29,"Orig: [2, 5, ['कुतरकर', 'फाड़', 'दिया']], Cor: [2, 4, ['कुतर', 'गया']], Type: 'R:VERB'","चूहा कपड़ा कुतरकर फाड़ दिया।
","चूहा कपड़े कुतर गया।
"
30,"Orig: [0, 2, ['रूपवती', 'सुमन']], Cor: [0, 2, ['सुमन', 'रूपवती']], Type: 'R:WO'","रूपवती सुमन बहुत सुंदर हैं।
","सुमन रूपवती है।
"
31,"Orig: [2, 4, ['बहुत', 'सुंदर']], Cor: [2, 2, []], Type: 'U:ADJ'","रूपवती सुमन बहुत सुंदर हैं।
","सुमन रूपवती है।
"
32,"Orig: [4, 5, ['हैं']], Cor: [2, 3, ['है']], Type: 'R:OTHER'","रूपवती सुमन बहुत सुंदर हैं।
","सुमन रूपवती है।
"
33,"Orig: [4, 5, ['गुलामी']], Cor: [4, 4, []], Type: 'U:NOUN'","यह लोगों की दासता गुलामी का परिणाम है।
","यह लोगों की दासता का परिणाम है।
"
34,"Orig: [2, 3, ['चीर']], Cor: [2, 3, ['वस्त्र']], Type: 'R:NOUN'",महिला अपने चीर धो रही है।,महिला अपने वस्त्र धो रही है।
