,Proposed Edit,Incorrect Sentence,Correct Sentence
0,"Orig: [7, 8, ['समर्पण']], Cor: [7, 8, ['समर्पित']], Type: 'R:ADJ'","मैं तुम्हें श्रद्धा के साथ यह पुस्तक समर्पण करती हूँ।
","मैं तुम्हें श्रद्धा के साथ यह पुस्तक समर्पित करती हूँ।
"
1,"Orig: [7, 8, ['किए']], Cor: [7, 8, ['किया']], Type: 'R:VERB-NUM'","आपने क्या अभी तक काम पूरा नहीं किए हैं ?
","आपने क्या अभी तक काम पूरा नहीं किया है ?
"
2,"Orig: [8, 9, ['हैं']], Cor: [8, 9, ['है']], Type: 'R:VERB:TENSE'","आपने क्या अभी तक काम पूरा नहीं किए हैं ?
","आपने क्या अभी तक काम पूरा नहीं किया है ?
"
3,"Orig: [5, 6, ['करने']], Cor: [5, 6, ['करना']], Type: 'R:VERB:TENSE'","तुम लोगों को यह काम करने चाहिए ?
","तुम लोगों को यह काम करना चाहिए ?
"
4,"Orig: [2, 3, ['रोए']], Cor: [2, 3, ['रोया']], Type: 'R:VERB-NUM'","बच्चों से रोए नहीं जाते।
","बच्चों से रोया नहीं जाता।
"
5,"Orig: [4, 5, ['जाते']], Cor: [4, 5, ['जाता']], Type: 'R:VERB:TENSE'","बच्चों से रोए नहीं जाते।
","बच्चों से रोया नहीं जाता।
"
6,"Orig: [0, 1, ['उसका']], Cor: [0, 1, ['उसके']], Type: 'R:PRON'","उसका प्राण निकल रहा है।
","उसके प्राण निकल रहे हैं।
"
7,"Orig: [3, 4, ['रहा']], Cor: [3, 4, ['रहे']], Type: 'R:VERB:TENSE'","उसका प्राण निकल रहा है।
","उसके प्राण निकल रहे हैं।
"
8,"Orig: [4, 5, ['है']], Cor: [4, 5, ['हैं']], Type: 'R:VERB:TENSE'","उसका प्राण निकल रहा है।
","उसके प्राण निकल रहे हैं।
"
9,"Orig: [3, 4, ['कातना']], Cor: [3, 4, ['चलाना']], Type: 'R:VERB'","हमें प्रतिदिन चरखा कातना चाहिए।
","हमें प्रतिदिन चरखा चलाना चाहिए।
"
10,"Orig: [2, 3, ['को']], Cor: [2, 3, ['से']], Type: 'R:ADP'","लड़के अध्यापक को प्रश्न पूछते हैं।
","लड़के अध्यापक से प्रश्न करते हैं।
"
11,"Orig: [4, 5, ['पूछते']], Cor: [4, 5, ['करते']], Type: 'R:VERB'","लड़के अध्यापक को प्रश्न पूछते हैं।
","लड़के अध्यापक से प्रश्न करते हैं।
"
12,"Orig: [7, 8, ['दौड़']], Cor: [7, 8, ['भाग']], Type: 'R:VERB'","भारतीय वीरों के सामने शत्रु की सेनाएँ दौड़ गह।
","भारतीय वीरों के सामने शत्रु की सेनाएँ भाग गईं।
"
13,"Orig: [8, 9, ['गह']], Cor: [8, 9, ['गईं']], Type: 'R:VERB:TENSE'","भारतीय वीरों के सामने शत्रु की सेनाएँ दौड़ गह।
","भारतीय वीरों के सामने शत्रु की सेनाएँ भाग गईं।
"
14,"Orig: [2, 3, ['विद्वतापूर्ण']], Cor: [2, 3, ['विद्वतापूर्वक']], Type: 'R:SPELL'","यह पुस्तक विद्वतापूर्ण लिखी गई है।
","यह पुस्तक विद्वतापूर्वक लिखी गई है।
"
15,"Orig: [2, 3, ['देने']], Cor: [2, 3, ['पाने']], Type: 'R:VERB'","वह दंड देने के योग्य है।
","वह दंड पाने के योग्य है।
"
16,"Orig: [1, 2, ['का']], Cor: [1, 2, ['की']], Type: 'R:ADP'","छात्रों का सफल होना परिश्रम पर निर्भर करता है।
","छात्रों की सफलता परिश्रम पर निर्भर करती है।
"
17,"Orig: [2, 4, ['सफल', 'होना']], Cor: [2, 3, ['सफलता']], Type: 'R:OTHER'","छात्रों का सफल होना परिश्रम पर निर्भर करता है।
","छात्रों की सफलता परिश्रम पर निर्भर करती है।
"
18,"Orig: [7, 8, ['करता']], Cor: [6, 7, ['करती']], Type: 'R:VERB-GEN'","छात्रों का सफल होना परिश्रम पर निर्भर करता है।
","छात्रों की सफलता परिश्रम पर निर्भर करती है।
"
19,"Orig: [3, 4, ['होता']], Cor: [3, 3, []], Type: 'U:VERB'","क्‍या यह सही होता है ?
","क्‍या यह सही है ?
"
20,"Orig: [3, 4, ['पहन']], Cor: [3, 4, ['ओड़']], Type: 'R:VERB'","आप यह कंबल पहन लें।
","आप यह कंबल ओड़ लें।
"
21,"Orig: [3, 4, ['डाल']], Cor: [3, 4, ['पहन']], Type: 'R:VERB'","जल्दी से कुरता डाल लो।
","जल्दी से कुरता पहन लो।
"
22,"Orig: [4, 5, ['लो।']], Cor: [4, 6, ['लो', '।']], Type: 'R:ORTH'","जल्दी से कुरता डाल लो।
","जल्दी से कुरता पहन लो।
"
23,"Orig: [2, 3, ['बोला']], Cor: [2, 3, ['कहा']], Type: 'R:VERB'","साहब ने बोला कि कल तुम्हारी छुट्टी है।
","साहब ने कहा कि कल तुम्हारी छुट्टी है।
"
24,"Orig: [1, 2, ['निकाल']], Cor: [1, 2, ['उतार']], Type: 'R:VERB'","जूता निकाल दो।
","जूता उतार दो। 
"
25,"Orig: [5, 6, ['आँका']], Cor: [5, 6, ['मापा']], Type: 'R:VERB'","किसी के स्नेह का मूल्य आँका नहीं जा सकता।
","किसी के स्नेह का मूल्य मापा नहीं जा सकता। 
"
26,"Orig: [8, 9, ['दिलाता']], Cor: [8, 9, ['कराता']], Type: 'R:VERB'","15 अगस्त हमें हमारे शहीद सैनिकों का स्मरण दिलाता है।
","15 अगस्त हमें हमारे शहीद सैनिकों का स्मरण कराता है।
"
27,"Orig: [2, 3, ['लेता']], Cor: [2, 3, ['करता']], Type: 'R:VERB'","मैं संकल्प लेता हूँ कि इस वर्ष कड़ी मेहनत करूँगा।
","मैं संकल्प करता हूँ कि इस वर्ष कड़ी मेहनत करूँगा।
"
28,"Orig: [1, 1, []], Cor: [1, 2, [',']], Type: 'M:PUNCT'","सुनिए अंदर चले आओ।
","सुनिए, अंदर चले आइए।
"
29,"Orig: [3, 4, ['आओ।']], Cor: [4, 6, ['आइए', '।']], Type: 'R:OTHER'","सुनिए अंदर चले आओ।
","सुनिए, अंदर चले आइए।
"
30,"Orig: [5, 7, ['हो', 'गई']], Cor: [5, 6, ['कर']], Type: 'R:VERB'","लो, झील भी पार हो गई।
","लो, झील भी पार कर ली।
"
31,"Orig: [7, 8, ['।']], Cor: [6, 7, ['ली।']], Type: 'R:OTHER'","लो, झील भी पार हो गई।
","लो, झील भी पार कर ली।
"
32,"Orig: [4, 5, ['लो।']], Cor: [4, 6, ['लीजिए', '।']], Type: 'R:OTHER'","पिता जी चाय पी लो।
","पिता जी चाय पी लीजिए।
"
33,"Orig: [3, 4, ['पीकर']], Cor: [3, 4, ['खा-पीकर']], Type: 'R:OTHER'","लड्डू और लस्सी पीकर हमने यात्रा की।
","लड्डू और लस्सी खा-पीकर हमने यात्रा की।
"
34,"Orig: [2, 5, ['वह', 'निद्रा', 'ले']], Cor: [2, 4, ['वो', 'सो']], Type: 'R:PRON'","इस समय वह निद्रा ले रहा है।
","इस समय वो सो रहा है।
"
35,"Orig: [4, 5, ['बनी']], Cor: [4, 5, ['बना']], Type: 'R:VERB-GEN'","लालकिला लाल पत्थरों से बनी है।
","लालकिला लाल पत्थरों से बना है।
"
36,"Orig: [2, 3, ['का']], Cor: [2, 3, ['के']], Type: 'R:ADP'","इस प्रश्न का हल करने की आवश्यकता है।
","इस प्रश्न के हल की आवश्यकता है।
"
37,"Orig: [4, 5, ['करने']], Cor: [4, 4, []], Type: 'U:VERB'","इस प्रश्न का हल करने की आवश्यकता है।
","इस प्रश्न के हल की आवश्यकता है।
"
38,"Orig: [4, 5, ['वितरित']], Cor: [4, 5, ['प्रदान']], Type: 'R:NOUN'","उन्हें डॉक्टर की उपाधि वितरित की।
","उन्हें डॉक्टर की उपाधि प्रदान की।
"
39,"Orig: [3, 4, ['माँगों']], Cor: [3, 4, ['माँगिए']], Type: 'R:SPELL'","सवेरे-सवेरे उधार मत माँगों।
","सवेरे-सवेरे उधार मत माँगिए।
"
40,"Orig: [0, 1, ['गाँधीजी']], Cor: [0, 2, ['गांधी', 'जी']], Type: 'R:OTHER'","गाँधीजी प्रतिदिन सूत बुनते थे।
","गांधी जी प्रतिदिन सूत कातते थे।
"
41,"Orig: [3, 4, ['बुनते']], Cor: [4, 5, ['कातते']], Type: 'R:VERB'","गाँधीजी प्रतिदिन सूत बुनते थे।
","गांधी जी प्रतिदिन सूत कातते थे।
"
42,"Orig: [7, 8, ['आए']], Cor: [7, 8, ['आया']], Type: 'R:VERB:TENSE'","हिरणों का झुंड तालाब पर पानी पीने आए।
","हिरणों का झुंड तालाब पर पानी पीने आया।
"
43,"Orig: [2, 4, ['कहकर', 'पुकारना']], Cor: [2, 3, ['कहना']], Type: 'R:VERB:TENSE'","उसको दुर्जन कहकर पुकारना अनुचित है।
","उसको दुर्जन कहना अनुचित है।
"
44,"Orig: [4, 5, ['जा']], Cor: [4, 5, ['हो']], Type: 'R:VERB'","कई बार वह शिमला जा आया है।
","कई बार वह शिमला हो आया है।
"
45,"Orig: [4, 5, ['गिर']], Cor: [4, 5, ['पड़']], Type: 'R:VERB'","सिपाही पर घड़ों पानी गिर पड़ा।
","सिपाही पर घड़ों पानी पड़ गया।
"
46,"Orig: [5, 6, ['पड़ा']], Cor: [5, 6, ['गया']], Type: 'R:VERB:TENSE'","सिपाही पर घड़ों पानी गिर पड़ा।
","सिपाही पर घड़ों पानी पड़ गया।
"
47,"Orig: [0, 1, ['कोलम्बस']], Cor: [0, 1, ['कोलंबस']], Type: 'R:SPELL'","कोलम्बस ने अमेरिका का खोज किया।
","कोलंबस ने अमेरिका की खोज की।
"
48,"Orig: [3, 4, ['का']], Cor: [3, 4, ['की']], Type: 'R:ADP'","कोलम्बस ने अमेरिका का खोज किया।
","कोलंबस ने अमेरिका की खोज की।
"
49,"Orig: [5, 6, ['किया']], Cor: [5, 6, ['की']], Type: 'R:VERB-GEN'","कोलम्बस ने अमेरिका का खोज किया।
","कोलंबस ने अमेरिका की खोज की।
"
