,Proposed Edit InHerrant,Proposed Edit Ankur's Errant,Incorrect Sentence,Correct Sentence,True Label (Multi-Class),"Edit Quality (g,b,a)","Edit Extraction Quality (a,b)",True Label Before (Multi-Class),InHerrant Annotation Correct,"Edit Quality (g,b,a) Ankur",Ankur Annotation Correct
0,"Orig: [3, 4, ['आती']], Cor: [3, 4, ['आता']], Type: 'R:VERB-GEN'","Orig: [3, 4, ['आती']], Cor: [3, 4, ['आता']], Type: 'R:VERB-GEN'","मुझे बहुत गुस्सा आती है।
","मुझे बहुत गुस्सा आता है।
",R:VERB-GEN,g,a,R:VERB-GEN,YES,g,NO
1,"Orig: [7, 8, ['उठा।']], Cor: [7, 8, ['उठी।']], Type: 'R:SPELL'","Orig: [7, 8, ['उठा।']], Cor: [7, 8, ['उठी।']], Type: 'R:SPELL'","बिजली का बटन दबाते ही बत्ती जल उठा।
","बिजली का बटन दबाते ही बत्ती जल उठी।
",R:SPELL,,,,NO,,NO
2,"Orig: [3, 4, ['आई']], Cor: [3, 4, ['आए']], Type: 'R:VERB-GEN'","Orig: [3, 4, ['आई']], Cor: [3, 4, ['आए']], Type: 'R:VERB-GEN'","सीता और राम आई।
","सीता और राम आए।
",R:VERB-GEN,g,a,R:VERB-GEN,YES,g,NO
3,"Orig: [1, 2, ['उसकी']], Cor: [1, 2, ['उसके']], Type: 'R:PRON-GEN'","Orig: [1, 2, ['उसकी']], Cor: [1, 2, ['उसके']], Type: 'R:PRON-GEN'","मैंने उसकी मस्तक पर टीका लगायी।
","मैंने उसके मस्तक पर टीका लगाया।
",R:PRON-GEN,g,a,R:PRON-GEN,YES,g,NO
4,"Orig: [5, 6, ['लगायी']], Cor: [5, 6, ['लगाया']], Type: 'R:VERB-GEN'","Orig: [5, 6, ['लगायी']], Cor: [5, 6, ['लगाया']], Type: 'R:VERB-GEN'","मैंने उसकी मस्तक पर टीका लगायी।
","मैंने उसके मस्तक पर टीका लगाया।
",R:VERB-GEN,g,a,R:VERB-GEN,YES,g,NO
5,"Orig: [5, 6, ['बोली']], Cor: [5, 6, ['बोला']], Type: 'R:MORPH'","Orig: [5, 6, ['बोली']], Cor: [5, 6, ['बोला']], Type: 'R:MORPH'","राधा ने मोहन से झूठ बोली थी।
","राधा ने मोहन से झूठ बोला था।
",R:MORPH,g,a,R:VERB-GEN,YES,g,NO
6,"Orig: [6, 7, ['थी']], Cor: [6, 7, ['था']], Type: 'R:VERB-GEN'","Orig: [6, 7, ['थी']], Cor: [6, 7, ['था']], Type: 'R:VERB-GEN'","राधा ने मोहन से झूठ बोली थी।
","राधा ने मोहन से झूठ बोला था।
",R:VERB-GEN,a,a,R:VERB-GEN,NO,a,NO
7,"Orig: [4, 5, ['दिखाई']], Cor: [4, 5, ['दिखाया']], Type: 'R:VERB-GEN'","Orig: [4, 5, ['दिखाई']], Cor: [4, 5, ['दिखाया']], Type: 'R:VERB-GEN'","राजू ने मुझे मथुरा दिखाई।
","राजू ने मुझे मथुरा दिखाया।
",R:VERB-GEN,g,a,R:VERB-GEN,YES,g,NO
8,"Orig: [4, 5, ['बोला']], Cor: [4, 5, ['बोली']], Type: 'R:MORPH'","Orig: [4, 5, ['बोला']], Cor: [4, 5, ['बोली']], Type: 'R:MORPH'","रानी मधुर स्वर में बोला।
","रानी मधुर स्वर में बोली।
",R:MORPH,g,a,R:VERB-GEN,YES,b,NO
9,"Orig: [3, 4, ['उठाई']], Cor: [3, 4, ['उठाया']], Type: 'R:VERB-GEN'","Orig: [3, 4, ['उठाई']], Cor: [3, 4, ['उठाया']], Type: 'R:VERB-GEN'","उसने अपना पर्स उठाई।
","उसने अपना पर्स उठाया।
",R:VERB-GEN,g,a,R:VERB-GEN,YES,g,NO
10,"Orig: [3, 4, ['अच्छी']], Cor: [3, 4, ['अच्छा']], Type: 'R:ADJ-GEN'","Orig: [3, 4, ['अच्छी']], Cor: [3, 4, ['अच्छा']], Type: 'R:ADJ-GEN'","जादूगर का जादू अच्छी थी।
","जादूगर का जादू अच्छा था।
",R:ADJ-GEN,g,a,R:ADJ-GEN,YES,g,NO
11,"Orig: [4, 5, ['थी']], Cor: [4, 5, ['था']], Type: 'R:VERB-GEN'","Orig: [4, 5, ['थी']], Cor: [4, 5, ['था']], Type: 'R:VERB-GEN'","जादूगर का जादू अच्छी थी।
","जादूगर का जादू अच्छा था।
",R:VERB-GEN,a,a,R:VERB-GEN,NO,a,NO
12,"Orig: [2, 3, ['अच्छा']], Cor: [2, 3, ['अच्छी']], Type: 'R:ADJ-GEN'","Orig: [2, 3, ['अच्छा']], Cor: [2, 3, ['अच्छी']], Type: 'R:ADJ-GEN'","वसंत ऋतु अच्छा लगता है।
","वसंत ऋतु अच्छी लगती है।
",R:ADJ-GEN,g,a,R:ADJ-GEN,YES,g,NO
13,"Orig: [3, 4, ['लगता']], Cor: [3, 4, ['लगती']], Type: 'R:VERB-GEN'","Orig: [3, 4, ['लगता']], Cor: [3, 4, ['लगती']], Type: 'R:VERB-GEN'","वसंत ऋतु अच्छा लगता है।
","वसंत ऋतु अच्छी लगती है।
",R:VERB-GEN,g,a,R:VERB-GEN,YES,g,NO
14,"Orig: [7, 8, ['खुला']], Cor: [7, 8, ['खुली']], Type: 'R:VERB-GEN'","Orig: [7, 8, ['खुला']], Cor: [7, 8, ['खुली']], Type: 'R:VERB-GEN'","आज बाज़ार में एक भी दुकान नहीं खुला।
","आज बाज़ार में एक भी दुकान नहीं खुली।
",R:VERB-GEN,g,a,R:VERB-GEN,YES,g,NO
15,"Orig: [0, 1, ['उसका']], Cor: [0, 1, ['उसकी']], Type: 'R:PRON-GEN'","Orig: [0, 1, ['उसका']], Cor: [0, 1, ['उसकी']], Type: 'R:PRON-GEN'","उसका संतान अच्छा है।
","उसकी संतान अच्छी है।
",R:PRON-GEN,g,a,R:PRON-GEN,YES,g,NO
16,"Orig: [2, 3, ['अच्छा']], Cor: [2, 3, ['अच्छी']], Type: 'R:ADJ-GEN'","Orig: [2, 3, ['अच्छा']], Cor: [2, 3, ['अच्छी']], Type: 'R:ADJ-GEN'","उसका संतान अच्छा है।
","उसकी संतान अच्छी है।
",R:ADJ-GEN,g,a,R:ADJ-GEN,YES,g,NO
17,"Orig: [4, 5, ['रहे']], Cor: [4, 5, ['रही']], Type: 'R:VERB-GEN'","Orig: [4, 5, ['रहे']], Cor: [4, 5, ['रही']], Type: 'R:VERB-GEN'","कल माता जी आ रहे हैं।
","कल माता जी आ रही हैं।
",R:VERB-GEN,a,a,R:VERB-GEN,NO,a,NO
18,"Orig: [3, 4, ['खाया']], Cor: [3, 4, ['खाई']], Type: 'R:VERB-GEN'","Orig: [3, 4, ['खाया']], Cor: [3, 4, ['खाई']], Type: 'R:VERB-GEN'","बालक ने रोटी खाया।
","बालक ने रोटी खाई।
",R:VERB-GEN,g,a,R:VERB-GEN,YES,g,NO
