,Proposed Edit,Incorrect Sentence,Correct Sentence
0,"Orig: [2, 3, ['उससे']], Cor: [2, 4, ['रमेश', 'को']], Type: 'R:OTHER'","अध्यापक ने उससे पाठ पढ़ने को कहा परंतु रमेश ने ऐसा नहीं किया।
","अध्यापक ने रमेश को पाठ पढ़ने को कहा परंतु उसने ऐसा नहीं किया।
"
1,"Orig: [8, 10, ['रमेश', 'ने']], Cor: [9, 10, ['उसने']], Type: 'R:OTHER'","अध्यापक ने उससे पाठ पढ़ने को कहा परंतु रमेश ने ऐसा नहीं किया।
","अध्यापक ने रमेश को पाठ पढ़ने को कहा परंतु उसने ऐसा नहीं किया।
"
2,"Orig: [2, 3, ['उसे']], Cor: [2, 4, ['राधा', 'को']], Type: 'R:OTHER'","श्याम ने उसे आवाज़ लगाई पर राधा चली गई।
","श्याम ने राधा को आवाज़ लगाई पर वह चली गई।
"
3,"Orig: [6, 7, ['राधा']], Cor: [7, 8, ['वह']], Type: 'R:PRON'","श्याम ने उसे आवाज़ लगाई पर राधा चली गई।
","श्याम ने राधा को आवाज़ लगाई पर वह चली गई।
"
4,"Orig: [0, 1, ['वह']], Cor: [0, 0, []], Type: 'U:PRON'","वह जो अपराध करता है उसे दंड देना चाहिए।
","जो अपराध करता है, उसे दंड देना चाहिए।
"
5,"Orig: [5, 5, []], Cor: [4, 5, [',']], Type: 'M:PUNCT'","वह जो अपराध करता है उसे दंड देना चाहिए।
","जो अपराध करता है, उसे दंड देना चाहिए।
"
6,"Orig: [2, 3, ['मेरी']], Cor: [2, 3, ['अपनी']], Type: 'R:PRON'","मेरा ध्यान मेरी माँ की ओर था।
","मेरा ध्यान अपनी माँ की ओर था।
"
7,"Orig: [1, 2, ['मेरी']], Cor: [1, 2, ['अपना']], Type: 'R:PRON'","मैंने मेरी पेन मेरे मित्र को दे दी।
","मैंने अपना पेन अपने मित्र को दे दिया।
"
8,"Orig: [3, 4, ['मेरे']], Cor: [3, 4, ['अपने']], Type: 'R:PRON'","मैंने मेरी पेन मेरे मित्र को दे दी।
","मैंने अपना पेन अपने मित्र को दे दिया।
"
9,"Orig: [7, 8, ['दी']], Cor: [7, 8, ['दिया']], Type: 'R:VERB-GEN'","मैंने मेरी पेन मेरे मित्र को दे दी।
","मैंने अपना पेन अपने मित्र को दे दिया।
"
10,"Orig: [0, 1, ['इनने']], Cor: [0, 1, ['इन्होंने']], Type: 'R:SPELL'","इनने आपका घर देखा है।
","इन्होंने आपका घर देखा है।
"
11,"Orig: [0, 1, ['वह']], Cor: [0, 1, ['वे']], Type: 'R:PRON-NUM'","वह अच्छे आदमी नहीं हैं।
","वे अच्छे आदमी नहीं हैं।
"
12,"Orig: [1, 2, ['तुम्हारे']], Cor: [1, 2, ['अपने']], Type: 'R:PRON'","तुम तुम्हारे घर जाओ।
","तुम अपने घर जाओ।
"
13,"Orig: [1, 3, ['तेरे', 'को']], Cor: [1, 2, ['तुझसे']], Type: 'R:PRON'","मैंने तेरे को कितनी बार कहा।
","मैंने तुझसे कितनी बार कहा।
"
14,"Orig: [0, 1, ['हमारे']], Cor: [0, 1, ['अपने']], Type: 'R:PRON'","हमारे राष्ट्र में भ्रष्यचार देखकर मुझे बड़ा दुख होता है।
","अपने राष्ट्र में भ्रष्यचार देखकर मुझे बड़ा दुख होता है।
"
