,Proposed Edit InHerrant,Proposed Edit Ankur's Errant,Incorrect Sentence,Correct Sentence,True Label Before (Multi-Class),True Label (Multi-Class),"Edit Quality (g,b,a)","Edit Extraction Quality (a,b)",InHerrant Annotation Correct,"Edit Quality (g,b,a) Ankur",Ankur Annotation Correct
0,"Orig: [3, 4, ['उतना']], Cor: [3, 4, ['वैसा']], Type: 'R:OTHER'","Orig: [3, 4, 'उतना'], Cor: [3, 4, 'वैसा'], Type: 'R:OTHER'","जैसा करोगे, उतना ही भरोगे।
","जैसा करोगे, वैसा ही भरोगे।
",R:PRON,R:OTHER,g,a,NO,g,NO
1,"Orig: [1, 2, ['बड़ा']], Cor: [1, 2, ['बहुत']], Type: 'R:OTHER'","Orig: [1, 2, 'बड़ा'], Cor: [1, 2, 'बहुत'], Type: 'R:OTHER'","वह बड़ा चालाक है।
","वह बहुत चालाक है।
",R:ADV,R:OTHER,g,a,NO,g,NO
2,"Orig: [3, 4, ['बड़ा']], Cor: [3, 4, ['घना']], Type: 'R:ADJ'","Orig: [3, 4, 'बड़ा'], Cor: [3, 4, 'घना'], Type: 'R:ADJ'","वहाँ चारों ओर बड़ा अंधकार था।
","वहाँ चारों ओर घना अंधकार था।
",R:ADV,R:ADJ,b,a,NO,b,NO
3,"Orig: [2, 3, ['अनुरूप']], Cor: [2, 3, ['अनुकूल']], Type: 'R:ADP'","Orig: [2, 3, 'अनुरूप'], Cor: [2, 3, 'अनुकूल'], Type: 'R:ADP'","स्वभाव के अनुरूप तुम्हें यह कार्य करना चाहिए।
","स्वभाव के अनुकूल तुम्हें यह कार्य करना चाहिए।
",R:ADV,R:ADP,a,a,NO,a,NO
4,"Orig: [2, 3, ['सर्वस्व']], Cor: [2, 3, ['सर्वत्र']], Type: 'R:ADJ'","Orig: [2, 3, 'सर्वस्व'], Cor: [2, 3, 'सर्वत्र'], Type: 'R:SPELL'","देश में सर्वस्व शांति है।
","देश में सर्वत्र शांति है।
",R:ADJ,R:ADJ,g,a,YES,g,NO
5,"Orig: [1, 2, ['बड़ा']], Cor: [1, 2, ['बहुत']], Type: 'R:OTHER'","Orig: [1, 2, 'बड़ा'], Cor: [1, 2, 'बहुत'], Type: 'R:OTHER'","वह बड़ा दूर चला गया।
","वह बहुत दूर चला गया।
",R:ADV,R:OTHER,b,a,NO,b,NO
6,"Orig: [2, 3, ['बड़ा']], Cor: [2, 3, ['घना']], Type: 'R:ADJ'","Orig: [2, 3, 'बड़ा'], Cor: [2, 3, 'घना'], Type: 'R:ADJ'","जंगल में बड़ा अंधकार है।
","जंगल में घना अंधकार है।
",R:ADV,R:ADJ,b,a,NO,b,NO
7,"Orig: [3, 4, ['एकमात्र']], Cor: [3, 4, ['केवल']], Type: 'R:OTHER'","Orig: [3, 4, 'एकमात्र'], Cor: [3, 4, 'केवल'], Type: 'R:OTHER'","मुंबई जाने में एकमात्र दो दिन शेष हैं।
","मुंबई जाने में केवल दो दिन शेष हैं।
",R:ADV,R:OTHER,b,a,NO,b,NO
8,"Orig: [3, 4, ['वही']], Cor: [4, 5, ['ही']], Type: 'R:SPELL'","Orig: [3, 4, 'वही'], Cor: [4, 5, 'ही'], Type: 'R:SPELL'","जितना गुड़ डालोगे वही मीठा होगा।
","जितना गुड़ डालोगे उतना ही मीठा होगा।
",R:OTHER,R:SPELL,g,a,NO,g,NO
9,"Orig: [4, 5, ['तब']], Cor: [4, 5, ['तो']], Type: 'R:SPELL'","Orig: [4, 5, 'तब'], Cor: [4, 5, 'तो'], Type: 'R:SPELL'",यदि परिश्रम से पढ़ोगे तब अच्छे अंक प्राप्त करोगे।,यदि परिश्रम से पढ़ोगे तो अच्छे अंक प्राप्त करोगे।,R:CONJ,R:SPELL,b,a,NO,b,NO
