,Proposed Edit,Incorrect Sentence,Correct Sentence,True Label (Multi-Class),"Edit Quality (g,b,a)","Edit Extraction Quality (a,b)"
0,"Orig: [4, 5, ['गया']], Cor: [4, 5, ['गए']], Type: 'R:VERB-NUM'","उन्हें दो रन मिल गया।
","उन्हें दो रन मिल गए।
",R:VERB-NUM,g,a
1,"Orig: [3, 4, ['होता']], Cor: [3, 4, ['होते']], Type: 'R:VERB-NUM'","इसमें पैसे खर्च होता है।
","इसमें पैसे खर्च होते हैं।
",R:VERB-NUM,g,a
2,"Orig: [4, 5, ['है']], Cor: [4, 5, ['हैं']], Type: 'R:VERB-NUM'","इसमें पैसे खर्च होता है।
","इसमें पैसे खर्च होते हैं।
",R:VERB-NUM,g,a
3,"Orig: [4, 5, ['गई']], Cor: [4, 5, ['गया']], Type: 'R:VERB-GEN'","लगता है मानसून आ गई।
","लगता है मानसून आ गया।
",R:VERB-GEN,g,a
4,"Orig: [4, 5, ['रही']], Cor: [4, 5, ['रहे']], Type: 'R:VERB-GEN'","लड़के और लड़कियाँ पढ़ रही हैं।
","लड़के और लड़कियाँ पढ़ रहे हैं।
",R:VERB-NUM,a,a
5,"Orig: [4, 5, ['आँख']], Cor: [4, 5, ['आँखें']], Type: 'R:NOUN-NUM'","रामचरितमानस पढ़कर पाठक की आँख खुल गई।
","रामचरितमानस पढ़कर पाठक की आँखें खुल गईं।
",R:NOUN-NUM,g,a
6,"Orig: [6, 7, ['गई']], Cor: [6, 7, ['गईं']], Type: 'R:VERB-NUM'","रामचरितमानस पढ़कर पाठक की आँख खुल गई।
","रामचरितमानस पढ़कर पाठक की आँखें खुल गईं।
",R:VERB-NUM,g,a
7,"Orig: [2, 3, ['आँख']], Cor: [2, 3, ['आँखों']], Type: 'R:NOUN-NUM'","सीता की आँख से आँसू बह रहा है।
","सीता की आँखों से आँसू बह रहे हैं।
",R:NOUN-NUM,g,a
8,"Orig: [6, 7, ['रहा']], Cor: [6, 7, ['रहे']], Type: 'R:VERB-NUM'","सीता की आँख से आँसू बह रहा है।
","सीता की आँखों से आँसू बह रहे हैं।
",R:VERB-NUM,g,a
9,"Orig: [7, 8, ['है']], Cor: [7, 8, ['हैं']], Type: 'R:VERB-NUM'","सीता की आँख से आँसू बह रहा है।
","सीता की आँखों से आँसू बह रहे हैं।
",R:VERB-NUM,g,a
