,Incorrect Sentence,Correct Sentence,Proposed Edits
0,"गुलाब का फूल सुंदर होते हैं।
","गुलाब के फूल सुंदर होते हैं।
","[""Orig: [1, 2, ['का']], Cor: [1, 2, ['के']], Type: 'R:'""]"
1,"मेरे को बाज़ार जाना है।
","मुझे बाज़ार जाना है।
","[""Orig: [0, 2, ['मेरे', 'को']], Cor: [0, 1, ['मुझे']], Type: 'R:'""]"
2,"इस रहस्य को मत बताना।
","यह रहस्य मत बताना।
","[""Orig: [0, 1, ['इस']], Cor: [0, 1, ['यह']], Type: 'R:'"", ""Orig: [2, 3, ['को']], Cor: [2, 2, []], Type: 'U:'""]"
3,"आप वहाँ आना चाहिए।
","आपको वहाँ आना चाहिए।
","[""Orig: [0, 1, ['आप']], Cor: [0, 1, ['आपको']], Type: 'R:'""]"
4,"रमेश पुस्तक को पढ़ता है।
","रमेश पुस्तक पढ़ता है।
","[""Orig: [2, 3, ['को']], Cor: [2, 2, []], Type: 'U:'""]"
5,"मोर का पंख सुंदर होते हैं।
","मोर के पंख सुंदर होते हैं।
","[""Orig: [1, 2, ['का']], Cor: [1, 2, ['के']], Type: 'R:'""]"
6,"उसके शरीर में घाव है।
","उसके शरीर पर घाव है।
","[""Orig: [2, 3, ['में']], Cor: [2, 3, ['पर']], Type: 'R:'""]"
7,"माँ से कहानी सुनाई।
","माँ ने कहानी सुनाई।
","[""Orig: [1, 2, ['से']], Cor: [1, 2, ['ने']], Type: 'R:'""]"
8,"उसने नीचे को देखकर कहा।
","उसने नीचे देखकर कहा।
","[""Orig: [2, 3, ['को']], Cor: [2, 2, []], Type: 'U:'""]"
9,"वे आज ताज दूबाण आएंगे।
","वे आज ताज से आएंगे।
","[""Orig: [3, 4, ['दूबाण']], Cor: [3, 4, ['से']], Type: 'R:'""]"
10,"धान का फ़सल तैयार है।
","धान की फ़सल तैयार है।
","[""Orig: [1, 2, ['का']], Cor: [1, 2, ['की']], Type: 'R:'""]"
11,"इस पुस्तक के दाम अधिक है।
","इस पुस्तक का दाम अधिक है।
","[""Orig: [2, 3, ['के']], Cor: [2, 3, ['का']], Type: 'R:'""]"
12,"मैं कहा कि मैं पुस्तक खरीदूँगा।
","मैंने कहा कि मैं पुस्तक खरीदूँगा।
","[""Orig: [0, 1, ['मैं']], Cor: [0, 1, ['मैंने']], Type: 'R:'""]"
13,"कौए का आवाज़ कर्कश होता है।
","कौए की आवाज़ कर्कश होती है।
","[""Orig: [1, 2, ['का']], Cor: [1, 2, ['की']], Type: 'R:'"", ""Orig: [4, 5, ['होता']], Cor: [4, 5, ['होती']], Type: 'R:'""]"
14,"किसान बैलों को रस्सी में बाँधकर लाया।
","किसान बैलों को रस्सी से बाँधकर लाया।
","[""Orig: [4, 5, ['में']], Cor: [4, 5, ['से']], Type: 'R:'""]"
15,"कल वहाँ रोशन ने जाना है।
","कल वहाँ रोशन को जाना है।
","[""Orig: [3, 4, ['ने']], Cor: [3, 4, ['को']], Type: 'R:'""]"
16,"उनके विरुद्ध मुकदमा चलाया गया।
","उस पर मुकदमा चलाया गया।
","[""Orig: [0, 1, ['उनके']], Cor: [0, 1, ['उस']], Type: 'R:'"", ""Orig: [1, 2, ['विरुद्ध']], Cor: [1, 2, ['पर']], Type: 'R:'""]"
17,"पीपल की पेड़ की छाया घनी होती है।
","पीपल के पेड़ की छाया घनी होती है।
","[""Orig: [1, 2, ['की']], Cor: [1, 2, ['के']], Type: 'R:'""]"
18,हमारी पस्तक के अंदर लिखा है।,हमारी पस्तक में लिखा है।,"[""Orig: [2, 4, ['के', 'अंदर']], Cor: [2, 3, ['में']], Type: 'R:'""]"
