,Proposed Edit,Incorrect Sentence,Correct Sentence
0,"Orig: [9, 10, ['उड़ते']], Cor: [9, 10, ['चरते']], Type: 'R:VERB'","मैंने उस घने जंगल में अनेक पशु और पक्षी उड़ते और चरते देखे।
","मैंने उस घने जंगल में अनेक पशु और पक्षी चरते और उड़ते देखे।
"
1,"Orig: [11, 12, ['चरते']], Cor: [11, 12, ['उड़ते']], Type: 'R:VERB'","मैंने उस घने जंगल में अनेक पशु और पक्षी उड़ते और चरते देखे।
","मैंने उस घने जंगल में अनेक पशु और पक्षी चरते और उड़ते देखे।
"
2,"Orig: [0, 1, ['वह']], Cor: [0, 0, []], Type: 'U:DET'","वह किताब जो कोने में रखी है, वह बहुत अच्छी है।
","जो किताब कोने में रखी है, वह बहुत अच्छी है।
"
3,"Orig: [1, 3, ['किताब', 'जो']], Cor: [0, 2, ['जो', 'किताब']], Type: 'R:WO'","वह किताब जो कोने में रखी है, वह बहुत अच्छी है।
","जो किताब कोने में रखी है, वह बहुत अच्छी है।
"
4,"Orig: [8, 9, ['आपका']], Cor: [8, 10, ['आप', 'उसका']], Type: 'R:PRON-GEN'","वे तो मेल-जोल बढ़ाना चाहते हैं, पर आपका मुँह देखने को जी नहीं चाहता है।
","वे तो मेल-जोल बढ़ाना चाहते हैं, पर आप उसका मुँह देखना नहीं चाहते।
"
5,"Orig: [10, 11, ['देखने']], Cor: [11, 12, ['देखना']], Type: 'R:VERB:TENSE'","वे तो मेल-जोल बढ़ाना चाहते हैं, पर आपका मुँह देखने को जी नहीं चाहता है।
","वे तो मेल-जोल बढ़ाना चाहते हैं, पर आप उसका मुँह देखना नहीं चाहते।
"
6,"Orig: [11, 13, ['को', 'जी']], Cor: [12, 12, []], Type: 'U:NOUN'","वे तो मेल-जोल बढ़ाना चाहते हैं, पर आपका मुँह देखने को जी नहीं चाहता है।
","वे तो मेल-जोल बढ़ाना चाहते हैं, पर आप उसका मुँह देखना नहीं चाहते।
"
7,"Orig: [14, 16, ['चाहता', 'है']], Cor: [13, 14, ['चाहते']], Type: 'R:OTHER'","वे तो मेल-जोल बढ़ाना चाहते हैं, पर आपका मुँह देखने को जी नहीं चाहता है।
","वे तो मेल-जोल बढ़ाना चाहते हैं, पर आप उसका मुँह देखना नहीं चाहते।
"
8,"Orig: [0, 3, ['इस', 'विद्यालय', 'में']], Cor: [0, 0, []], Type: 'U:NOUN'","इस विद्यालय में जो विद्यार्थी डॉक्टर बनना चाहते हैं, उनको इस विद्यालय में शिक्षा दी जाती है।
","जो विद्यार्थी डॉक्टर बनना चाहते हैं, उनको इस विद्यालय में शिक्षा दी जाती है। 
"
9,"Orig: [2, 2, []], Cor: [2, 7, ['उस', 'समय', 'की', 'है', ',']], Type: 'M:NOUN'","यह घटना जब मैं दस वर्ष का था, उस समय की है। 
","यह घटना उस समय की है, जब मैं दस वर्ष का था।
"
