Proposed Edit,Incorrect Sentence,Correct Sentence,True Label (Multi-Class),"Edit Quality (g,b,a)","Edit Extraction Quality (a,b)"
"Orig: [0, 2, ['???', '????']], Cor: [0, 2, ['????', '???']], Type: 'R:WO'","??? ???? ?? ??? ???
","???? ??? ?? ??? ???
",R:WO,g,a
"Orig: [0, 2, ['???', '????']], Cor: [0, 2, ['????', '???']], Type: 'R:WO'","??? ???? ?? ??? ??? 
","???? ??? ?? ??? ???
",R:WO,g,a
"Orig: [3, 4, ['????-????']], Cor: [3, 4, ['????-????']], Type: 'R:SPELL'","????? ??? ????? ????-???? ?????? ?????
","????? ??? ????? ????-???? ???? ?????
",R:ADJ-NUM,b,a
"Orig: [4, 5, ['??????']], Cor: [4, 5, ['????']], Type: 'R:SPELL'","????? ??? ????? ????-???? ?????? ?????
","????? ??? ????? ????-???? ???? ?????
",R:NOUN-NUM,b,a
"Orig: [5, 6, ['????']], Cor: [5, 6, ['????']], Type: 'R:VERB-GEN'","????? ??? ????? ????-???? ?????? ?????
","????? ??? ????? ????-???? ???? ?????
",R:VERB-GEN,g,a
"Orig: [1, 2, ['????-??']], Cor: [1, 2, ['????-??']], Type: 'R:SPELL'","?? ????-?? ??? ????
","?? ????-?? ??? ????
",R:ADJ-GEN,b,a
"Orig: [2, 3, ['?????']], Cor: [2, 3, ['?????']], Type: 'R:SPELL'","?? ?? ????? ????? ?????
","?? ?? ????? ????? ?????
",R:ADJ-GEN,b,a
"Orig: [1, 2, ['??']], Cor: [1, 2, ['??']], Type: 'R:ADP'","???? ?? ???-??? ???? ???? ?????? ???
","???? ?? ???-??? ???? ???? ?????? ???
",R:ADP,g,a
"Orig: [4, 5, ['????']], Cor: [4, 5, ['????']], Type: 'R:ADJ-GEN'","???? ?? ???-??? ???? ???? ?????? ???
","???? ?? ???-??? ???? ???? ?????? ???
",R:ADJ-GEN,g,a
"Orig: [4, 5, ['?????']], Cor: [4, 5, ['????']], Type: 'R:ADJ'","???? ?? ?????? ???? ????? ???
","???? ?? ?????? ???? ???? ???
",R:ADJ,g,a
"Orig: [4, 5, ['???']], Cor: [4, 5, ['??????']], Type: 'R:ADJ'","??????? ?? ???? ?? ??? ????? ???
","??????? ?? ???? ?? ?????? ????? ???
",R:ADJ,g,a
"Orig: [2, 3, ['??????']], Cor: [2, 3, ['?????']], Type: 'R:ADJ'","???? ?? ?????? ????? ???
","???? ?? ????? ????? ???
",R:ADJ,g,a
"Orig: [2, 3, ['?????']], Cor: [2, 3, ['????']], Type: 'R:OTHER'","???? ?? ????? ????? ???? ?? ??? ???? ?? ???
","???? ?? ???? ????? ???? ?? ??? ???? ?? ???
",R:ADJ,b,a
"Orig: [1, 2, ['??????']], Cor: [1, 2, ['??????']], Type: 'R:NOUN'","???? ?????? ???? ????? ???
","???? ?????? ???? ??????? ???
",,,
"Orig: [3, 4, ['?????']], Cor: [3, 4, ['???????']], Type: 'R:ADJ'","???? ?????? ???? ????? ???
","???? ?????? ???? ??????? ???
",R:ADJ,g,a
"Orig: [3, 4, ['????']], Cor: [3, 4, ['????']], Type: 'R:DET'","??? ????? ??? ???? ????????? ??? ?? ?
","??? ????? ??? ???? ????????? ??? ?? ?
",R:ADV,b,a
"Orig: [3, 4, ['??']], Cor: [3, 4, ['??']], Type: 'R:ADP'","???????? ?? ??????? ?? ???????? ?????
","???????? ?? ??????? ?? ???? ???
",R:ADP,g,a
"Orig: [4, 5, ['????????']], Cor: [4, 5, ['????']], Type: 'R:NOUN'","???????? ?? ??????? ?? ???????? ?????
","???????? ?? ??????? ?? ???? ???
",R:NOUN,g,a
"Orig: [5, 6, ['????']], Cor: [5, 6, ['??']], Type: 'R:VERB-GEN'","???????? ?? ??????? ?? ???????? ?????
","???????? ?? ??????? ?? ???? ???
",R:VERB-GEN,g,a
"Orig: [1, 3, ['??', '??']], Cor: [1, 1, []], Type: 'U:OTHER'","??????? ?? ?? ?? ??? ???
","??????? ?? ??? ???
",U:OTHER,g,a
"Orig: [6, 7, ['???????']], Cor: [6, 7, ['???????']], Type: 'R:SPELL'","???? ?? ????? ???? ??? ?? ??????? ???
","???? ?? ????? ???? ??? ?? ??????? ???
",R:SPELL,g,a
"Orig: [0, 3, ['??', '???', '??']], Cor: [0, 3, ['???', '??', '??']], Type: 'R:WO'","?? ??? ?? ????? ???
","??? ?? ?? ????? ???
",R:WO,g,a
"Orig: [4, 6, ['??', '?']], Cor: [4, 5, ['???']], Type: 'R:ORTH'","?? ??? ?? ????? ???
","??? ?? ?? ????? ???
",R:ORTH,g,a
"Orig: [0, 1, ['?????']], Cor: [0, 0, []], Type: 'U:ADJ'","????? ????? ?? ????? ??????? ???? ??? ???? ?
","????? ?? ????? ??????? ???? ??? ???? ?
",U:ADJ,g,a
"Orig: [2, 3, ['?????']], Cor: [2, 3, ['???????']], Type: 'R:NOUN'","??????? ?? ????? ????? ?? ?? ???
","??????? ?? ??????? ????? ?? ?? ???
",R:NOUN,g,a
"Orig: [2, 3, ['????']], Cor: [2, 2, []], Type: 'U:ADP'","?? ????? ???? ?? ???
","?? ????? ?? ???
",U:ADP,g,a
"Orig: [2, 3, ['????']], Cor: [2, 3, ['????']], Type: 'R:ADJ-GEN'","???? ???? ???? ???
","???? ???? ???? ???
",R:ADJ-GEN,g,a
"Orig: [2, 3, ['??']], Cor: [2, 3, ['???']], Type: 'R:ADJ-GEN'","??? ?? ?? ????? ??????
","??? ?? ??? ????? ??????
",R:ADJ-GEN,g,a
"Orig: [4, 5, ['?????']], Cor: [4, 5, ['?????']], Type: 'R:VERB-GEN'","??? ?? ?? ????? ??????
","??? ?? ??? ????? ??????
",R:VERB-GEN,g,a
"Orig: [2, 3, ['?????']], Cor: [2, 3, ['????']], Type: 'R:ADJ'","?? ????? ????? ???? ???
","?? ????? ???? ???? ????
",R:ADJ,g,a
"Orig: [4, 5, ['??']], Cor: [4, 5, ['???']], Type: 'R:VERB-NUM'","?? ????? ????? ???? ???
","?? ????? ???? ???? ????
",R:VERB-NUM,g,a
"Orig: [3, 4, ['???']], Cor: [3, 4, ['????']], Type: 'R:ADJ'","?? ??? ???? ??? ???
","?? ??? ???? ???? ???
",R:ADJ,g,a
"Orig: [3, 4, ['????']], Cor: [3, 3, []], Type: 'U:ADJ'","?????? ??? ??????? ???? ????? ????
","?????? ??? ??????? ????? ????
",U:ADJ,g,a
"Orig: [2, 3, ['?????????']], Cor: [2, 3, ['???????']], Type: 'R:ADJ'","???? ???? ????????? ???
","???? ???? ??????? ???
",R:ADJ,g,a
"Orig: [1, 2, ['????-????']], Cor: [1, 2, ['????-????']], Type: 'R:ADJ'","???? ????-???? ?? ???? ????
","???? ????-???? ?? ???? ????
",R:ADJ,g,a
"Orig: [2, 3, ['???????']], Cor: [2, 3, ['??????']], Type: 'R:ADJ'","?????? ?? ??????? ????? ???
","?????? ?? ?????? ????? ???
",R:ADJ,g,a
"Orig: [3, 4, ['????']], Cor: [3, 4, ['????']], Type: 'R:ADV'","??? ?? ??? ???? ???? ???
","??? ?? ??? ???? ???? ???
",R:ADV,g,a
"Orig: [2, 3, ['????']], Cor: [2, 3, ['?????']], Type: 'R:ADJ'","???? ???? ???? ???
","???? ???? ????? ???
",R:ADJ,g,a
"Orig: [2, 3, ['????']], Cor: [2, 3, ['????']], Type: 'R:ADJ'","???????? ??? ???? ??? ?? ????
","???????? ??? ???? ??? ?? ????
",R:ADJ,g,a
"Orig: [2, 3, ['???????']], Cor: [2, 3, ['???????']], Type: 'R:ADJ'","???? ???? ??????? ???? ???
","???? ???? ??????? ???? ???
",R:ADJ,g,a
"Orig: [2, 3, ['??']], Cor: [2, 2, []], Type: 'U:ADJ'","???? ??? ?? ??????? ???? ???
","???? ??? ??????? ???? ???
",U:ADJ,g,a
"Orig: [2, 3, ['??????']], Cor: [2, 3, ['?????']], Type: 'R:ADJ'","??? ???? ?????? ???? ???
","??? ???? ????? ???? ???
",R:ADJ,g,a
"Orig: [1, 3, ['???', '??']], Cor: [1, 2, ['?????']], Type: 'R:ORTH'","?? ??? ?? ??????? ???? ????
","?? ????? ???? ???? ????
",R:ORTH,g,a
"Orig: [3, 4, ['???????']], Cor: [2, 3, ['????']], Type: 'R:DET'","?? ??? ?? ??????? ???? ????
","?? ????? ???? ???? ????
",R:ADV,b,a
"Orig: [2, 3, ['??']], Cor: [2, 3, ['??']], Type: 'R:ADP'",????????? ???? ?? ????? ?? ???,????????? ???? ?? ???? ?? ???,R:ADV,g,a
"Orig: [3, 4, ['?????']], Cor: [3, 4, ['????']], Type: 'R:ADJ'",????????? ???? ?? ????? ?? ???,????????? ???? ?? ???? ?? ???,R:ADJ-GEN,a,a
