Proposed Edit InHerrant,Proposed Edit Ankur's Errant,Incorrect Sentence,Correct Sentence,True Label (Multi-Class),"Edit Quality (g,b,a)","Edit Extraction Quality (a,b)",True Label Before (Multi-Class),"Edit Quality Before (g,b,a)","Edit Extraction Quality Before(a,b)"
"Orig: [2, 3, ['उससे']], Cor: [2, 4, ['रमेश', 'को']], Type: 'R:OTHER'","Orig: [2, 3, ['उससे']], Cor: [2, 4, ['रमेश', 'को']], Type: 'R:MULTI'","अध्यापक ने उससे पाठ पढ़ने को कहा परंतु रमेश ने ऐसा नहीं किया।
","अध्यापक ने रमेश को पाठ पढ़ने को कहा परंतु उसने ऐसा नहीं किया।
",,,,R:NOUN,b,a
"Orig: [8, 10, ['रमेश', 'ने']], Cor: [9, 10, ['उसने']], Type: 'R:OTHER'","Orig: [8, 10, ['रमेश', 'ने']], Cor: [9, 10, ['उसने']], Type: 'R:MULTI'","अध्यापक ने उससे पाठ पढ़ने को कहा परंतु रमेश ने ऐसा नहीं किया।
","अध्यापक ने रमेश को पाठ पढ़ने को कहा परंतु उसने ऐसा नहीं किया।
",,,,R:PRON,b,a
"Orig: [2, 3, ['उसे']], Cor: [2, 4, ['राधा', 'को']], Type: 'R:OTHER'","Orig: [2, 3, ['उसे']], Cor: [2, 4, ['राधा', 'को']], Type: 'R:MULTI'","श्याम ने उसे आवाज़ लगाई पर राधा चली गई।
","श्याम ने राधा को आवाज़ लगाई पर वह चली गई।
",,,,R:NOUN,b,a
"Orig: [6, 7, ['राधा']], Cor: [7, 8, ['वह']], Type: 'R:OTHER'","Orig: [6, 7, ['राधा']], Cor: [7, 8, ['वह']], Type: 'R:PROPN'","श्याम ने उसे आवाज़ लगाई पर राधा चली गई।
","श्याम ने राधा को आवाज़ लगाई पर वह चली गई।
",,,,R:PRON,g,a
"Orig: [0, 1, ['वह']], Cor: [0, 0, []], Type: 'U:PRON'","Orig: [0, 1, ['वह']], Cor: [0, 0, []], Type: 'U:PRP'","वह जो अपराध करता है उसे दंड देना चाहिए।
","जो अपराध करता है, उसे दंड देना चाहिए।
",,,,U:PRON,g,a
"Orig: [5, 5, []], Cor: [4, 5, [',']], Type: 'M:PUNCT'","Orig: [5, 5, []], Cor: [4, 5, [',']], Type: 'M:PUNCT'","वह जो अपराध करता है उसे दंड देना चाहिए।
","जो अपराध करता है, उसे दंड देना चाहिए।
",,,,M:PUNCT,g,a
"Orig: [2, 3, ['मेरी']], Cor: [2, 3, ['अपनी']], Type: 'R:PRON'","Orig: [2, 3, ['मेरी']], Cor: [2, 3, ['अपनी']], Type: 'R:PRON'","मेरा ध्यान मेरी माँ की ओर था।
","मेरा ध्यान अपनी माँ की ओर था।
",,,,R:PRON,g,a
"Orig: [1, 2, ['मेरी']], Cor: [1, 2, ['अपना']], Type: 'R:PRON'","Orig: [1, 2, ['मेरी']], Cor: [1, 2, ['अपना']], Type: 'R:PRON'","मैंने मेरी पेन मेरे मित्र को दे दी।
","मैंने अपना पेन अपने मित्र को दे दिया।
",,,,R:PRON,g,a
"Orig: [3, 4, ['मेरे']], Cor: [3, 4, ['अपने']], Type: 'R:PRON'","Orig: [3, 4, ['मेरे']], Cor: [3, 4, ['अपने']], Type: 'R:PRON'","मैंने मेरी पेन मेरे मित्र को दे दी।
","मैंने अपना पेन अपने मित्र को दे दिया।
",,,,R:PRON,g,a
"Orig: [7, 8, ['दी']], Cor: [7, 8, ['दिया']], Type: 'R:VERB-GEN'","Orig: [7, 8, ['दी']], Cor: [7, 8, ['दिया']], Type: 'R:VERB:INFL'","मैंने मेरी पेन मेरे मित्र को दे दी।
","मैंने अपना पेन अपने मित्र को दे दिया।
",,,,R:VERB-GEN,g,a
"Orig: [0, 1, ['इनने']], Cor: [0, 1, ['इन्होंने']], Type: 'R:SPELL'","Orig: [0, 1, ['इनने']], Cor: [0, 1, ['इन्होंने']], Type: 'R:SPELL'","इनने आपका घर देखा है।
","इन्होंने आपका घर देखा है।
",,,,R:SPELL,g,a
