,Proposed Edit InHerrant,Incorrect Sentence,Correct Sentence,True Label Before (Multi-Class),True Label (Multi-Class),"Edit Quality (g,b,a)","Edit Extraction Quality (a,b)",InHerrant Annotation Correct
0,"Orig: [7, 8, ['दौड़']], Cor: [7, 8, ['भाग']], Type: 'R:VERB'","भारतीय वीरों के सामने शत्रु की सेनाएँ दौड़ गह।
","भारतीय वीरों के सामने शत्रु की सेनाएँ भाग गईं।
",R:VERB,R:VERB,g,a,YES
1,"Orig: [8, 9, ['गह']], Cor: [8, 9, ['गईं']], Type: 'R:VERB'","भारतीय वीरों के सामने शत्रु की सेनाएँ दौड़ गह।
","भारतीय वीरों के सामने शत्रु की सेनाएँ भाग गईं।
",R:VERB,R:VERB,a,a,NO
2,"Orig: [1, 2, ['का']], Cor: [1, 2, ['की']], Type: 'R:ADP-INFL'","छात्रों का सफल होना परिश्रम पर निर्भर करता है।
","छात्रों की सफलता परिश्रम पर निर्भर करती है।
",R:ADP,R:ADP-INFL,g,a,NO
3,"Orig: [2, 4, ['सफल', 'होना']], Cor: [2, 3, ['सफलता']], Type: 'R:MORPH'","छात्रों का सफल होना परिश्रम पर निर्भर करता है।
","छात्रों की सफलता परिश्रम पर निर्भर करती है।
",R:VERB,R:MORPH,g,a,YES
4,"Orig: [7, 8, ['करता']], Cor: [6, 7, ['करती']], Type: 'R:VERB-GEN'","छात्रों का सफल होना परिश्रम पर निर्भर करता है।
","छात्रों की सफलता परिश्रम पर निर्भर करती है।
",R:VERB-GEN,R:VERB-GEN,g,a,YES
5,"Orig: [3, 4, ['होता']], Cor: [3, 3, []], Type: 'U:VERB'","क्‍या यह सही होता है ?
","क्‍या यह सही है ?
",U:VERB,U:VERB,g,a,YES
6,"Orig: [3, 4, ['डाल']], Cor: [3, 4, ['पहन']], Type: 'R:VERB'","जल्दी से कुरता डाल लो।
","जल्दी से कुरता पहन लो।
",R:VERB,R:VERB,g,a,YES
7,"Orig: [4, 5, ['लो।']], Cor: [4, 6, ['लो', '।']], Type: 'R:ORTH'","जल्दी से कुरता डाल लो।
","जल्दी से कुरता पहन लो।
",R:ORTH,R:ORTH,g,a,YES
8,"Orig: [1, 1, []], Cor: [1, 2, [',']], Type: 'M:PUNCT'","सुनिए अंदर चले आओ।
","सुनिए, अंदर चले आइए।
",M:PUNCT,M:PUNCT,g,a,YES
9,"Orig: [5, 7, ['हो', 'गई']], Cor: [5, 6, ['कर']], Type: 'R:VERB'","लो, झील भी पार हो गई।
","लो, झील भी पार कर ली।
",R:VERB,R:VERB,g,a,YES
10,"Orig: [7, 8, ['।']], Cor: [6, 7, ['ली।']], Type: 'R:SPELL'","लो, झील भी पार हो गई।
","लो, झील भी पार कर ली।
",R:VERB,R:SPELL,b,b,NO
11,"Orig: [2, 5, ['वह', 'निद्रा', 'ले']], Cor: [2, 4, ['वो', 'सो']], Type: 'R:VERB'","इस समय वह निद्रा ले रहा है।
","इस समय वो सो रहा है।
",R:OTHER,R:VERB,b,a,NO
12,"Orig: [4, 5, ['करने']], Cor: [4, 4, []], Type: 'U:VERB'","इस प्रश्न का हल करने की आवश्यकता है।
","इस प्रश्न के हल की आवश्यकता है।
",U:VERB,U:VERB,g,a,YES
13,"Orig: [0, 1, ['गाँधीजी']], Cor: [0, 2, ['गांधी', 'जी']], Type: 'R:OTHER'","गाँधीजी प्रतिदिन सूत बुनते थे।
","गांधी जी प्रतिदिन सूत कातते थे।
",R:OTHER,R:OTHER,g,a,YES
14,"Orig: [3, 4, ['बुनते']], Cor: [4, 5, ['कातते']], Type: 'R:VERB'","गाँधीजी प्रतिदिन सूत बुनते थे।
","गांधी जी प्रतिदिन सूत कातते थे।
",R:VERB,R:VERB,g,a,YES
15,"Orig: [4, 5, ['गिर']], Cor: [4, 5, ['पड़']], Type: 'R:VERB'","सिपाही पर घड़ों पानी गिर पड़ा।
","सिपाही पर घड़ों पानी पड़ गया।
",R:VERB,R:VERB,g,a,YES
16,"Orig: [5, 6, ['पड़ा']], Cor: [5, 6, ['गया']], Type: 'R:OTHER'","सिपाही पर घड़ों पानी गिर पड़ा।
","सिपाही पर घड़ों पानी पड़ गया।
",R:VERB,R:OTHER,a,a,NO
17,"Orig: [0, 1, ['कोलम्बस']], Cor: [0, 1, ['कोलंबस']], Type: 'R:SPELL'","कोलम्बस ने अमेरिका का खोज किया।
","कोलंबस ने अमेरिका की खोज की।
",R:SPELL,R:SPELL,g,a,YES
18,"Orig: [3, 4, ['का']], Cor: [3, 4, ['की']], Type: 'R:ADP-INFL'","कोलम्बस ने अमेरिका का खोज किया।
","कोलंबस ने अमेरिका की खोज की।
",R:ADP,R:ADP-INFL,g,a,NO
19,"Orig: [5, 6, ['किया']], Cor: [5, 6, ['की']], Type: 'R:VERB-GEN'","कोलम्बस ने अमेरिका का खोज किया।
","कोलंबस ने अमेरिका की खोज की।
",R:VERB-GEN,R:VERB-GEN,g,a,YES
