,Proposed Edit,Incorrect Sentence,Correct Sentence
0,"Orig: [9, 10, ['उड़ते']], Cor: [9, 10, ['चरते']], Type: 'R:VERB'","मैंने उस घने जंगल में अनेक पशु और पक्षी उड़ते और चरते देखे।
","मैंने उस घने जंगल में अनेक पशु और पक्षी चरते और उड़ते देखे।
"
1,"Orig: [11, 12, ['चरते']], Cor: [11, 12, ['उड़ते']], Type: 'R:VERB'","मैंने उस घने जंगल में अनेक पशु और पक्षी उड़ते और चरते देखे।
","मैंने उस घने जंगल में अनेक पशु और पक्षी चरते और उड़ते देखे।
"
2,"Orig: [0, 1, ['वह']], Cor: [0, 1, ['जो']], Type: 'R:OTHER'","वह किताब जो कोने में रखी है, वह बहुत अच्छी है।
","जो किताब कोने में रखी है, वह बहुत अच्छी है।
"
3,"Orig: [2, 3, ['जो']], Cor: [2, 2, []], Type: 'U:PRON'","वह किताब जो कोने में रखी है, वह बहुत अच्छी है।
","जो किताब कोने में रखी है, वह बहुत अच्छी है।
"
4,"Orig: [8, 10, ['आपका', 'मुँह']], Cor: [8, 9, ['आप']], Type: 'R:PRON-GEN'","वे तो मेल-जोल बढ़ाना चाहते हैं, पर आपका मुँह देखने को जी नहीं चाहता है।
","वे तो मेल-जोल बढ़ाना चाहते हैं, पर आप उसका मुँह देखना नहीं चाहते।
"
5,"Orig: [10, 11, ['देखने']], Cor: [9, 10, ['उसका']], Type: 'R:PRON'","वे तो मेल-जोल बढ़ाना चाहते हैं, पर आपका मुँह देखने को जी नहीं चाहता है।
","वे तो मेल-जोल बढ़ाना चाहते हैं, पर आप उसका मुँह देखना नहीं चाहते।
"
6,"Orig: [11, 12, ['को']], Cor: [10, 11, ['मुँह']], Type: 'R:NOUN'","वे तो मेल-जोल बढ़ाना चाहते हैं, पर आपका मुँह देखने को जी नहीं चाहता है।
","वे तो मेल-जोल बढ़ाना चाहते हैं, पर आप उसका मुँह देखना नहीं चाहते।
"
7,"Orig: [12, 13, ['जी']], Cor: [11, 12, ['देखना']], Type: 'R:VERB'","वे तो मेल-जोल बढ़ाना चाहते हैं, पर आपका मुँह देखने को जी नहीं चाहता है।
","वे तो मेल-जोल बढ़ाना चाहते हैं, पर आप उसका मुँह देखना नहीं चाहते।
"
8,"Orig: [14, 16, ['चाहता', 'है']], Cor: [13, 14, ['चाहते']], Type: 'R:OTHER'","वे तो मेल-जोल बढ़ाना चाहते हैं, पर आपका मुँह देखने को जी नहीं चाहता है।
","वे तो मेल-जोल बढ़ाना चाहते हैं, पर आप उसका मुँह देखना नहीं चाहते।
"
9,"Orig: [0, 3, ['इस', 'विद्यालय', 'में']], Cor: [0, 0, []], Type: 'U:NOUN'","इस विद्यालय में जो विद्यार्थी डॉक्टर बनना चाहते हैं, उनको इस विद्यालय में शिक्षा दी जाती है।
","जो विद्यार्थी डॉक्टर बनना चाहते हैं, उनको इस विद्यालय में शिक्षा दी जाती है। 
"
